Orthogroup	DEUG.longest_only	DSIM.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC6737447|XP_016031216.1|DSIM
OG0000000	LOC108105829|XP_017068062.1|DEUG	LOC6732391|XP_002079512.1|DSIM
OG0000000	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG	LOC6728686|XP_016035358.1|DSIM
OG0000000	LOC108112762|XP_017078510.1|DEUG	LOC6734183|XP_002081212.2|DSIM
OG0000000	LOC108113889|XP_017080083.1|DEUG	LOC6738254|XP_039150029.1|DSIM
OG0000000	LOC108114143|XP_017080414.1|DEUG	LOC6738257|XP_016032137.1|DSIM
OG0000000	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG	LOC6738255|XP_016032135.1|DSIM
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC6736137|XP_002083037.1|DSIM
OG0000000	LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG	LOC6730295|XP_016037057.1|DSIM
OG0000000	LOC108113894|XP_017080088.1|DEUG	LOC6730724|XP_016023153.2|DSIM
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	LOC6730293|XP_039151545.1|DSIM
OG0000000	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG	LOC6731633|XP_002078773.1|DSIM
OG0000000	LOC108117463|XP_017085374.1|DEUG	LOC6729478|XP_002104788.3|DSIM
OG0000000	LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG	LOC6734251|XP_039147854.1|DSIM
OG0000000	LOC108112677|XP_017078310.1|DEUG	LOC6734670|XP_039148016.1|DSIM
OG0000000	LOC108108192|XP_017071633.1|DEUG	LOC27209298|XP_016030381.1|DSIM, LOC6738897|XP_002085692.1|DSIM, LOC6734178|XP_002081207.1|DSIM
OG0000000	LOC108113484|XP_017079558.1|DEUG	LOC6730283|XP_016037045.1|DSIM
OG0000000	LOC108113483|XP_017079557.1|DEUG	LOC6730282|XP_002105565.2|DSIM
OG0000000	LOC108113485|XP_017079560.1|DEUG	LOC6732333|XP_039152942.1|DSIM
OG0000000	LOC108115565|XP_017082560.1|DEUG	LOC6729069|XP_016035716.1|DSIM
OG0000000	LOC108103054|XP_017063857.1|DEUG	LOC6732608|XP_002079727.1|DSIM
OG0000000	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG	LOC6735228|XP_002082201.1|DSIM
OG0000000	LOC108105763|XP_017067972.1|DEUG	LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM
OG0000000	LOC108115960|XP_017083085.1|DEUG	LOC6729989|XP_002105283.1|DSIM
OG0000000	LOC108114927|XP_017081602.1|DEUG	LOC6726722|XP_002102133.3|DSIM
OG0000000	LOC108114139|XP_017080411.1|DEUG	LOC6738252|XP_002085064.1|DSIM
OG0000000	LOC108113890|XP_017080084.1|DEUG	LOC6738253|XP_039150090.1|DSIM
OG0000001	LOC108111625|XP_017076648.1|DEUG	LOC120284346|XP_039147371.1|DSIM, LOC120284769|XP_039149499.1|DSIM, LOC120284971|XP_039150785.1|DSIM
OG0000002	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG	LOC6734821|XP_002081824.1|DSIM
OG0000002	LOC108112852|XP_017078659.1|DEUG	LOC6735666|XP_002082584.2|DSIM
OG0000002	LOC108112853|XP_017078660.1|DEUG	LOC6735665|XP_002082583.2|DSIM
OG0000002	LOC108108874|XP_017072580.1|DEUG	LOC6735327|XP_016028674.2|DSIM
OG0000002	LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG	LOC6738777|XP_016032596.1|DSIM
OG0000003	LOC108106604|XP_017069284.1|DEUG	LOC6734558|XP_002081567.1|DSIM
OG0000003	LOC108106709|XP_017069429.1|DEUG	LOC6734560|XP_016027665.1|DSIM
OG0000003	LOC108115764|XP_017082821.1|DEUG	LOC6729847|XP_016036585.1|DSIM
OG0000003	LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG	LOC6734561|XP_002081570.1|DSIM
OG0000003	LOC108106562|XP_017069219.1|DEUG	LOC6733269|XP_002080332.1|DSIM
OG0000003	LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG	LOC6734559|XP_002081568.1|DSIM
OG0000003	LOC108106224|XP_017068639.1|DEUG	LOC6734554|XP_039147555.1|DSIM
OG0000003	LOC108104525|XP_017066146.1|DEUG	LOC6733557|XP_016026506.1|DSIM
OG0000003	LOC108104523|XP_017066143.1|DEUG	LOC6733555|XP_039148197.1|DSIM
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC120285263|XP_039152632.1|DSIM, LOC120285546|XP_039154136.1|DSIM, LOC120285800|XP_039154350.1|DSIM, LOC120285260|XP_039152620.1|DSIM, LOC120285545|XP_039154135.1|DSIM, LOC120285803|XP_039154353.1|DSIM, LOC120285801|XP_039154351.1|DSIM, LOC6740317|XP_002077189.3|DSIM
OG0000007	LOC108107881|XP_017071156.1|DEUG	LOC6736955|XP_002083802.1|DSIM
OG0000007	LOC108107527|XP_017070556.1|DEUG	LOC6736951|XP_016030595.1|DSIM
OG0000007	LOC108107882|XP_017071157.1|DEUG	LOC120284722|XP_039149134.1|DSIM, LOC6736949|XP_002083796.1|DSIM
OG0000007	LOC108107883|XP_017071158.1|DEUG	LOC6736952|XP_002083799.1|DSIM
OG0000007	LOC108102687|XP_017063316.1|DEUG	LOC6731020|XP_002078181.1|DSIM
OG0000007	LOC108104447|XP_017065997.1|DEUG	LOC6733581|XP_002080635.1|DSIM
OG0000007	LOC108102695|XP_017063328.1|DEUG	LOC6731021|XP_002078182.1|DSIM
OG0000007	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG	LOC27206286|XP_016030986.1|DSIM
OG0000007	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG	LOC6731019|XP_002078180.2|DSIM
OG0000007	LOC108107529|XP_017070559.1|DEUG	LOC6736957|XP_016030597.1|DSIM
OG0000007	LOC108107925|XP_017071238.1|DEUG	LOC27207276|XP_016030598.2|DSIM
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC6727443|XP_016034017.1|DSIM
OG0000008	LOC108107847|XP_017071090.1|DEUG	LOC6736741|XP_002083597.1|DSIM
OG0000008	LOC108107843|XP_017071086.1|DEUG	LOC6736744|XP_016030372.1|DSIM
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC6732025|XP_039148682.1|DSIM
OG0000008	LOC108107848|XP_017071091.1|DEUG	LOC6736742|XP_002083598.1|DSIM
OG0000008	LOC108103232|XP_017064122.1|DEUG	LOC6725212|XP_002106235.2|DSIM
OG0000008	LOC108116557|XP_017083985.1|DEUG	LOC6726999|XP_039151364.1|DSIM, LOC120285030|XP_039151250.1|DSIM
OG0000008	LOC108116118|XP_017083331.1|DEUG	LOC6726998|XP_016033494.2|DSIM
OG0000008	LOC108116121|XP_017083334.1|DEUG	LOC6726996|XP_002102397.1|DSIM
OG0000008	LOC108116120|XP_017083333.1|DEUG	LOC6726997|XP_002102398.2|DSIM
OG0000008	LOC108116119|XP_017083332.1|DEUG	LOC6726995|XP_002102396.1|DSIM
OG0000009	LOC108117308|XP_017085159.1|DEUG	LOC6727419|XP_002102801.1|DSIM
OG0000009	LOC108117290|XP_017085135.1|DEUG	LOC6727422|XP_002102804.2|DSIM
OG0000009	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG	LOC6727423|XP_016033975.1|DSIM
OG0000009	LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG	LOC6727420|XP_002102802.1|DSIM
OG0000009	LOC108107590|XP_017070640.1|DEUG	LOC6736925|XP_002083772.1|DSIM
OG0000009	LOC108107618|XP_017070676.1|DEUG	LOC6736926|XP_002083773.1|DSIM
OG0000009	LOC108107216|XP_017070122.1|DEUG	LOC6736062|XP_002082963.1|DSIM
OG0000009	LOC108111728|XP_017076770.1|DEUG	LOC6728414|XP_016035007.1|DSIM
OG0000009	LOC108106283|XP_017068739.1|DEUG	LOC6734157|XP_002081186.1|DSIM
OG0000009	LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG	LOC6734155|XP_002081184.1|DSIM, LOC6734156|XP_002081185.1|DSIM
OG0000010	LOC108105230|XP_017067186.1|DEUG	LOC120285552|XP_039154143.1|DSIM, LOC120285280|XP_039152696.1|DSIM
OG0000011	LOC108111192|XP_017076075.1|DEUG	LOC6730832|XP_016023246.1|DSIM
OG0000011	LOC108102616|XP_017063214.1|DEUG	LOC27207823|XP_016023441.1|DSIM
OG0000011	LOC108108695|XP_017072289.1|DEUG	LOC27206207|XP_039149631.1|DSIM
OG0000011	LOC108118231|XP_017086302.1|DEUG	LOC27208543|XP_016037023.1|DSIM
OG0000011	LOC108102619|XP_017063216.1|DEUG	LOC27207879|XP_016023440.1|DSIM
OG0000011	LOC108118458|XP_017086666.1|DEUG	LOC27208182|XP_016025194.2|DSIM
OG0000011	LOC108103884|XP_017065103.1|DEUG	LOC6725826|XP_016039150.1|DSIM, LOC27206349|XP_016039152.1|DSIM
OG0000011	LOC108105968|XP_017068261.1|DEUG	LOC6737998|XP_002084813.2|DSIM
OG0000011	LOC108105967|XP_017068260.1|DEUG	LOC27206230|XP_016031794.1|DSIM
OG0000011	LOC108109998|XP_017074326.1|DEUG	LOC6728756|XP_002104091.1|DSIM
OG0000012	LOC108113192|XP_017079208.1|DEUG	LOC6735247|XP_016028572.1|DSIM
OG0000012	LOC108113191|XP_017079207.1|DEUG	LOC6735246|XP_016028570.1|DSIM
OG0000012	LOC108113343|XP_017079393.1|DEUG	LOC6735245|XP_016028569.1|DSIM
OG0000012	LOC108113377|XP_017079435.1|DEUG	LOC6735248|XP_016028574.1|DSIM
OG0000012	LOC108112131|XP_017077370.1|DEUG	LOC6735250|XP_002082223.1|DSIM
OG0000012	LOC108112267|XP_017077578.1|DEUG	LOC6735249|XP_016028575.1|DSIM
OG0000012	LOC108106282|XP_017068738.1|DEUG	LOC6734131|XP_002081160.1|DSIM
OG0000012	LOC108106301|XP_017068761.1|DEUG	LOC6734132|XP_016027145.1|DSIM
OG0000012	LOC108106279|XP_017068735.1|DEUG	LOC6734133|XP_002081162.3|DSIM
