Orthogroup	DEUG.longest_only	DFIC.longest_only
OG0000000	LOC108105829|XP_017068062.1|DEUG	LOC108101733|XP_017061674.1|DFIC
OG0000000	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG	LOC108098759|XP_017057380.1|DFIC
OG0000000	LOC108113889|XP_017080083.1|DEUG	LOC108089295|XP_017042962.1|DFIC
OG0000000	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG	LOC108089296|XP_017042963.1|DFIC
OG0000000	LOC108104206|XP_017065639.1|DEUG	LOC108098802|XP_017057433.1|DFIC
OG0000000	LOC108113894|XP_017080088.1|DEUG	LOC108086784|XP_017039313.1|DFIC
OG0000000	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG, LOC108117463|XP_017085374.1|DEUG	LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC
OG0000000	LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG	LOC108100131|XP_017059373.1|DFIC
OG0000000	LOC108112677|XP_017078310.1|DEUG	LOC108093703|XP_017049382.1|DFIC
OG0000000	LOC108113914|XP_017080109.1|DEUG, LOC108113484|XP_017079558.1|DEUG, LOC108113483|XP_017079557.1|DEUG	LOC108086787|XP_017039316.1|DFIC
OG0000000	LOC108115565|XP_017082560.1|DEUG	LOC108099241|XP_017058101.1|DFIC
OG0000000	LOC108103054|XP_017063857.1|DEUG	LOC108090590|XP_017044830.1|DFIC
OG0000000	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG	LOC108095110|XP_017051537.1|DFIC
OG0000000	LOC108107194|XP_017070099.1|DEUG	LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC
OG0000000	LOC108105763|XP_017067972.1|DEUG	LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC
