Orthogroup	DEUG.longest_only	DSER.longest_only
OG0000000	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG	LOC110188492|XP_020813881.1|DSER
OG0000000	LOC108112762|XP_017078510.1|DEUG	LOC110181445|XP_020804849.1|DSER
OG0000000	LOC108113889|XP_017080083.1|DEUG	LOC110190735|XP_020817016.1|DSER
OG0000000	LOC108114143|XP_017080414.1|DEUG	LOC110190738|XP_020817019.1|DSER
OG0000000	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG	LOC110190736|XP_020817017.1|DSER
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC110184046|XP_020808080.1|DSER
OG0000000	LOC108104206|XP_017065639.1|DEUG	LOC110186265|XP_020811031.1|DSER
OG0000000	LOC108113894|XP_017080088.1|DEUG	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER
OG0000000	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG, LOC108117463|XP_017085374.1|DEUG	LOC110184021|XP_020808046.1|DSER
OG0000000	LOC108113484|XP_017079558.1|DEUG	LOC110186290|XP_020811063.1|DSER
OG0000000	LOC108113483|XP_017079557.1|DEUG	LOC110186288|XP_020811061.1|DSER
OG0000000	LOC108113485|XP_017079560.1|DEUG	LOC110185901|XP_020810577.1|DSER
OG0000000	LOC108115565|XP_017082560.1|DEUG	LOC110187976|XP_020813156.1|DSER
OG0000000	LOC108103054|XP_017063857.1|DEUG	LOC110184825|XP_020809128.1|DSER
OG0000000	LOC108105763|XP_017067972.1|DEUG	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	LOC108115960|XP_017083085.1|DEUG	LOC110177452|XP_020799845.1|DSER
OG0000000	LOC108114927|XP_017081602.1|DEUG	LOC110187957|XP_020813134.1|DSER
OG0000000	LOC108114139|XP_017080411.1|DEUG	LOC110190733|XP_020817014.1|DSER
OG0000000	LOC108113890|XP_017080084.1|DEUG	LOC110190479|XP_020816650.1|DSER
OG0000000	LOC108108505|XP_017072063.1|DEUG	LOC110185197|XP_020809581.1|DSER
OG0000000	LOC108104271|XP_017065711.1|DEUG, LOC108104244|XP_017065683.1|DEUG, LOC108104247|XP_017065685.1|DEUG, LOC108104242|XP_017065681.1|DEUG, LOC108104250|XP_017065688.1|DEUG, LOC108116803|XP_017084340.1|DEUG, LOC108104248|XP_017065686.1|DEUG, LOC108104270|XP_017065710.1|DEUG, LOC108104269|XP_017065708.1|DEUG, LOC108104243|XP_017065682.1|DEUG, LOC108104241|XP_017065680.1|DEUG, LOC108104245|XP_017065684.1|DEUG	LOC110187956|XP_020813133.1|DSER, LOC110182697|XP_020806451.1|DSER, LOC110186018|XP_020810717.1|DSER, LOC110186045|XP_020810747.1|DSER, LOC110186008|XP_020810705.1|DSER, LOC110186038|XP_020810738.1|DSER, LOC110186028|XP_020810726.1|DSER, LOC110186065|XP_020810763.1|DSER, LOC110185933|XP_020810606.1|DSER
OG0000002	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG	LOC110191937|XP_020818616.1|DSER
OG0000002	LOC108112852|XP_017078659.1|DEUG	LOC110177829|XP_020800431.1|DSER
OG0000002	LOC108112853|XP_017078660.1|DEUG	LOC110177830|XP_020800433.1|DSER
OG0000002	LOC108105850|XP_017068103.1|DEUG	LOC110189677|XP_020815494.1|DSER
OG0000002	LOC108113287|XP_017079326.1|DEUG	LOC110184909|XP_020809214.1|DSER
OG0000002	LOC108110800|XP_017075517.1|DEUG	LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER
OG0000003	LOC108106604|XP_017069284.1|DEUG	LOC110177692|XP_020800174.1|DSER
OG0000003	LOC108106709|XP_017069429.1|DEUG	LOC110177680|XP_020800160.1|DSER
OG0000003	LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG	LOC110177747|XP_020800264.1|DSER
OG0000003	LOC108106562|XP_017069219.1|DEUG	LOC110189782|XP_020815670.1|DSER
OG0000003	LOC108106678|XP_017069398.1|DEUG	LOC110177689|XP_020800171.1|DSER
OG0000003	LOC108106603|XP_017069283.1|DEUG, LOC108106677|XP_017069397.1|DEUG, LOC108108144|XP_017071563.1|DEUG	LOC110177694|XP_020800177.1|DSER
OG0000003	LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG	LOC110177698|XP_020800183.1|DSER
OG0000003	LOC108106224|XP_017068639.1|DEUG	LOC110177690|XP_020800172.1|DSER
OG0000003	LOC108104525|XP_017066146.1|DEUG	LOC110188514|XP_020813952.1|DSER
OG0000003	LOC108104523|XP_017066143.1|DEUG	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER
OG0000003	LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG	LOC110176203|XP_020798127.1|DSER
OG0000004	LOC108113823|XP_017080058.1|DEUG	LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER
OG0000005	LOC108103412|XP_017064359.1|DEUG	LOC110182167|XP_020805828.1|DSER
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC110180681|XP_020804024.1|DSER, LOC110180702|XP_020804041.1|DSER, LOC110182161|XP_020805824.1|DSER, LOC110185948|XP_020810624.1|DSER, LOC110182132|XP_020805800.1|DSER, LOC110180700|XP_020804040.1|DSER
OG0000007	LOC108107881|XP_017071156.1|DEUG	LOC110184727|XP_020809014.1|DSER
OG0000007	LOC108107882|XP_017071157.1|DEUG	LOC110184736|XP_020809022.1|DSER
OG0000007	LOC108102687|XP_017063316.1|DEUG	LOC110182363|XP_020806064.1|DSER
OG0000007	LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG	LOC110182364|XP_020806065.1|DSER
OG0000007	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG	LOC110190669|XP_020816933.1|DSER
OG0000007	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER
OG0000007	LOC108107529|XP_017070559.1|DEUG	LOC110184731|XP_020809018.1|DSER
OG0000007	LOC108107925|XP_017071238.1|DEUG	LOC110184732|XP_020809019.1|DSER
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC110188534|XP_020813940.1|DSER
OG0000008	LOC108107847|XP_017071090.1|DEUG	LOC110183610|XP_020807586.1|DSER
OG0000008	LOC108107843|XP_017071086.1|DEUG	LOC110183609|XP_020807585.1|DSER
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC110183997|XP_020808013.1|DSER
OG0000008	LOC108107848|XP_017071091.1|DEUG	LOC110183613|XP_020807591.1|DSER
OG0000008	LOC108103232|XP_017064122.1|DEUG	LOC110182844|XP_020806635.1|DSER
OG0000008	LOC108116557|XP_017083985.1|DEUG	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER
OG0000008	LOC108116118|XP_017083331.1|DEUG	LOC110191898|XP_020818543.1|DSER
OG0000008	LOC108116121|XP_017083334.1|DEUG	LOC110191819|XP_020818443.1|DSER
OG0000008	LOC108116123|XP_017083335.1|DEUG	LOC110191725|XP_020818302.1|DSER
OG0000008	LOC108116120|XP_017083333.1|DEUG	LOC110191899|XP_020818544.1|DSER
OG0000008	LOC108116119|XP_017083332.1|DEUG	LOC110191820|XP_020818444.1|DSER
OG0000009	LOC108117308|XP_017085159.1|DEUG	LOC110188739|XP_020814232.1|DSER
OG0000009	LOC108117290|XP_017085135.1|DEUG	LOC110188430|XP_020813815.1|DSER
OG0000009	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG	LOC110188741|XP_020814234.1|DSER
OG0000009	LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG	LOC110188740|XP_020814233.1|DSER
OG0000009	LOC108107216|XP_017070122.1|DEUG	LOC110181065|XP_020804398.1|DSER
OG0000009	LOC108111728|XP_017076770.1|DEUG	LOC110176644|XP_020798730.1|DSER
OG0000009	LOC108106283|XP_017068739.1|DEUG	LOC110178269|XP_020800994.1|DSER
OG0000009	LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG	LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER
OG0000010	LOC108105230|XP_017067186.1|DEUG	LOC110182144|XP_020805814.1|DSER, LOC110182164|XP_020805826.1|DSER, LOC110182441|XP_020806135.1|DSER
OG0000011	LOC108102528|XP_017063054.1|DEUG, LOC108102616|XP_017063214.1|DEUG	LOC110183280|XP_020807170.1|DSER
OG0000011	LOC108108695|XP_017072289.1|DEUG, LOC108118231|XP_017086302.1|DEUG	LOC110182663|XP_020806400.1|DSER, LOC110187551|XP_020812598.1|DSER, LOC110187412|XP_020812458.1|DSER, LOC110182662|XP_020806399.1|DSER
OG0000011	LOC108102619|XP_017063216.1|DEUG, LOC108111193|XP_017076077.1|DEUG	LOC110185813|XP_020810477.1|DSER
OG0000011	LOC108118458|XP_017086666.1|DEUG, LOC108118456|XP_017086662.1|DEUG, LOC108103884|XP_017065103.1|DEUG, LOC108103883|XP_017065101.1|DEUG	LOC110182278|XP_020805955.1|DSER
OG0000011	LOC108105968|XP_017068261.1|DEUG	LOC110191403|XP_020817919.1|DSER
OG0000011	LOC108109998|XP_017074326.1|DEUG	LOC110185215|XP_020809607.1|DSER
OG0000012	LOC108113192|XP_017079208.1|DEUG	LOC110178863|XP_020801799.1|DSER
OG0000012	LOC108113191|XP_017079207.1|DEUG	LOC110178859|XP_020801786.1|DSER
OG0000012	LOC108113343|XP_017079393.1|DEUG	LOC110190967|XP_020817320.1|DSER
OG0000012	LOC108113377|XP_017079435.1|DEUG	LOC110176037|XP_020797910.1|DSER
OG0000012	LOC108112229|XP_017077538.1|DEUG	LOC110181698|XP_020805203.1|DSER
OG0000012	LOC108112131|XP_017077370.1|DEUG	LOC110180096|XP_020803382.1|DSER
OG0000012	LOC108112132|XP_017077371.1|DEUG	LOC110181688|XP_020805193.1|DSER
OG0000012	LOC108112267|XP_017077578.1|DEUG	LOC110176319|XP_020798300.1|DSER
OG0000012	LOC108106282|XP_017068738.1|DEUG	LOC110178311|XP_020801063.1|DSER
OG0000012	LOC108106301|XP_017068761.1|DEUG	LOC110178377|XP_020801172.1|DSER
OG0000012	LOC108106279|XP_017068735.1|DEUG	LOC110178312|XP_020801065.1|DSER
OG0000012	LOC108106300|XP_017068760.1|DEUG	LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER
OG0000012	LOC108106742|XP_017069468.1|DEUG	LOC110178292|XP_020801024.1|DSER
OG0000012	LOC108106739|XP_017069464.1|DEUG	LOC110178324|XP_020801093.1|DSER
OG0000013	LOC108106511|XP_017069094.1|DEUG	LOC110189766|XP_020815644.1|DSER
OG0000013	LOC108104346|XP_017065833.1|DEUG	LOC110179613|XP_020802873.1|DSER
OG0000013	LOC108105608|XP_017067774.1|DEUG	LOC110188689|XP_020814151.1|DSER
OG0000013	LOC108105962|XP_017068250.1|DEUG	LOC110188838|XP_020814394.1|DSER
OG0000013	LOC108116899|XP_017084498.1|DEUG	LOC110188074|XP_020813284.1|DSER
OG0000013	LOC108116618|XP_017084081.1|DEUG	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER
OG0000013	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG	LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER
OG0000015	LOC108106955|XP_017069721.1|DEUG	LOC110181407|XP_020804802.1|DSER
OG0000015	LOC108106287|XP_017068742.1|DEUG, LOC108118427|XP_017086598.1|DEUG, LOC108118426|XP_017086597.1|DEUG	LOC110182685|XP_020806436.1|DSER
