Orthogroup	DEUG.longest_only	DBIA.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC108034778|XP_016965225.1|DBIA
OG0000000	LOC108105829|XP_017068062.1|DEUG	LOC108029053|XP_016956604.1|DBIA
OG0000000	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG	LOC108031338|XP_016960091.1|DBIA
OG0000000	LOC108112762|XP_017078510.1|DEUG	LOC108029341|XP_016957023.1|DBIA
OG0000000	LOC108113889|XP_017080083.1|DEUG	LOC108034429|XP_016964803.1|DBIA
OG0000000	LOC108114143|XP_017080414.1|DEUG	LOC108034424|XP_016964798.1|DBIA
OG0000000	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG	LOC108034428|XP_016964801.1|DBIA
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC108104209|XP_017065641.1|DEUG	LOC108025270|XP_016951121.1|DBIA
OG0000000	LOC108104206|XP_017065639.1|DEUG	LOC108024280|XP_016949667.1|DBIA
OG0000000	LOC108113894|XP_017080088.1|DEUG	LOC108024997|XP_016950742.1|DBIA
OG0000000	LOC108104212|XP_017065644.1|DEUG	LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	LOC108024999|XP_016950744.1|DBIA
OG0000000	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA
OG0000000	LOC108117463|XP_017085374.1|DEUG	LOC108031000|XP_016959689.1|DBIA
OG0000000	LOC108112677|XP_017078310.1|DEUG	LOC108030080|XP_016958186.1|DBIA
OG0000000	LOC108113484|XP_017079558.1|DEUG	LOC108025165|XP_016950931.1|DBIA
OG0000000	LOC108113483|XP_017079557.1|DEUG	LOC108025419|XP_016951390.1|DBIA
OG0000000	LOC108113485|XP_017079560.1|DEUG	LOC108032345|XP_016961644.1|DBIA
OG0000000	LOC108103054|XP_017063857.1|DEUG	LOC108033274|XP_016963030.1|DBIA
OG0000000	LOC108107195|XP_017070100.1|DEUG	LOC108022409|XP_016946783.1|DBIA
OG0000000	LOC108105763|XP_017067972.1|DEUG	LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA
OG0000000	LOC108115960|XP_017083085.1|DEUG	LOC108024473|XP_016949882.1|DBIA
OG0000000	LOC108114927|XP_017081602.1|DEUG	LOC108032904|XP_016962446.1|DBIA
OG0000000	LOC108114139|XP_017080411.1|DEUG	LOC108034432|XP_016964806.1|DBIA
OG0000000	LOC108113893|XP_017080087.1|DEUG, LOC108114144|XP_017080415.1|DEUG	LOC108034431|XP_016964805.1|DBIA
OG0000000	LOC108113892|XP_017080086.1|DEUG	LOC108034430|XP_016964804.1|DBIA
OG0000000	LOC108108505|XP_017072063.1|DEUG	LOC108027980|XP_016955095.1|DBIA
OG0000002	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG	LOC108036386|XP_016967980.1|DBIA
OG0000002	LOC108112852|XP_017078659.1|DEUG	LOC108022558|XP_016947041.1|DBIA
OG0000002	LOC108112853|XP_017078660.1|DEUG	LOC108022153|XP_016946484.1|DBIA
OG0000002	LOC108105850|XP_017068103.1|DEUG	LOC108028911|XP_016956419.1|DBIA
OG0000002	LOC108110911|XP_017075671.1|DEUG	LOC108029608|XP_016957477.1|DBIA
OG0000002	LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG	LOC108029010|XP_016956543.1|DBIA
OG0000002	LOC108113287|XP_017079326.1|DEUG	LOC108027710|XP_016954748.1|DBIA
OG0000002	LOC108110800|XP_017075517.1|DEUG	LOC108029019|XP_016956553.1|DBIA
OG0000003	LOC108106604|XP_017069284.1|DEUG	LOC108030370|XP_016958727.1|DBIA
OG0000003	LOC108106709|XP_017069429.1|DEUG	LOC108030025|XP_016958054.1|DBIA
OG0000003	LOC108115764|XP_017082821.1|DEUG	LOC108024348|XP_016949739.1|DBIA
OG0000003	LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG	LOC108030024|XP_016958053.1|DBIA
OG0000003	LOC108106562|XP_017069219.1|DEUG	LOC108030125|XP_016958318.1|DBIA
OG0000003	LOC108106678|XP_017069398.1|DEUG	LOC108030172|XP_016958401.1|DBIA
OG0000003	LOC108106603|XP_017069283.1|DEUG	LOC108029931|XP_016957914.1|DBIA
OG0000003	LOC108106677|XP_017069397.1|DEUG	LOC108030395|XP_016958768.1|DBIA
OG0000003	LOC108108144|XP_017071563.1|DEUG	LOC108034850|XP_016965477.1|DBIA
OG0000003	LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG	LOC108030023|XP_016958052.1|DBIA, LOC108029857|XP_016957836.1|DBIA, LOC108029859|XP_016957838.1|DBIA
OG0000003	LOC108106224|XP_017068639.1|DEUG	LOC108030173|XP_016958402.1|DBIA
OG0000003	LOC108104525|XP_017066146.1|DEUG	LOC108029368|XP_016957084.1|DBIA
OG0000003	LOC108104523|XP_017066143.1|DEUG	LOC108029347|XP_016957028.1|DBIA
OG0000003	LOC108104524|XP_017066145.1|DEUG	LOC108029367|XP_016957083.1|DBIA
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC108021907|XP_016946218.1|DBIA
OG0000007	LOC108107881|XP_017071156.1|DEUG	LOC108028761|XP_016956223.1|DBIA
OG0000007	LOC108107526|XP_017070555.1|DEUG	LOC108028548|XP_016955937.1|DBIA
OG0000007	LOC108107883|XP_017071158.1|DEUG	LOC108028546|XP_016955935.1|DBIA
OG0000007	LOC108102687|XP_017063316.1|DEUG	LOC108027672|XP_016954706.1|DBIA
OG0000007	LOC108104447|XP_017065997.1|DEUG	LOC108029358|XP_016957069.1|DBIA
OG0000007	LOC108111280|XP_017076157.1|DEUG, LOC108111281|XP_017076158.1|DEUG	LOC108025042|XP_016950787.1|DBIA, LOC108025513|XP_016951523.1|DBIA
OG0000007	LOC108102523|XP_017063049.1|DEUG	LOC108027695|XP_016954733.1|DBIA
OG0000007	LOC108102695|XP_017063328.1|DEUG	LOC108027675|XP_016954708.1|DBIA
OG0000007	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG	LOC108034518|XP_016964930.1|DBIA
OG0000007	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG	LOC108027854|XP_016954941.1|DBIA
OG0000007	LOC108107529|XP_017070559.1|DEUG	LOC108028309|XP_016955521.1|DBIA
OG0000007	LOC108107925|XP_017071238.1|DEUG	LOC108028310|XP_016955522.1|DBIA
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC108032174|XP_016961516.1|DBIA
OG0000008	LOC108107847|XP_017071090.1|DEUG	LOC108034858|XP_016965498.1|DBIA
OG0000008	LOC108107843|XP_017071086.1|DEUG	LOC108034855|XP_016965493.1|DBIA
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC108033465|XP_016963291.1|DBIA
OG0000008	LOC108107848|XP_017071091.1|DEUG	LOC108034860|XP_016965500.1|DBIA
OG0000008	LOC108103232|XP_017064122.1|DEUG	LOC108029542|XP_016957386.1|DBIA
OG0000008	LOC108116557|XP_017083985.1|DEUG	LOC108027365|XP_016954278.1|DBIA
OG0000008	LOC108116552|XP_017083978.1|DEUG	LOC108027065|XP_016953763.1|DBIA
OG0000008	LOC108116121|XP_017083334.1|DEUG	LOC108027095|XP_016953802.1|DBIA
OG0000008	LOC108116119|XP_017083332.1|DEUG	LOC108027071|XP_016953774.1|DBIA
OG0000009	LOC108117308|XP_017085159.1|DEUG	LOC108031158|XP_016959863.1|DBIA
OG0000009	LOC108117290|XP_017085135.1|DEUG	LOC108032245|XP_016961597.1|DBIA
OG0000009	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG	LOC108031475|XP_016960425.1|DBIA
OG0000009	LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG	LOC108032170|XP_016961513.1|DBIA
OG0000009	LOC108107590|XP_017070640.1|DEUG	LOC108028108|XP_016955244.1|DBIA
OG0000009	LOC108107216|XP_017070122.1|DEUG	LOC108022184|XP_016946525.1|DBIA
OG0000009	LOC108111728|XP_017076770.1|DEUG	LOC108032134|XP_016961458.1|DBIA
OG0000009	LOC108106283|XP_017068739.1|DEUG	LOC108023117|XP_016947872.1|DBIA
OG0000009	LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG	LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA
OG0000010	LOC108105230|XP_017067186.1|DEUG	LOC108024778|XP_016950383.1|DBIA
OG0000010	LOC108103372|XP_017064308.1|DEUG	LOC108035868|XP_016967106.1|DBIA
OG0000011	LOC108111192|XP_017076075.1|DEUG	LOC108027659|XP_016954664.1|DBIA, LOC108027849|XP_016954932.1|DBIA, LOC108027686|XP_016954724.1|DBIA
OG0000011	LOC108102528|XP_017063054.1|DEUG, LOC108102616|XP_017063214.1|DEUG	LOC108027694|XP_016954732.1|DBIA
OG0000011	LOC108108695|XP_017072289.1|DEUG	LOC108030820|XP_016959420.1|DBIA, LOC108030017|XP_016958025.1|DBIA
OG0000011	LOC108118231|XP_017086302.1|DEUG	LOC108025089|XP_016950839.1|DBIA, LOC108027384|XP_016954306.1|DBIA, LOC108035135|XP_016966066.1|DBIA, LOC108027385|XP_016954308.1|DBIA, LOC108028835|XP_016956315.1|DBIA, LOC108027989|XP_016955104.1|DBIA, LOC108030612|XP_016959094.1|DBIA
OG0000011	LOC108111193|XP_017076077.1|DEUG	LOC108027705|XP_016954744.1|DBIA
