Orthogroup	DEUG.longest_only	DVIR.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC6623450|XP_002047287.1|DVIR
OG0000000	LOC108105829|XP_017068062.1|DEUG	LOC6627198|XP_032293006.1|DVIR
OG0000000	LOC108112762|XP_017078510.1|DEUG	LOC6625157|XP_032292502.1|DVIR
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC6626786|XP_002048872.2|DVIR
OG0000000	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG, LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG, LOC108115960|XP_017083085.1|DEUG	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR
OG0000000	LOC108114139|XP_017080411.1|DEUG, LOC108113893|XP_017080087.1|DEUG, LOC108114144|XP_017080415.1|DEUG, LOC108113890|XP_017080084.1|DEUG, LOC108113892|XP_017080086.1|DEUG	LOC6636429|XP_032291674.1|DVIR
OG0000001	LOC108118112|XP_017086151.1|DEUG, LOC108103727|XP_017064815.1|DEUG	LOC116650073|XP_032289315.1|DVIR, LOC116649967|XP_032289174.1|DVIR
OG0000002	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG	LOC6625292|XP_002049777.1|DVIR
OG0000002	LOC108112852|XP_017078659.1|DEUG	LOC6627081|XP_002049906.2|DVIR
OG0000002	LOC108112853|XP_017078660.1|DEUG	LOC6627080|XP_002049905.2|DVIR
OG0000002	LOC108113287|XP_017079326.1|DEUG, LOC108110800|XP_017075517.1|DEUG	LOC6626597|XP_002049033.2|DVIR
OG0000003	LOC108106604|XP_017069284.1|DEUG, LOC108106709|XP_017069429.1|DEUG	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR
OG0000003	LOC108106224|XP_017068639.1|DEUG	LOC6625465|XP_032292893.1|DVIR
OG0000003	LOC108104525|XP_017066146.1|DEUG	LOC6625464|XP_002049668.1|DVIR
