Orthogroup	DEUG.longest_only	DYAK.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC6532541|XP_002093287.2|DYAK
OG0000000	LOC108105829|XP_017068062.1|DEUG	LOC6529038|XP_002090069.2|DYAK
OG0000000	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG	LOC6536475|XP_002097056.2|DYAK
OG0000000	LOC108112762|XP_017078510.1|DEUG	LOC6530087|XP_002091033.1|DYAK
OG0000000	LOC108113889|XP_017080083.1|DEUG	LOC6535099|XP_039229818.1|DYAK
OG0000000	LOC108114143|XP_017080414.1|DEUG	LOC6535097|XP_039229817.1|DYAK
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC6532122|XP_002092898.3|DYAK
OG0000000	LOC108104209|XP_017065641.1|DEUG	LOC26534826|XP_015049134.2|DYAK
OG0000000	LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG	LOC6538960|XP_002099463.2|DYAK
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK
OG0000000	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG	LOC6527857|XP_002088929.1|DYAK
OG0000000	LOC108117463|XP_017085374.1|DEUG	LOC26536234|XP_015048941.1|DYAK
