Orthogroup	DEUG.longest_only	DSUB.longest_only
OG0000000	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB
OG0000000	LOC108108401|XP_017071943.1|DEUG, LOC108108403|XP_017071945.1|DEUG	LOC117898485|XP_034663813.1|DSUB
OG0000000	LOC108112762|XP_017078510.1|DEUG	LOC117889909|XP_034650326.1|DSUB
OG0000000	LOC108113889|XP_017080083.1|DEUG	LOC117893407|XP_034655897.1|DSUB
OG0000000	LOC108114143|XP_017080414.1|DEUG	LOC117893701|XP_034656280.1|DSUB
OG0000000	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG	LOC117893403|XP_034655894.1|DSUB
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC117892287|XP_034654298.1|DSUB
OG0000000	LOC108104209|XP_017065641.1|DEUG, LOC108104204|XP_017065637.1|DEUG, LOC108104205|XP_017065638.1|DEUG, LOC108104206|XP_017065639.1|DEUG, LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB
OG0000000	LOC108113894|XP_017080088.1|DEUG	LOC117892705|XP_034655010.1|DSUB
OG0000000	LOC108104212|XP_017065644.1|DEUG	LOC117899325|XP_034665150.1|DSUB
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB
OG0000000	LOC108113485|XP_017079560.1|DEUG	LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB
OG0000000	LOC108115565|XP_017082560.1|DEUG	LOC117896020|XP_034659918.1|DSUB
OG0000000	LOC108103054|XP_017063857.1|DEUG	LOC117901385|XP_034668002.1|DSUB
OG0000000	LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB
OG0000000	LOC108115960|XP_017083085.1|DEUG	LOC117897324|XP_034661985.1|DSUB
OG0000002	LOC108112852|XP_017078659.1|DEUG	LOC117891991|XP_034653760.1|DSUB
OG0000002	LOC108112853|XP_017078660.1|DEUG	LOC117891990|XP_034653758.1|DSUB
OG0000002	LOC108105850|XP_017068103.1|DEUG	LOC117899951|XP_034665996.1|DSUB
OG0000002	LOC108113287|XP_017079326.1|DEUG	LOC117900215|XP_034666390.1|DSUB
OG0000003	LOC108106604|XP_017069284.1|DEUG, LOC108106709|XP_017069429.1|DEUG	LOC117890983|XP_034652023.1|DSUB
OG0000003	LOC108115764|XP_017082821.1|DEUG, LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG	LOC117890985|XP_034652025.1|DSUB
OG0000003	LOC108106562|XP_017069219.1|DEUG	LOC117890142|XP_034650721.1|DSUB
OG0000003	LOC108106678|XP_017069398.1|DEUG	LOC117890987|XP_034652029.1|DSUB
OG0000003	LOC108106603|XP_017069283.1|DEUG, LOC108106677|XP_017069397.1|DEUG, LOC108108144|XP_017071563.1|DEUG, LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG	LOC117890986|XP_034652027.1|DSUB
OG0000003	LOC108106224|XP_017068639.1|DEUG	LOC117890988|XP_034652030.1|DSUB
OG0000003	LOC108104525|XP_017066146.1|DEUG	LOC117890991|XP_034652033.1|DSUB
OG0000003	LOC108104523|XP_017066143.1|DEUG, LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG	LOC117890982|XP_034652022.1|DSUB
OG0000005	LOC108103412|XP_017064359.1|DEUG	LOC117900068|XP_034666166.1|DSUB
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC117901441|XP_034668075.1|DSUB, LOC117902681|XP_034670104.1|DSUB
OG0000007	LOC108102687|XP_017063316.1|DEUG	LOC117900834|XP_034667236.1|DSUB
OG0000007	LOC108104447|XP_017065997.1|DEUG	LOC117890133|XP_034650711.1|DSUB
OG0000007	LOC108111280|XP_017076157.1|DEUG, LOC108111281|XP_017076158.1|DEUG, LOC108111392|XP_017076316.1|DEUG, LOC108111282|XP_017076159.1|DEUG, LOC108111279|XP_017076156.1|DEUG	LOC117897982|XP_034662985.1|DSUB
OG0000007	LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG	LOC117900835|XP_034667237.1|DSUB
OG0000007	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG	LOC117894709|XP_034657781.1|DSUB
OG0000007	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG	LOC117901609|XP_034668319.1|DSUB
OG0000007	LOC108107529|XP_017070559.1|DEUG	LOC117894591|XP_034657631.1|DSUB
OG0000007	LOC108107925|XP_017071238.1|DEUG	LOC117894593|XP_034657634.1|DSUB
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC117896362|XP_034660529.1|DSUB
OG0000008	LOC108107847|XP_017071090.1|DEUG	LOC117895169|XP_034658523.1|DSUB
