Orthogroup	DEUG.longest_only	DALB.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC117572321|XP_034110946.1|DALB
OG0000000	LOC108112762|XP_017078510.1|DEUG	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB
OG0000000	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC117566676|XP_034102114.1|DALB
OG0000000	LOC108104209|XP_017065641.1|DEUG, LOC108104204|XP_017065637.1|DEUG, LOC108104205|XP_017065638.1|DEUG, LOC108104206|XP_017065639.1|DEUG, LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG, LOC108113894|XP_017080088.1|DEUG, LOC108104212|XP_017065644.1|DEUG, LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG, LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG, LOC108117463|XP_017085374.1|DEUG, LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG, LOC108112677|XP_017078310.1|DEUG, LOC108108192|XP_017071633.1|DEUG, LOC108113914|XP_017080109.1|DEUG, LOC108113484|XP_017079558.1|DEUG, LOC108113483|XP_017079557.1|DEUG, LOC108113485|XP_017079560.1|DEUG, LOC108115565|XP_017082560.1|DEUG, LOC108103054|XP_017063857.1|DEUG	LOC117567230|XP_034102951.1|DALB
OG0000000	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG, LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG	LOC117576780|XP_034117723.1|DALB
OG0000000	LOC108114927|XP_017081602.1|DEUG	LOC117566658|XP_034102093.1|DALB
OG0000000	LOC108114139|XP_017080411.1|DEUG, LOC108113893|XP_017080087.1|DEUG, LOC108114144|XP_017080415.1|DEUG, LOC108113890|XP_017080084.1|DEUG, LOC108113892|XP_017080086.1|DEUG	LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB
OG0000000	LOC108108505|XP_017072063.1|DEUG, LOC108104271|XP_017065711.1|DEUG, LOC108104244|XP_017065683.1|DEUG, LOC108104247|XP_017065685.1|DEUG, LOC108104242|XP_017065681.1|DEUG, LOC108104250|XP_017065688.1|DEUG, LOC108116803|XP_017084340.1|DEUG, LOC108104248|XP_017065686.1|DEUG, LOC108104270|XP_017065710.1|DEUG, LOC108104269|XP_017065708.1|DEUG, LOC108104243|XP_017065682.1|DEUG, LOC108104241|XP_017065680.1|DEUG, LOC108104245|XP_017065684.1|DEUG	LOC117570317|XP_034107750.1|DALB
OG0000001	LOC108111625|XP_017076648.1|DEUG	LOC117573170|XP_034112033.1|DALB
OG0000001	LOC108118112|XP_017086151.1|DEUG, LOC108103727|XP_017064815.1|DEUG	LOC117577421|XP_034118225.1|DALB, LOC117563691|XP_034098027.1|DALB, LOC117577317|XP_034118173.1|DALB
OG0000002	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG	LOC117570812|XP_034108562.1|DALB, LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB
OG0000002	LOC108112852|XP_017078659.1|DEUG	LOC117571538|XP_034109620.1|DALB
OG0000002	LOC108112853|XP_017078660.1|DEUG	LOC117571537|XP_034109617.1|DALB
OG0000002	LOC108114765|XP_017081366.1|DEUG, LOC108105850|XP_017068103.1|DEUG, LOC108110911|XP_017075671.1|DEUG, LOC108102651|XP_017063276.1|DEUG, LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG	LOC117565641|XP_034100743.1|DALB
