Orthogroup	DEUG.longest_only	DMEL.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	CG33700|NP_001027121.3|DMEL
OG0000000	LOC108105829|XP_017068062.1|DEUG	CG33679|NP_001027273.1|DMEL
OG0000000	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG	CG33783|NP_001027168.1|DMEL
OG0000000	LOC108112762|XP_017078510.1|DEUG	CG33775|NP_001027410.1|DMEL
OG0000000	LOC108113889|XP_017080083.1|DEUG	CG33687|NP_001027130.2|DMEL
OG0000000	LOC108114143|XP_017080414.1|DEUG	CG33690|NP_001368948.1|DMEL
OG0000000	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG	CG33688|NP_001027131.1|DMEL
OG0000000	LOC108107246|XP_017070153.1|DEUG	CG12849|NP_611969.2|DMEL
OG0000000	LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG	CG33920|NP_001027214.1|DMEL
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	CG33773|NP_001027213.1|DMEL
OG0000000	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG	CG33723|NP_001027235.1|DMEL
OG0000000	LOC108117463|XP_017085374.1|DEUG	CG33658|NP_001027209.1|DMEL
OG0000000	LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG	CG33798|NP_001027414.1|DMEL
OG0000000	LOC108112677|XP_017078310.1|DEUG	CG33463|NP_995846.2|DMEL
OG0000000	LOC108108192|XP_017071633.1|DEUG	CG33764|NP_001027107.1|DMEL, CG33912|NP_001027139.1|DMEL, CG33632|NP_001036537.1|DMEL
OG0000000	LOC108113483|XP_017079557.1|DEUG	CG33483|NP_001189327.1|DMEL
OG0000000	LOC108113485|XP_017079560.1|DEUG	CG33648|NP_001027265.2|DMEL
OG0000000	LOC108115565|XP_017082560.1|DEUG	CG33721|NP_001036743.1|DMEL
OG0000000	LOC108103054|XP_017063857.1|DEUG	CG33928|NP_001027276.1|DMEL
OG0000000	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG	CG33453|NP_995888.1|DMEL
OG0000000	LOC108105763|XP_017067972.1|DEUG	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL
OG0000000	LOC108115960|XP_017083085.1|DEUG	CG14518|NP_651653.2|DMEL
OG0000000	LOC108114927|XP_017081602.1|DEUG	CG33927|NP_001027147.1|DMEL
OG0000000	LOC108114139|XP_017080411.1|DEUG	CG33796|NP_001027128.1|DMEL
OG0000000	LOC108113890|XP_017080084.1|DEUG	CG33795|NP_001027129.2|DMEL
OG0000002	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG	CG5550|NP_001246376.1|DMEL
OG0000002	LOC108112852|XP_017078659.1|DEUG	CG30281|NP_726164.1|DMEL
OG0000002	LOC108112853|XP_017078660.1|DEUG	CG30280|NP_611641.6|DMEL
OG0000002	LOC108105850|XP_017068103.1|DEUG	CG31832|NP_723894.2|DMEL
OG0000002	LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG	CG7668|NP_649170.1|DMEL
OG0000003	LOC108106604|XP_017069284.1|DEUG	Cyp6a9|NP_523748.2|DMEL
OG0000003	LOC108106709|XP_017069429.1|DEUG	Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC108115764|XP_017082821.1|DEUG	Cyp6a18|NP_651563.1|DMEL
OG0000003	LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG	Cyp6a8|NP_523749.2|DMEL
OG0000003	LOC108106562|XP_017069219.1|DEUG	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC108106678|XP_017069398.1|DEUG	Cyp6a23|NP_611000.2|DMEL
OG0000003	LOC108106677|XP_017069397.1|DEUG	Cyp6a19|NP_611001.2|DMEL
OG0000003	LOC108106224|XP_017068639.1|DEUG	Cyp6a22|NP_652075.1|DMEL
