Orthogroup	DEUG.longest_only	CQUI.longest_only
OG0000002	LOC108110911|XP_017075671.1|DEUG, LOC108102651|XP_017063276.1|DEUG, LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG	LOC6051752|XP_038114241.1|CQUI, LOC6048495|XP_038106961.1|CQUI, LOC6043552|XP_038106320.1|CQUI, LOC119767575|XP_038112403.1|CQUI, LOC6049145|XP_001865939.2|CQUI, LOC6038327|XP_038110332.1|CQUI
OG0000005	LOC108103412|XP_017064359.1|DEUG	LOC6054619|XP_001870506.1|CQUI, LOC6042909|XP_001853966.2|CQUI, LOC6042917|XP_001854001.1|CQUI, LOC119767402|XP_038111852.1|CQUI, LOC6037816|XP_038107337.1|CQUI
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC6045337|XP_001862726.1|CQUI, LOC6045306|XP_001862695.1|CQUI
OG0000007	LOC108107881|XP_017071156.1|DEUG, LOC108107527|XP_017070556.1|DEUG, LOC108107526|XP_017070555.1|DEUG, LOC108107882|XP_017071157.1|DEUG, LOC108107883|XP_017071158.1|DEUG, LOC108102687|XP_017063316.1|DEUG, LOC108104447|XP_017065997.1|DEUG, LOC108111280|XP_017076157.1|DEUG, LOC108111281|XP_017076158.1|DEUG, LOC108111392|XP_017076316.1|DEUG, LOC108111282|XP_017076159.1|DEUG, LOC108111279|XP_017076156.1|DEUG, LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG, LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG, LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG, LOC108107529|XP_017070559.1|DEUG, LOC108107925|XP_017071238.1|DEUG	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI
OG0000008	LOC108107847|XP_017071090.1|DEUG	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI
OG0000008	LOC108107843|XP_017071086.1|DEUG	LOC6035807|XP_001845929.1|CQUI
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC6041962|XP_038113753.1|CQUI
OG0000008	LOC108107848|XP_017071091.1|DEUG	LOC6035809|XP_001845931.2|CQUI
OG0000009	LOC108117308|XP_017085159.1|DEUG, LOC108117290|XP_017085135.1|DEUG, LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG, LOC108107590|XP_017070640.1|DEUG, LOC108107618|XP_017070676.1|DEUG, LOC108107216|XP_017070122.1|DEUG, LOC108111728|XP_017076770.1|DEUG, LOC108106283|XP_017068739.1|DEUG, LOC108110759|XP_017075465.1|DEUG, LOC108110896|XP_017075646.1|DEUG, LOC108110742|XP_017075440.1|DEUG, LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI
OG0000010	LOC108105230|XP_017067186.1|DEUG, LOC108103372|XP_017064308.1|DEUG	LOC6054618|XP_038112552.1|CQUI
