Orthogroup	DPSE.longest_only	DGUA.longest_only
OG0000000	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE	LOC117592188|XP_034141680.1|DGUA
OG0000000	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE	LOC117583189|XP_034127284.1|DGUA
OG0000000	LOC6896908|XP_033233090.1|DPSE	LOC117583148|XP_034127229.1|DGUA
OG0000000	LOC6898695|XP_002138700.2|DPSE	LOC117588815|XP_034136215.1|DGUA
OG0000000	LOC117184977|XP_033240205.1|DPSE	LOC117589025|XP_034136545.1|DGUA
OG0000000	LOC6899999|XP_033240207.1|DPSE	LOC117588940|XP_034136409.1|DGUA
OG0000000	LOC4804691|XP_001361210.2|DPSE	LOC117592532|XP_034142283.1|DGUA
OG0000000	LOC6896676|XP_033241757.1|DPSE	LOC117583198|XP_034127292.1|DGUA
OG0000000	LOC13036386|XP_033232979.1|DPSE	LOC117583197|XP_034127291.1|DGUA
OG0000000	LOC117183963|XP_033235597.1|DPSE	LOC117578480|XP_034119907.1|DGUA
OG0000000	LOC6897227|XP_002137399.2|DPSE	LOC117583318|XP_034127468.1|DGUA
OG0000000	LOC6902907|XP_033236216.1|DPSE	LOC117582218|XP_034125717.1|DGUA
OG0000000	LOC6898538|XP_033233460.1|DPSE	LOC117592522|XP_034142264.1|DGUA
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE, LOC6896813|XP_033232366.1|DPSE	LOC117592359|XP_034141946.1|DGUA
OG0000000	LOC4801605|XP_001358672.2|DPSE	LOC117589701|XP_034137755.1|DGUA
OG0000000	LOC13036336|XP_033233031.1|DPSE, LOC117183386|XP_033233030.1|DPSE, LOC117183385|XP_033233027.1|DPSE, LOC13036529|XP_033233038.1|DPSE	LOC117585205|XP_034130473.1|DGUA
OG0000000	LOC6897761|XP_002137866.2|DPSE	LOC117585431|XP_034130796.1|DGUA
