Orthogroup	DPSE.longest_only	DEUG.longest_only
OG0000000	LOC6898698|XP_015040315.2|DPSE	LOC108105829|XP_017068062.1|DEUG
OG0000000	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG
OG0000000	LOC6896908|XP_033233090.1|DPSE	LOC108108401|XP_017071943.1|DEUG, LOC108108403|XP_017071945.1|DEUG
OG0000000	LOC6898695|XP_002138700.2|DPSE	LOC108112762|XP_017078510.1|DEUG
OG0000000	LOC117184977|XP_033240205.1|DPSE	LOC108113889|XP_017080083.1|DEUG
OG0000000	LOC6900000|XP_002135366.3|DPSE	LOC108114143|XP_017080414.1|DEUG
OG0000000	LOC6899999|XP_033240207.1|DPSE	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG
OG0000000	LOC4804691|XP_001361210.2|DPSE	LOC108107246|XP_017070153.1|DEUG
OG0000000	LOC6896672|XP_033232290.1|DPSE	LOC108104209|XP_017065641.1|DEUG, LOC108104204|XP_017065637.1|DEUG, LOC108104205|XP_017065638.1|DEUG, LOC108104206|XP_017065639.1|DEUG, LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG
OG0000000	LOC26532949|XP_015039423.1|DPSE	LOC108113894|XP_017080088.1|DEUG
OG0000000	LOC6896676|XP_033241757.1|DPSE	LOC108104212|XP_017065644.1|DEUG
OG0000000	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG
OG0000000	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE	LOC108113485|XP_017079560.1|DEUG
OG0000000	LOC6897227|XP_002137399.2|DPSE	LOC108115565|XP_017082560.1|DEUG
OG0000000	LOC6902907|XP_033236216.1|DPSE	LOC108103054|XP_017063857.1|DEUG
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE	LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG
OG0000000	LOC4801605|XP_001358672.2|DPSE	LOC108115960|XP_017083085.1|DEUG
OG0000000	LOC6897749|XP_033232309.1|DPSE	LOC108104271|XP_017065711.1|DEUG, LOC108104244|XP_017065683.1|DEUG, LOC108104247|XP_017065685.1|DEUG, LOC108104242|XP_017065681.1|DEUG, LOC108104250|XP_017065688.1|DEUG, LOC108116803|XP_017084340.1|DEUG, LOC108104248|XP_017065686.1|DEUG, LOC108104270|XP_017065710.1|DEUG, LOC108104269|XP_017065708.1|DEUG, LOC108104243|XP_017065682.1|DEUG, LOC108104241|XP_017065680.1|DEUG, LOC108104245|XP_017065684.1|DEUG
OG0000001	LOC117184744|XP_033239458.1|DPSE, LOC117185672|XP_033241852.1|DPSE, LOC117184861|XP_033239816.1|DPSE	LOC108111625|XP_017076648.1|DEUG
OG0000002	LOC6899110|XP_033234698.1|DPSE	LOC108112852|XP_017078659.1|DEUG
OG0000002	LOC6899111|XP_002139028.1|DPSE	LOC108112853|XP_017078660.1|DEUG
OG0000002	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE	LOC108105850|XP_017068103.1|DEUG
OG0000002	LOC6900542|XP_033238667.1|DPSE	LOC108110911|XP_017075671.1|DEUG, LOC108102651|XP_017063276.1|DEUG, LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG
OG0000002	LOC6902531|XP_002133071.3|DPSE	LOC108113287|XP_017079326.1|DEUG
OG0000003	LOC4804983|XP_001361457.3|DPSE	LOC108106604|XP_017069284.1|DEUG, LOC108106709|XP_017069429.1|DEUG
OG0000003	LOC4804982|XP_001361456.3|DPSE	LOC108115764|XP_017082821.1|DEUG, LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG
OG0000003	LOC4803409|XP_001360156.1|DPSE	LOC108106562|XP_017069219.1|DEUG
OG0000003	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE	LOC108106678|XP_017069398.1|DEUG
OG0000003	LOC4804980|XP_001361454.1|DPSE	LOC108106603|XP_017069283.1|DEUG, LOC108106677|XP_017069397.1|DEUG, LOC108108144|XP_017071563.1|DEUG, LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG
OG0000003	LOC4804975|XP_001361450.3|DPSE	LOC108106224|XP_017068639.1|DEUG
OG0000003	LOC4804978|XP_001361452.2|DPSE	LOC108104525|XP_017066146.1|DEUG
OG0000003	LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE	LOC108104523|XP_017066143.1|DEUG, LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG
