Orthogroup	DPSE.longest_only	DSUZ.longest_only
OG0000000	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE	LOC108019552|XP_036669814.1|DSUZ
OG0000000	LOC6898698|XP_015040315.2|DPSE	LOC108013696|XP_016935107.1|DSUZ
OG0000000	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE	LOC108013925|XP_016935418.2|DSUZ
OG0000000	LOC6896908|XP_033233090.1|DPSE	LOC108011771|XP_036670496.1|DSUZ, LOC118877506|XP_036672430.1|DSUZ
OG0000000	LOC6898695|XP_002138700.2|DPSE	LOC108019563|XP_016942889.1|DSUZ
OG0000000	LOC117184977|XP_033240205.1|DPSE	LOC118877230|XP_036670644.1|DSUZ
OG0000000	LOC6900000|XP_002135366.3|DPSE	LOC108007474|XP_036670349.1|DSUZ
OG0000000	LOC6899999|XP_033240207.1|DPSE	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ
OG0000000	LOC4804691|XP_001361210.2|DPSE	LOC108008220|XP_016927499.2|DSUZ
OG0000000	LOC6896672|XP_033232290.1|DPSE	LOC108021133|XP_036668720.1|DSUZ, LOC108014040|XP_016935546.2|DSUZ
OG0000000	LOC26532949|XP_015039423.1|DPSE	LOC118878117|XP_036675454.1|DSUZ
OG0000000	LOC6896676|XP_033241757.1|DPSE	LOC118878125|XP_036675508.1|DSUZ
OG0000000	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE	LOC108012145|XP_036675462.1|DSUZ
OG0000000	LOC6898794|XP_033234286.1|DPSE, LOC117183537|XP_033233520.1|DPSE, LOC117183751|XP_033234658.1|DPSE, LOC6898801|XP_033234867.1|DPSE	LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ
OG0000000	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE	LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ
OG0000000	LOC6902907|XP_033236216.1|DPSE	LOC108013429|XP_016934786.2|DSUZ
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ
OG0000000	LOC4801605|XP_001358672.2|DPSE	LOC108020157|XP_036673587.1|DSUZ
