Orthogroup	DPSE.longest_only	ASTE.longest_only
OG0000001	LOC117184929|XP_033240037.1|DPSE	LOC118517068|XP_035918818.1|ASTE, LOC118515168|XP_035917767.1|ASTE, LOC118516690|XP_035918528.1|ASTE
OG0000001	LOC6899689|XP_015044449.2|DPSE, LOC117184831|XP_033239700.1|DPSE, LOC117185157|XP_033241160.1|DPSE, LOC117183639|XP_033234125.1|DPSE, LOC117184075|XP_033236063.1|DPSE, LOC6899580|XP_033235226.1|DPSE, LOC117184644|XP_033239077.1|DPSE, LOC117184038|XP_033235938.1|DPSE	LOC118510932|XP_035909246.1|ASTE
OG0000006	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE	LOC118517636|XP_035919841.1|ASTE
OG0000006	LOC117183581|XP_033233838.1|DPSE	LOC118508036|XP_035903331.1|ASTE
OG0000008	LOC4803265|XP_001360036.3|DPSE	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE
OG0000008	LOC6900302|XP_002135624.1|DPSE	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE
OG0000008	LOC6903158|XP_002132860.2|DPSE	LOC118509007|XP_035904915.1|ASTE
OG0000009	LOC6897995|XP_002138092.2|DPSE, LOC4803283|XP_001360048.3|DPSE, LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE, LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE, LOC4805603|XP_001361980.2|DPSE, LOC4802604|XP_001359493.2|DPSE, LOC4804281|XP_001360862.1|DPSE, LOC6898444|XP_002138487.3|DPSE	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE
OG0000010	LOC117185619|XP_033241650.1|DPSE, LOC117183603|XP_033233990.1|DPSE	LOC118503730|XP_035893236.1|ASTE
OG0000010	LOC26532676|XP_015035129.1|DPSE	LOC118509785|XP_035906820.1|ASTE
OG0000012	LOC4804261|XP_015039777.2|DPSE, LOC4804255|XP_001360842.2|DPSE, LOC4804254|XP_015039772.2|DPSE, LOC6898436|XP_033233736.1|DPSE, LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE, LOC4804256|XP_015039778.2|DPSE, LOC4804263|XP_001360847.3|DPSE, LOC6898438|XP_002138480.2|DPSE, LOC4804265|XP_001360848.3|DPSE, LOC6898439|XP_002138481.3|DPSE, LOC4804266|XP_033235099.1|DPSE	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE
OG0000013	LOC4805483|XP_001361878.1|DPSE	LOC118507210|XP_035901192.1|ASTE
OG0000013	LOC4815139|XP_001354758.1|DPSE	LOC118503015|XP_035891731.1|ASTE
OG0000013	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
OG0000013	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE, LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE
OG0000016	LOC4801993|XP_001359004.1|DPSE, LOC6898475|XP_002138517.1|DPSE	LOC118502962|XP_035891619.1|ASTE
OG0000016	LOC4801351|XP_001358460.1|DPSE	LOC118503654|XP_035893068.1|ASTE
OG0000016	LOC4814924|XP_001354857.1|DPSE	LOC118505170|XP_035896494.1|ASTE
OG0000016	LOC4812150|XP_001352883.1|DPSE	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE
OG0000018	LOC5495511|XP_001353833.1|DPSE	LOC118513024|XP_035914194.1|ASTE
OG0000019	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE, LOC4801129|XP_033235715.1|DPSE, LOC4801131|XP_001358273.2|DPSE, LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE
OG0000020	LOC6896759|XP_002136966.1|DPSE, LOC4803770|XP_001360432.3|DPSE	LOC118507513|XP_035901949.1|ASTE
OG0000020	LOC6902791|XP_002132528.2|DPSE, LOC117183221|XP_033232918.1|DPSE, LOC6897832|XP_002137937.1|DPSE, LOC4818201|XP_033236143.1|DPSE	LOC118509588|XP_035906253.1|ASTE
OG0000021	LOC6901473|XP_033238237.1|DPSE	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE
OG0000021	LOC6897478|XP_002137627.1|DPSE, LOC4800831|XP_001358035.1|DPSE, LOC6901811|XP_002134479.1|DPSE	LOC118505796|XP_035898023.1|ASTE
OG0000022	LOC4804646|XP_033234778.1|DPSE, LOC6899947|XP_002135315.1|DPSE, LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE, LOC6899951|XP_002135319.3|DPSE, LOC6899954|XP_002135322.1|DPSE, LOC6899950|XP_002135318.2|DPSE, LOC6899952|XP_002135320.3|DPSE, LOC6899955|XP_002135323.1|DPSE, LOC4812049|XP_001352467.1|DPSE, LOC6899946|XP_002135314.1|DPSE, LOC6899948|XP_002135316.2|DPSE	LOC118510588|XP_035908481.1|ASTE
OG0000023	LOC6897864|XP_033232668.1|DPSE, LOC4802962|XP_001359775.3|DPSE, LOC4802964|XP_001359777.4|DPSE, LOC4804210|XP_001360806.2|DPSE, LOC6897865|XP_033232678.1|DPSE, LOC4802957|XP_001359771.3|DPSE, LOC5495505|XP_001359769.4|DPSE, LOC5384073|XP_001359768.2|DPSE, LOC4802956|XP_015038205.2|DPSE	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC6898786|XP_002138763.2|DPSE, LOC6898785|XP_002138762.1|DPSE, LOC5495520|XP_001361563.3|DPSE, LOC4805107|XP_001361564.1|DPSE, LOC6899225|XP_002136299.3|DPSE, LOC5495508|XP_001361566.2|DPSE, LOC4805028|XP_001361496.1|DPSE	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC6901557|XP_002134231.1|DPSE	LOC118503683|XP_035893118.1|ASTE, LOC118514136|XP_035916629.1|ASTE
OG0000026	LOC4815876|XP_001355332.2|DPSE, LOC4801930|XP_001358948.3|DPSE, LOC6897388|XP_002137540.2|DPSE, LOC4800860|XP_001358060.2|DPSE	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE
OG0000027	LOC6902829|XP_002132565.2|DPSE, LOC4817432|XP_001356466.2|DPSE, LOC4816919|XP_001356465.1|DPSE	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE
OG0000028	LOC6900259|XP_002135588.3|DPSE, LOC26532152|XP_033239703.1|DPSE, LOC6900257|XP_033239706.1|DPSE, LOC117184834|XP_033239705.1|DPSE, LOC26533203|XP_015044031.2|DPSE, LOC6900258|XP_002135587.2|DPSE, LOC117183194|XP_033239704.1|DPSE, LOC117184835|XP_033239707.1|DPSE, LOC6900255|XP_002135584.2|DPSE, LOC6900007|XP_002135372.2|DPSE	LOC118513512|XP_035915261.1|ASTE
OG0000029	LOC117183538|XP_033233522.1|DPSE, LOC6898458|XP_002138501.2|DPSE, LOC26533066|XP_015039817.2|DPSE, LOC6897267|XP_033233167.1|DPSE, LOC4813458|XP_001353977.2|DPSE	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE
OG0000031	LOC6902663|XP_015036753.2|DPSE, LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE
OG0000032	LOC4800808|XP_001358017.2|DPSE, LOC6896921|XP_033236577.1|DPSE, LOC4800814|XP_001358021.1|DPSE, LOC4800811|XP_001358020.3|DPSE	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE
