Orthogroup	DPSE.longest_only	CPIP.longest_only
OG0000001	LOC117184929|XP_033240037.1|DPSE	LOC120417801|XP_039435934.1|CPIP, LOC120413964|XP_039430904.1|CPIP, LOC120419883|XP_039438681.1|CPIP, LOC120424000|XP_039443942.1|CPIP, LOC120415385|XP_039432843.1|CPIP
OG0000001	LOC117184646|XP_033239083.1|DPSE, LOC117183632|XP_033234091.1|DPSE, LOC117184885|XP_033239875.1|DPSE, LOC117185599|XP_033241627.1|DPSE, LOC117184570|XP_033238730.1|DPSE, LOC117184630|XP_033239023.1|DPSE, LOC117183489|XP_033233200.1|DPSE, LOC117183635|XP_033234095.1|DPSE, LOC117185173|XP_033241307.1|DPSE, LOC117184661|XP_033239137.1|DPSE, LOC117184561|XP_033238671.1|DPSE, LOC117184560|XP_033238670.1|DPSE	LOC120413315|XP_039430017.1|CPIP, LOC120423043|XP_039442644.1|CPIP, LOC120430559|XP_039451607.1|CPIP, LOC120426566|XP_039447276.1|CPIP, LOC120426978|XP_039447730.1|CPIP, LOC120431423|XP_039452479.1|CPIP, LOC120425893|XP_039446445.1|CPIP, LOC120426987|XP_039447736.1|CPIP, LOC120431421|XP_039452476.1|CPIP, LOC120432073|XP_039453137.1|CPIP, LOC120431130|XP_039452216.1|CPIP, LOC120412455|XP_039428860.1|CPIP, LOC120425674|XP_039446191.1|CPIP, LOC120430157|XP_039451174.1|CPIP, LOC120416259|XP_039433896.1|CPIP, LOC120427814|XP_039448672.1|CPIP, LOC120416260|XP_039433897.1|CPIP, LOC120416979|XP_039434837.1|CPIP, LOC120413730|XP_039430628.1|CPIP, LOC120421521|XP_039440676.1|CPIP, LOC120412957|XP_039429565.1|CPIP, LOC120417306|XP_039435191.1|CPIP, LOC120416040|XP_039433630.1|CPIP, LOC120431232|XP_039452302.1|CPIP, LOC120421940|XP_039441182.1|CPIP, LOC120427651|XP_039448464.1|CPIP, LOC120431985|XP_039453056.1|CPIP
OG0000001	LOC117184985|XP_033240229.1|DPSE	LOC120431875|XP_039452940.1|CPIP, LOC120428660|XP_039449641.1|CPIP, LOC120427923|XP_039448796.1|CPIP, LOC120413598|XP_039430439.1|CPIP, LOC120416220|XP_039433853.1|CPIP, LOC120427231|XP_039448028.1|CPIP, LOC120415698|XP_039433224.1|CPIP, LOC120426893|XP_039447632.1|CPIP, LOC120414714|XP_039431954.1|CPIP, LOC120413348|XP_039430064.1|CPIP, LOC120417098|XP_039435011.1|CPIP, LOC120431144|XP_039452219.1|CPIP, LOC120423997|XP_039443940.1|CPIP, LOC120426643|XP_039447364.1|CPIP, LOC120412573|XP_039429021.1|CPIP, LOC120432360|XP_039453488.1|CPIP, LOC120432034|XP_039453102.1|CPIP, LOC120423032|XP_039442606.1|CPIP, LOC120431782|XP_039452837.1|CPIP, LOC120417948|XP_039436116.1|CPIP
OG0000001	LOC117184685|XP_033239190.1|DPSE, LOC117184639|XP_033239061.1|DPSE	LOC120429878|XP_039450892.1|CPIP
OG0000002	LOC6900542|XP_033238667.1|DPSE	LOC120432609|XP_039453790.1|CPIP, LOC120426099|XP_039446736.1|CPIP, LOC120422400|XP_039441752.1|CPIP, LOC120426484|XP_039447184.1|CPIP, LOC120414036|XP_039430992.1|CPIP, LOC120421041|XP_039440119.1|CPIP, LOC120421040|XP_039440118.1|CPIP, LOC120420327|XP_039439256.1|CPIP, LOC120428552|XP_039449518.1|CPIP, LOC120419373|XP_039437975.1|CPIP, LOC120419367|XP_039437970.1|CPIP, LOC120419375|XP_039437981.1|CPIP, LOC120419374|XP_039437979.1|CPIP
OG0000006	LOC117183581|XP_033233838.1|DPSE	LOC120422946|XP_039442462.1|CPIP, LOC120422948|XP_039442464.1|CPIP, LOC120425523|XP_039446011.1|CPIP, LOC120425547|XP_039446042.1|CPIP, LOC120415403|XP_039432863.1|CPIP, LOC120419524|XP_039438169.1|CPIP, LOC120421025|XP_039440092.1|CPIP, LOC120425532|XP_039446021.1|CPIP, LOC120415440|XP_039432922.1|CPIP, LOC120430245|XP_039451257.1|CPIP, LOC120420432|XP_039439389.1|CPIP
OG0000007	LOC6900428|XP_002134819.1|DPSE, LOC5495512|XP_001353851.2|DPSE, LOC5495507|XP_001353849.1|DPSE, LOC5495509|XP_001355939.3|DPSE, LOC4805058|XP_001361522.1|DPSE, LOC6896708|XP_002136922.1|DPSE, LOC4800234|XP_001357614.1|DPSE, LOC6896707|XP_002136921.2|DPSE, LOC4816610|XP_001355938.2|DPSE, LOC4813941|XP_001354103.1|DPSE, LOC4816998|XP_001356721.3|DPSE, LOC4813497|XP_001353852.2|DPSE, LOC4813468|XP_001353840.2|DPSE	LOC120412432|XP_039428825.1|CPIP, LOC120412413|XP_039428810.1|CPIP, LOC120412387|XP_039428758.1|CPIP, LOC120412425|XP_039428820.1|CPIP
OG0000008	LOC4803265|XP_001360036.3|DPSE	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP
OG0000008	LOC6900302|XP_002135624.1|DPSE	LOC120421629|XP_039440794.1|CPIP, LOC120421652|XP_039440822.1|CPIP, LOC120421673|XP_039440840.1|CPIP
OG0000008	LOC6900304|XP_002135626.2|DPSE	LOC120421619|XP_039440783.1|CPIP
OG0000008	LOC6903158|XP_002132860.2|DPSE	LOC120421726|XP_039440908.1|CPIP
