Orthogroup	DPSE.longest_only	DSUP.longest_only
OG0000000	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE	LOC119551980|XP_037717623.1|DSUP
OG0000000	LOC6898698|XP_015040315.2|DPSE	LOC119548573|XP_037711818.1|DSUP
OG0000000	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE	LOC119560985|XP_037730690.1|DSUP
OG0000000	LOC6898695|XP_002138700.2|DPSE	LOC119551998|XP_037717650.1|DSUP
OG0000000	LOC117184977|XP_033240205.1|DPSE	LOC119555358|XP_037722624.1|DSUP
OG0000000	LOC6900000|XP_002135366.3|DPSE	LOC119555354|XP_037722619.1|DSUP
OG0000000	LOC6899999|XP_033240207.1|DPSE	LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP, LOC119552809|XP_037718575.1|DSUP
OG0000000	LOC4804691|XP_001361210.2|DPSE	LOC119549854|XP_037714077.1|DSUP
OG0000000	LOC6896672|XP_033232290.1|DPSE	LOC119563094|XP_037732252.1|DSUP
OG0000000	LOC6896676|XP_033241757.1|DPSE	LOC119562944|XP_037732029.1|DSUP
OG0000000	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE	LOC119554391|XP_037721205.1|DSUP, LOC119554400|XP_037721217.1|DSUP
OG0000000	LOC6898794|XP_033234286.1|DPSE, LOC117183537|XP_033233520.1|DPSE, LOC117183751|XP_033234658.1|DPSE, LOC6898801|XP_033234867.1|DPSE	LOC119553046|XP_037719085.1|DSUP
OG0000000	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE	LOC119547184|XP_037709847.1|DSUP
OG0000000	LOC6902907|XP_033236216.1|DPSE	LOC119546339|XP_037708468.1|DSUP
OG0000000	LOC6898538|XP_033233460.1|DPSE	LOC119548570|XP_037711816.1|DSUP
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP
OG0000000	LOC4801605|XP_001358672.2|DPSE	LOC119563146|XP_037732330.1|DSUP
OG0000001	LOC117183655|XP_033234152.1|DPSE	LOC119561839|XP_037731247.1|DSUP
OG0000001	LOC117183762|XP_033234766.1|DPSE, LOC117184464|XP_033238070.1|DPSE, LOC117184939|XP_033240070.1|DPSE, LOC117183710|XP_033234454.1|DPSE	LOC119561797|XP_037731208.1|DSUP, LOC119559462|XP_037728496.1|DSUP, LOC119559031|XP_037728088.1|DSUP, LOC119562332|XP_037731421.1|DSUP, LOC119561847|XP_037731255.1|DSUP, LOC119562465|XP_037731580.1|DSUP
OG0000001	LOC117184985|XP_033240229.1|DPSE	LOC119561984|XP_037731306.1|DSUP, LOC119562263|XP_037731367.1|DSUP, LOC119562262|XP_037731366.1|DSUP, LOC119559638|XP_037728615.1|DSUP, LOC119559616|XP_037728581.1|DSUP, LOC119559159|XP_037728155.1|DSUP, LOC119561856|XP_037731264.1|DSUP, LOC119562326|XP_037731412.1|DSUP, LOC119562410|XP_037731533.1|DSUP, LOC119559150|XP_037728149.1|DSUP, LOC119562357|XP_037731447.1|DSUP
OG0000002	LOC6899110|XP_033234698.1|DPSE	LOC119551092|XP_037716195.1|DSUP
OG0000002	LOC6899111|XP_002139028.1|DPSE	LOC119551091|XP_037716194.1|DSUP
OG0000002	LOC6900542|XP_033238667.1|DPSE	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP
OG0000002	LOC6902531|XP_002133071.3|DPSE	LOC119546867|XP_037709399.1|DSUP
OG0000003	LOC4804983|XP_001361457.3|DPSE	LOC119549193|XP_037712950.1|DSUP, LOC119549691|XP_037713842.1|DSUP
OG0000003	LOC4804982|XP_001361456.3|DPSE	LOC119553060|XP_037719113.1|DSUP, LOC119549692|XP_037713843.1|DSUP
OG0000003	LOC4803409|XP_001360156.1|DPSE	LOC119548975|XP_037712493.1|DSUP
OG0000003	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE	LOC119549751|XP_037713922.1|DSUP, LOC119549192|XP_037712949.1|DSUP, LOC119549585|XP_037713671.1|DSUP
OG0000003	LOC4804980|XP_001361454.1|DPSE	LOC119549194|XP_037712951.1|DSUP, LOC119550953|XP_037715907.1|DSUP
OG0000003	LOC4804975|XP_001361450.3|DPSE	LOC119549586|XP_037713672.1|DSUP
OG0000003	LOC4804978|XP_001361452.2|DPSE	LOC119551761|XP_037717216.1|DSUP
OG0000003	LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE	LOC119551759|XP_037717214.1|DSUP, LOC119551760|XP_037717215.1|DSUP
OG0000003	LOC6902590|XP_002133118.2|DPSE	LOC119546510|XP_037708761.1|DSUP
OG0000004	LOC6901706|XP_002134374.3|DPSE, LOC26534400|XP_015042050.2|DPSE	LOC119559238|XP_037728236.1|DSUP, LOC119561506|XP_037731085.1|DSUP
OG0000006	LOC117185602|XP_033241630.1|DPSE	LOC119546623|XP_037708988.1|DSUP
OG0000006	LOC117183556|XP_033233676.1|DPSE	LOC119559186|XP_037728175.1|DSUP
OG0000006	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE	LOC119559257|XP_037728256.1|DSUP
OG0000006	LOC117183581|XP_033233838.1|DPSE	LOC119559185|XP_037728174.1|DSUP, LOC119559256|XP_037728254.1|DSUP, LOC119548247|XP_037711316.1|DSUP, LOC119559259|XP_037728258.1|DSUP, LOC119547943|XP_037710919.1|DSUP
OG0000007	LOC6900428|XP_002134819.1|DPSE	LOC119555653|XP_037723160.1|DSUP
OG0000007	LOC5495512|XP_001353851.2|DPSE	LOC119554492|XP_037721353.1|DSUP
OG0000007	LOC5495507|XP_001353849.1|DPSE	LOC119554489|XP_037721348.1|DSUP
OG0000007	LOC5495509|XP_001355939.3|DPSE	LOC119546692|XP_037709098.1|DSUP
OG0000007	LOC4805058|XP_001361522.1|DPSE	LOC119550735|XP_037715578.1|DSUP
OG0000007	LOC4816610|XP_001355938.2|DPSE	LOC119546891|XP_037709439.1|DSUP
OG0000007	LOC4813941|XP_001354103.1|DPSE	LOC119553445|XP_037719763.1|DSUP
OG0000007	LOC4816998|XP_001356721.3|DPSE	LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP
OG0000007	LOC4813468|XP_001353840.2|DPSE	LOC119554496|XP_037721356.1|DSUP
OG0000008	LOC4803265|XP_001360036.3|DPSE	LOC119559922|XP_037729053.1|DSUP
OG0000008	LOC6900302|XP_002135624.1|DPSE	LOC119554295|XP_037721083.1|DSUP
OG0000008	LOC6900304|XP_002135626.2|DPSE	LOC119554293|XP_037721080.1|DSUP
OG0000008	LOC6903158|XP_002132860.2|DPSE	LOC119546547|XP_037708827.1|DSUP
OG0000008	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE	LOC119560392|XP_037729748.1|DSUP, LOC119560143|XP_037729425.1|DSUP
OG0000008	LOC4802270|XP_033239768.1|DPSE	LOC119560395|XP_037729751.1|DSUP
OG0000008	LOC117184116|XP_033236234.1|DPSE	LOC119560394|XP_037729750.1|DSUP
OG0000008	LOC4802269|XP_001359223.2|DPSE	LOC119560107|XP_037729380.1|DSUP
OG0000009	LOC6897995|XP_002138092.2|DPSE	LOC119560146|XP_037729428.1|DSUP
OG0000009	LOC4803283|XP_001360048.3|DPSE	LOC119560480|XP_037729870.1|DSUP
OG0000009	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE	LOC119560408|XP_037729769.1|DSUP, LOC119560481|XP_037729871.1|DSUP
OG0000009	LOC4805603|XP_001361980.2|DPSE	LOC119550480|XP_037715097.1|DSUP
OG0000009	LOC4802604|XP_001359493.2|DPSE	LOC119560195|XP_037729489.1|DSUP
OG0000009	LOC4804281|XP_001360862.1|DPSE	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP
OG0000009	LOC6898444|XP_002138487.3|DPSE	LOC119547540|XP_037710365.1|DSUP, LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP
OG0000010	LOC117183603|XP_033233990.1|DPSE	LOC119559220|XP_037728219.1|DSUP
OG0000010	LOC117185640|XP_033241727.1|DPSE	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP, LOC119559234|XP_037728233.1|DSUP
OG0000010	LOC26532676|XP_015035129.1|DPSE	LOC119548250|XP_037711321.1|DSUP
OG0000010	LOC26532710|XP_015035140.1|DPSE	LOC119547947|XP_037710925.1|DSUP
OG0000010	LOC117183563|XP_033233697.1|DPSE	LOC119559216|XP_037728214.1|DSUP
OG0000011	LOC6903257|XP_015036468.1|DPSE, LOC26534003|XP_015037011.2|DPSE, LOC6902418|XP_033235641.1|DPSE, LOC6902419|XP_015037014.2|DPSE, LOC26532842|XP_033240537.1|DPSE, LOC6903258|XP_033236331.1|DPSE, LOC117184128|XP_033236322.1|DPSE, LOC117184127|XP_033236312.1|DPSE, LOC6903259|XP_015036470.1|DPSE, LOC6900979|XP_033239557.1|DPSE, LOC6904000|XP_033239558.1|DPSE, LOC6903305|XP_002132493.1|DPSE, LOC6903279|XP_002132978.2|DPSE, LOC26533994|XP_033236319.1|DPSE, LOC117184073|XP_033236055.1|DPSE, LOC26533837|XP_033236050.1|DPSE, LOC117184074|XP_033236060.1|DPSE, LOC6903240|XP_033236052.1|DPSE, LOC6903239|XP_015036440.1|DPSE	LOC119548026|XP_037711028.1|DSUP, LOC119547062|XP_037709672.1|DSUP, LOC119558003|XP_037727039.1|DSUP, LOC119548095|XP_037711111.1|DSUP, LOC119548094|XP_037711110.1|DSUP, LOC119548461|XP_037711657.1|DSUP, LOC119548363|XP_037711507.1|DSUP, LOC119548364|XP_037711508.1|DSUP, LOC119546642|XP_037709016.1|DSUP, LOC119546643|XP_037709017.1|DSUP, LOC119548873|XP_037712431.1|DSUP, LOC119546938|XP_037709503.1|DSUP, LOC119555043|XP_037722157.1|DSUP, LOC119555066|XP_037722201.1|DSUP, LOC119557843|XP_037726753.1|DSUP, LOC119560943|XP_037730609.1|DSUP, LOC119554642|XP_037721569.1|DSUP, LOC119560221|XP_037729507.1|DSUP, LOC119560941|XP_037730605.1|DSUP, LOC119553270|XP_037719489.1|DSUP, LOC119554912|XP_037721943.1|DSUP, LOC119555170|XP_037722349.1|DSUP, LOC119555608|XP_037723034.1|DSUP, LOC119546892|XP_037709441.1|DSUP, LOC119547187|XP_037709849.1|DSUP, LOC119548093|XP_037711109.1|DSUP, LOC119547435|XP_037710223.1|DSUP, LOC119546050|XP_037708041.1|DSUP, LOC119548232|XP_037711301.1|DSUP, LOC119547347|XP_037710088.1|DSUP, LOC119556682|XP_037724981.1|DSUP, LOC119556749|XP_037725099.1|DSUP
OG0000011	LOC117183548|XP_033233646.1|DPSE, LOC6897642|XP_033241732.1|DPSE, LOC117185097|XP_033240835.1|DPSE	LOC119554627|XP_037721551.1|DSUP
OG0000011	LOC6900040|XP_002135404.2|DPSE	LOC119555960|XP_037723606.1|DSUP, LOC119554626|XP_037721550.1|DSUP
OG0000011	LOC6897605|XP_002137750.2|DPSE	LOC119554762|XP_037721730.1|DSUP
