Orthogroup	DPSE.longest_only	DSUB.longest_only
OG0000000	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB
OG0000000	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB
OG0000000	LOC6896908|XP_033233090.1|DPSE	LOC117898485|XP_034663813.1|DSUB
OG0000000	LOC6898695|XP_002138700.2|DPSE	LOC117889909|XP_034650326.1|DSUB
OG0000000	LOC117184977|XP_033240205.1|DPSE	LOC117893407|XP_034655897.1|DSUB
OG0000000	LOC6900000|XP_002135366.3|DPSE	LOC117893701|XP_034656280.1|DSUB
OG0000000	LOC6899999|XP_033240207.1|DPSE	LOC117893403|XP_034655894.1|DSUB
OG0000000	LOC4804691|XP_001361210.2|DPSE	LOC117892287|XP_034654298.1|DSUB
OG0000000	LOC6896672|XP_033232290.1|DPSE	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB
OG0000000	LOC26532949|XP_015039423.1|DPSE	LOC117892705|XP_034655010.1|DSUB
OG0000000	LOC6896676|XP_033241757.1|DPSE	LOC117899325|XP_034665150.1|DSUB
OG0000000	LOC6896675|XP_033232980.1|DPSE	LOC117899310|XP_034665127.1|DSUB
OG0000000	LOC13036386|XP_033232979.1|DPSE	LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB
OG0000000	LOC117183963|XP_033235597.1|DPSE	LOC117890046|XP_034650557.1|DSUB
OG0000000	LOC6898794|XP_033234286.1|DPSE, LOC117183537|XP_033233520.1|DPSE, LOC117183751|XP_033234658.1|DPSE, LOC6898801|XP_033234867.1|DPSE	LOC117892569|XP_034654782.1|DSUB
OG0000000	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE	LOC117899382|XP_034665255.1|DSUB
OG0000000	LOC6896683|XP_002136898.3|DPSE	LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB
OG0000000	LOC6897227|XP_002137399.2|DPSE	LOC117896020|XP_034659918.1|DSUB
OG0000000	LOC6902907|XP_033236216.1|DPSE	LOC117901385|XP_034668002.1|DSUB
OG0000000	LOC6898538|XP_033233460.1|DPSE	LOC117892680|XP_034654976.1|DSUB
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB
OG0000000	LOC4801605|XP_001358672.2|DPSE	LOC117897324|XP_034661985.1|DSUB
OG0000000	LOC13036336|XP_033233031.1|DPSE, LOC117183386|XP_033233030.1|DPSE, LOC117183385|XP_033233027.1|DPSE, LOC13036529|XP_033233038.1|DPSE	LOC117897179|XP_034661768.1|DSUB
OG0000000	LOC6897761|XP_002137866.2|DPSE	LOC117898832|XP_034664390.1|DSUB
OG0000000	LOC6899372|XP_033233116.1|DPSE, LOC6896993|XP_033241798.1|DPSE, LOC26533415|XP_033234557.1|DPSE, LOC117183599|XP_033233927.1|DPSE, LOC6896992|XP_002137178.3|DPSE, LOC117183671|XP_033234253.1|DPSE, LOC117183249|XP_033232383.1|DPSE, LOC6898266|XP_002138332.3|DPSE, LOC6898641|XP_002138646.2|DPSE, LOC6898500|XP_002138541.2|DPSE	LOC117889741|XP_034650055.1|DSUB, LOC117889744|XP_034650074.1|DSUB
OG0000000	LOC13036393|XP_003736798.3|DPSE, LOC6897759|XP_002137864.4|DPSE	LOC117889734|XP_034650048.1|DSUB, LOC117889737|XP_034650052.1|DSUB, LOC117890530|XP_034651341.1|DSUB, LOC117890531|XP_034651342.1|DSUB, LOC117892566|XP_034654779.1|DSUB
OG0000000	LOC6898293|XP_033233430.1|DPSE, LOC13036490|XP_003736302.2|DPSE	LOC117899182|XP_034664933.1|DSUB
OG0000001	LOC6899689|XP_015044449.2|DPSE, LOC117184831|XP_033239700.1|DPSE, LOC117185157|XP_033241160.1|DPSE, LOC117183639|XP_033234125.1|DPSE, LOC117184075|XP_033236063.1|DPSE, LOC6899580|XP_033235226.1|DPSE, LOC117184644|XP_033239077.1|DPSE, LOC117184038|XP_033235938.1|DPSE	LOC117902179|XP_034669231.1|DSUB
OG0000002	LOC6899110|XP_033234698.1|DPSE	LOC117891991|XP_034653760.1|DSUB
OG0000002	LOC6899111|XP_002139028.1|DPSE	LOC117891990|XP_034653758.1|DSUB
OG0000002	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE	LOC117900165|XP_034666298.1|DSUB, LOC117899951|XP_034665996.1|DSUB
OG0000002	LOC6902531|XP_002133071.3|DPSE	LOC117900215|XP_034666390.1|DSUB
OG0000003	LOC4804983|XP_001361457.3|DPSE	LOC117890983|XP_034652023.1|DSUB
OG0000003	LOC4804982|XP_001361456.3|DPSE	LOC117890985|XP_034652025.1|DSUB
OG0000003	LOC4803409|XP_001360156.1|DPSE	LOC117890142|XP_034650721.1|DSUB
OG0000003	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE	LOC117890987|XP_034652029.1|DSUB
OG0000003	LOC4804980|XP_001361454.1|DPSE	LOC117890986|XP_034652027.1|DSUB
OG0000003	LOC4804975|XP_001361450.3|DPSE	LOC117890988|XP_034652030.1|DSUB
OG0000003	LOC4804978|XP_001361452.2|DPSE	LOC117890991|XP_034652033.1|DSUB
OG0000003	LOC26533075|XP_033237686.1|DPSE, LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE	LOC117890982|XP_034652022.1|DSUB
OG0000003	LOC6902590|XP_002133118.2|DPSE	LOC117900241|XP_034666421.1|DSUB
