Orthogroup	DPSE.longest_only	DMAU.longest_only
OG0000000	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE	LOC117145695|XP_033167327.1|DMAU
OG0000000	LOC6898698|XP_015040315.2|DPSE	LOC117149958|XP_033172750.1|DMAU
OG0000000	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE	LOC117145817|XP_033167509.1|DMAU, LOC117145797|XP_033167474.1|DMAU
OG0000000	LOC6898695|XP_002138700.2|DPSE	LOC117138309|XP_033156204.1|DMAU
OG0000000	LOC117184977|XP_033240205.1|DPSE	LOC117139148|XP_033157197.1|DMAU
OG0000000	LOC6900000|XP_002135366.3|DPSE	LOC117139149|XP_033157198.1|DMAU
OG0000000	LOC6899999|XP_033240207.1|DPSE	LOC117140540|XP_033159421.1|DMAU
OG0000000	LOC4804691|XP_001361210.2|DPSE	LOC117138648|XP_033156758.1|DMAU
OG0000000	LOC6896672|XP_033232290.1|DPSE	LOC117144786|XP_033166045.1|DMAU, LOC117142323|XP_033162125.1|DMAU, LOC117142325|XP_033162128.1|DMAU
OG0000000	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE	LOC117142327|XP_033162129.1|DMAU
OG0000000	LOC6897227|XP_002137399.2|DPSE	LOC117145856|XP_033167567.1|DMAU
OG0000000	LOC6902907|XP_033236216.1|DPSE	LOC117150929|XP_033173982.1|DMAU
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE	LOC117138016|XP_033155711.1|DMAU
OG0000000	LOC4801605|XP_001358672.2|DPSE	LOC117146038|XP_033167862.1|DMAU
OG0000001	LOC117185672|XP_033241852.1|DPSE, LOC117184861|XP_033239816.1|DPSE	LOC117140024|XP_033158645.1|DMAU
OG0000002	LOC6899110|XP_033234698.1|DPSE	LOC117135907|XP_033152364.1|DMAU
OG0000002	LOC6899111|XP_002139028.1|DPSE	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE	LOC117149870|XP_033172720.1|DMAU
OG0000002	LOC6900542|XP_033238667.1|DPSE	LOC117140283|XP_033159002.1|DMAU
OG0000003	LOC4804983|XP_001361457.3|DPSE	LOC117136850|XP_033153839.1|DMAU, LOC117137895|XP_033155524.1|DMAU
OG0000003	LOC4804982|XP_001361456.3|DPSE	LOC117145313|XP_033166799.1|DMAU, LOC117137897|XP_033155527.1|DMAU
OG0000003	LOC4803409|XP_001360156.1|DPSE	LOC117136364|XP_033153130.1|DMAU
OG0000003	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE	LOC117136849|XP_033153838.1|DMAU
OG0000003	LOC4804980|XP_001361454.1|DPSE	LOC117137674|XP_033155124.1|DMAU
OG0000003	LOC4804975|XP_001361450.3|DPSE	LOC117136851|XP_033153841.1|DMAU
OG0000003	LOC4804978|XP_001361452.2|DPSE	LOC117137104|XP_033154281.1|DMAU
OG0000003	LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE	LOC117137102|XP_033154279.1|DMAU, LOC117137103|XP_033154280.1|DMAU
OG0000003	LOC6902590|XP_002133118.2|DPSE	LOC117138777|XP_033156858.1|DMAU
OG0000007	LOC6900428|XP_002134819.1|DPSE	LOC117141087|XP_033160294.1|DMAU
OG0000007	LOC5495507|XP_001353849.1|DPSE	LOC117142070|XP_033161841.1|DMAU
OG0000007	LOC5495509|XP_001355939.3|DPSE	LOC117150742|XP_033173667.1|DMAU
OG0000007	LOC4805058|XP_001361522.1|DPSE	LOC117136894|XP_033153899.1|DMAU
OG0000007	LOC4816610|XP_001355938.2|DPSE	LOC117139714|XP_033158125.1|DMAU
OG0000007	LOC4813941|XP_001354103.1|DPSE	LOC117139147|XP_033157196.1|DMAU
OG0000007	LOC4816998|XP_001356721.3|DPSE	LOC117139091|XP_033157106.1|DMAU
OG0000007	LOC4813497|XP_001353852.2|DPSE	LOC117142071|XP_033161842.1|DMAU
OG0000007	LOC4813468|XP_001353840.2|DPSE	LOC117142072|XP_033161843.1|DMAU
OG0000008	LOC4803265|XP_001360036.3|DPSE	LOC117142833|XP_033162955.1|DMAU
OG0000008	LOC6900302|XP_002135624.1|DPSE	LOC117140615|XP_033159521.1|DMAU
OG0000008	LOC6900304|XP_002135626.2|DPSE	LOC117140614|XP_033159520.1|DMAU
OG0000008	LOC6903158|XP_002132860.2|DPSE	LOC117150767|XP_033173694.1|DMAU
OG0000008	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU
OG0000008	LOC4802270|XP_033239768.1|DPSE	LOC117143719|XP_033164408.1|DMAU
OG0000008	LOC117184116|XP_033236234.1|DPSE	LOC117144386|XP_033165411.1|DMAU
OG0000008	LOC4802269|XP_001359223.2|DPSE	LOC117143928|XP_033164736.1|DMAU
OG0000009	LOC6897995|XP_002138092.2|DPSE	LOC117145423|XP_033166959.1|DMAU
OG0000009	LOC4803283|XP_001360048.3|DPSE	LOC117143759|XP_033164466.1|DMAU
OG0000009	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE	LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU
OG0000009	LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE	LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU
OG0000009	LOC4805603|XP_001361980.2|DPSE	LOC117136735|XP_033153656.1|DMAU
OG0000009	LOC4802604|XP_001359493.2|DPSE	LOC117143616|XP_033164265.1|DMAU
OG0000009	LOC4804281|XP_001360862.1|DPSE	LOC117135792|XP_033152175.1|DMAU
OG0000009	LOC6898444|XP_002138487.3|DPSE	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU
