Orthogroup	DPSE.longest_only	DBIA.longest_only
OG0000000	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA
OG0000000	LOC6898698|XP_015040315.2|DPSE	LOC108029053|XP_016956604.1|DBIA
OG0000000	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE	LOC108031338|XP_016960091.1|DBIA
OG0000000	LOC6898695|XP_002138700.2|DPSE	LOC108029341|XP_016957023.1|DBIA
OG0000000	LOC117184977|XP_033240205.1|DPSE	LOC108034429|XP_016964803.1|DBIA
OG0000000	LOC6900000|XP_002135366.3|DPSE	LOC108034424|XP_016964798.1|DBIA
OG0000000	LOC6899999|XP_033240207.1|DPSE	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA
OG0000000	LOC4804691|XP_001361210.2|DPSE	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC6896672|XP_033232290.1|DPSE	LOC108025270|XP_016951121.1|DBIA, LOC108024280|XP_016949667.1|DBIA
OG0000000	LOC6896676|XP_033241757.1|DPSE	LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA
OG0000000	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE	LOC108024999|XP_016950744.1|DBIA
OG0000000	LOC6898794|XP_033234286.1|DPSE, LOC117183537|XP_033233520.1|DPSE, LOC117183751|XP_033234658.1|DPSE, LOC6898801|XP_033234867.1|DPSE	LOC108031001|XP_016959690.1|DBIA
OG0000000	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE	LOC108032345|XP_016961644.1|DBIA
OG0000000	LOC6902907|XP_033236216.1|DPSE	LOC108033274|XP_016963030.1|DBIA
OG0000000	LOC6898538|XP_033233460.1|DPSE	LOC108033239|XP_016962994.1|DBIA
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE	LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA
OG0000000	LOC6896813|XP_033232366.1|DPSE	LOC108022120|XP_016946450.1|DBIA
OG0000000	LOC4801605|XP_001358672.2|DPSE	LOC108024473|XP_016949882.1|DBIA
OG0000000	LOC13036336|XP_033233031.1|DPSE, LOC117183386|XP_033233030.1|DPSE, LOC117183385|XP_033233027.1|DPSE, LOC13036529|XP_033233038.1|DPSE	LOC108035120|XP_016966040.1|DBIA
OG0000001	LOC117184985|XP_033240229.1|DPSE	LOC108036881|XP_016968745.1|DBIA, LOC108030270|XP_016958969.1|DBIA
OG0000002	LOC6899110|XP_033234698.1|DPSE	LOC108022558|XP_016947041.1|DBIA
OG0000002	LOC6899111|XP_002139028.1|DPSE	LOC108022153|XP_016946484.1|DBIA
OG0000002	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE	LOC108032347|XP_016961646.1|DBIA, LOC108028911|XP_016956419.1|DBIA
OG0000002	LOC6900542|XP_033238667.1|DPSE	LOC108029608|XP_016957477.1|DBIA, LOC108029010|XP_016956543.1|DBIA, LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA
OG0000002	LOC6902531|XP_002133071.3|DPSE	LOC108027710|XP_016954748.1|DBIA
OG0000003	LOC4804983|XP_001361457.3|DPSE	LOC108030370|XP_016958727.1|DBIA, LOC108030025|XP_016958054.1|DBIA
OG0000003	LOC4804982|XP_001361456.3|DPSE	LOC108024348|XP_016949739.1|DBIA, LOC108030024|XP_016958053.1|DBIA
OG0000003	LOC4803409|XP_001360156.1|DPSE	LOC108030125|XP_016958318.1|DBIA
OG0000003	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE	LOC108030172|XP_016958401.1|DBIA, LOC108029856|XP_016957835.1|DBIA
OG0000003	LOC4804980|XP_001361454.1|DPSE	LOC108029931|XP_016957914.1|DBIA, LOC108030395|XP_016958768.1|DBIA, LOC108034850|XP_016965477.1|DBIA, LOC108030023|XP_016958052.1|DBIA, LOC108029857|XP_016957836.1|DBIA, LOC108029859|XP_016957838.1|DBIA
OG0000003	LOC4804975|XP_001361450.3|DPSE	LOC108030173|XP_016958402.1|DBIA
OG0000003	LOC4804978|XP_001361452.2|DPSE	LOC108029368|XP_016957084.1|DBIA
OG0000003	LOC26533075|XP_033237686.1|DPSE	LOC108031495|XP_016960477.1|DBIA
OG0000003	LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE	LOC108029347|XP_016957028.1|DBIA, LOC108029367|XP_016957083.1|DBIA
OG0000003	LOC6902590|XP_002133118.2|DPSE	LOC108034204|XP_016964524.1|DBIA
OG0000006	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE	LOC108021907|XP_016946218.1|DBIA
OG0000007	LOC5495512|XP_001353851.2|DPSE	LOC108028761|XP_016956223.1|DBIA
OG0000007	LOC5495507|XP_001353849.1|DPSE	LOC108028706|XP_016956144.1|DBIA
OG0000007	LOC5495509|XP_001355939.3|DPSE	LOC108027672|XP_016954706.1|DBIA
OG0000007	LOC4805058|XP_001361522.1|DPSE	LOC108029358|XP_016957069.1|DBIA
OG0000007	LOC4816610|XP_001355938.2|DPSE	LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA
OG0000007	LOC4813941|XP_001354103.1|DPSE	LOC108034518|XP_016964930.1|DBIA
OG0000007	LOC4816998|XP_001356721.3|DPSE	LOC108027854|XP_016954941.1|DBIA
OG0000007	LOC4813497|XP_001353852.2|DPSE	LOC108028309|XP_016955521.1|DBIA
OG0000007	LOC4813468|XP_001353840.2|DPSE	LOC108028310|XP_016955522.1|DBIA
OG0000008	LOC4803265|XP_001360036.3|DPSE	LOC108032174|XP_016961516.1|DBIA
OG0000008	LOC6900302|XP_002135624.1|DPSE	LOC108034858|XP_016965498.1|DBIA
OG0000008	LOC6900304|XP_002135626.2|DPSE	LOC108034855|XP_016965493.1|DBIA
OG0000008	LOC6903158|XP_002132860.2|DPSE	LOC108033465|XP_016963291.1|DBIA
OG0000008	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE	LOC108027365|XP_016954278.1|DBIA, LOC108027065|XP_016953763.1|DBIA
OG0000008	LOC4802270|XP_033239768.1|DPSE	LOC108027095|XP_016953802.1|DBIA
OG0000008	LOC4802269|XP_001359223.2|DPSE	LOC108027071|XP_016953774.1|DBIA
OG0000009	LOC6897995|XP_002138092.2|DPSE	LOC108031158|XP_016959863.1|DBIA
OG0000009	LOC4803283|XP_001360048.3|DPSE	LOC108032245|XP_016961597.1|DBIA
OG0000009	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE	LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA
OG0000009	LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE	LOC108028108|XP_016955244.1|DBIA
OG0000009	LOC4805603|XP_001361980.2|DPSE	LOC108022184|XP_016946525.1|DBIA
