Orthogroup	DBIA.longest_only	DERE.longest_only
OG0000000	LOC108029860|XP_016957839.1|DBIA	LOC26526117|XP_026833226.1|DERE
OG0000000	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA	LOC6545981|XP_001972189.2|DERE
OG0000000	LOC108024306|XP_016949697.1|DBIA	LOC6555364|XP_026831619.1|DERE
OG0000000	LOC108029053|XP_016956604.1|DBIA	LOC6541982|XP_001968936.1|DERE
OG0000000	LOC108031338|XP_016960091.1|DBIA	LOC6552159|XP_001980711.1|DERE
OG0000000	LOC108034429|XP_016964803.1|DBIA	LOC6544810|XP_026832924.1|DERE
OG0000000	LOC108034424|XP_016964798.1|DBIA	LOC6544813|XP_001973192.2|DERE
OG0000000	LOC108034426|XP_016964799.1|DBIA	LOC6544812|XP_001973191.2|DERE
OG0000000	LOC108022107|XP_016946439.1|DBIA	LOC6548572|XP_026836220.1|DERE
OG0000000	LOC108025270|XP_016951121.1|DBIA	LOC6554922|XP_001981127.2|DERE
OG0000000	LOC108024997|XP_016950742.1|DBIA	LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE
OG0000000	LOC108024999|XP_016950744.1|DBIA	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE
OG0000000	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA	LOC6541136|XP_001969303.1|DERE
OG0000000	LOC108031000|XP_016959689.1|DBIA	LOC6554482|XP_001981927.3|DERE
OG0000000	LOC108030080|XP_016958186.1|DBIA	LOC6548870|XP_001975456.3|DERE
OG0000000	LOC108033578|XP_016963412.1|DBIA	LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE
OG0000000	LOC108033274|XP_016963030.1|DBIA	LOC6549399|XP_001974447.1|DERE
OG0000000	LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE
OG0000000	LOC108024473|XP_016949882.1|DBIA	LOC26526070|XP_026831673.1|DERE
