Orthogroup	DBIA.longest_only	HILL.longest_only
OG0000000	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA, LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA, LOC108029053|XP_016956604.1|DBIA, LOC108031338|XP_016960091.1|DBIA, LOC108029341|XP_016957023.1|DBIA, LOC108034429|XP_016964803.1|DBIA, LOC108034424|XP_016964798.1|DBIA, LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA, LOC108022107|XP_016946439.1|DBIA, LOC108025270|XP_016951121.1|DBIA, LOC108024280|XP_016949667.1|DBIA, LOC108024997|XP_016950742.1|DBIA, LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA, LOC108024999|XP_016950744.1|DBIA, LOC108031001|XP_016959690.1|DBIA, LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA, LOC108031000|XP_016959689.1|DBIA, LOC108030080|XP_016958186.1|DBIA, LOC108033578|XP_016963412.1|DBIA, LOC108025172|XP_016950938.1|DBIA, LOC108025165|XP_016950931.1|DBIA, LOC108025419|XP_016951390.1|DBIA, LOC108032345|XP_016961644.1|DBIA, LOC108023058|XP_016947798.1|DBIA, LOC108028940|XP_016956448.1|DBIA, LOC108033274|XP_016963030.1|DBIA, LOC108033239|XP_016962994.1|DBIA, LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA, LOC108022120|XP_016946450.1|DBIA, LOC108024473|XP_016949882.1|DBIA, LOC108032904|XP_016962446.1|DBIA, LOC108034432|XP_016964806.1|DBIA, LOC108034431|XP_016964805.1|DBIA, LOC108034430|XP_016964804.1|DBIA, LOC108035120|XP_016966040.1|DBIA, LOC108027980|XP_016955095.1|DBIA, LOC108032244|XP_016961600.1|DBIA	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL
OG0000001	LOC108035859|XP_016967093.1|DBIA	LOC119661370|XP_037926620.1|HILL
OG0000001	LOC108021927|XP_016946239.1|DBIA	LOC119654039|XP_037915129.1|HILL, LOC119660013|XP_037924320.1|HILL, LOC119653947|XP_037915036.1|HILL, LOC119654018|XP_037915108.1|HILL, LOC119658214|XP_037921408.1|HILL, LOC119647230|XP_037904000.1|HILL, LOC119652059|XP_037911925.1|HILL
OG0000003	LOC108030173|XP_016958402.1|DBIA	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL
OG0000003	LOC108034204|XP_016964524.1|DBIA	LOC119658042|XP_037921211.1|HILL, LOC119661480|XP_037926772.1|HILL, LOC119647016|XP_037903683.1|HILL, LOC119646679|XP_037903148.1|HILL, LOC119648664|XP_037906375.1|HILL, LOC119647324|XP_037904183.1|HILL, LOC119646798|XP_037903319.1|HILL, LOC119646783|XP_037903295.1|HILL, LOC119646792|XP_037903309.1|HILL, LOC119659506|XP_037923565.1|HILL
OG0000004	LOC108021905|XP_016946216.1|DBIA	LOC119648056|XP_037905449.1|HILL
OG0000006	LOC108021907|XP_016946218.1|DBIA	LOC119657871|XP_037920927.1|HILL, LOC119656837|XP_037919414.1|HILL, LOC119657991|XP_037921137.1|HILL, LOC119657007|XP_037919677.1|HILL, LOC119656838|XP_037919415.1|HILL, LOC119656769|XP_037919278.1|HILL, LOC119657047|XP_037919729.1|HILL, LOC119656780|XP_037919291.1|HILL, LOC119658074|XP_037921262.1|HILL, LOC119656839|XP_037919416.1|HILL, LOC119656767|XP_037919276.1|HILL, LOC119656768|XP_037919277.1|HILL, LOC119657238|XP_037919981.1|HILL
OG0000007	LOC108028761|XP_016956223.1|DBIA, LOC108028706|XP_016956144.1|DBIA, LOC108028547|XP_016955936.1|DBIA, LOC108028548|XP_016955937.1|DBIA, LOC108028068|XP_016955198.1|DBIA, LOC108028546|XP_016955935.1|DBIA, LOC108027995|XP_016955111.1|DBIA, LOC108027672|XP_016954706.1|DBIA, LOC108029358|XP_016957069.1|DBIA, LOC108025402|XP_016951367.1|DBIA, LOC108025489|XP_016951493.1|DBIA, LOC108025042|XP_016950787.1|DBIA, LOC108025513|XP_016951523.1|DBIA, LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA, LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA, LOC108034518|XP_016964930.1|DBIA, LOC108027854|XP_016954941.1|DBIA, LOC108028309|XP_016955521.1|DBIA, LOC108028310|XP_016955522.1|DBIA	LOC119653460|XP_037913999.1|HILL
OG0000008	LOC108032174|XP_016961516.1|DBIA	LOC119660223|XP_037924589.1|HILL
OG0000008	LOC108034855|XP_016965493.1|DBIA	LOC119649590|XP_037907727.1|HILL
OG0000008	LOC108033465|XP_016963291.1|DBIA	LOC119652756|XP_037912988.1|HILL
OG0000008	LOC108034860|XP_016965500.1|DBIA	LOC119649591|XP_037907728.1|HILL
OG0000008	LOC108029542|XP_016957386.1|DBIA, LOC108027365|XP_016954278.1|DBIA, LOC108027065|XP_016953763.1|DBIA, LOC108027095|XP_016953802.1|DBIA	LOC119651582|XP_037911149.1|HILL, LOC119652755|XP_037912986.1|HILL, LOC119652753|XP_037912981.1|HILL, LOC119652754|XP_037912983.1|HILL, LOC119652763|XP_037912999.1|HILL, LOC119652764|XP_037913000.1|HILL, LOC119652762|XP_037912998.1|HILL, LOC119652766|XP_037913002.1|HILL, LOC119652758|XP_037912993.1|HILL, LOC119652757|XP_037912991.1|HILL, LOC119652761|XP_037912997.1|HILL, LOC119652760|XP_037912996.1|HILL, LOC119652759|XP_037912994.1|HILL, LOC119652765|XP_037913001.1|HILL
OG0000008	LOC108027071|XP_016953774.1|DBIA	LOC119652768|XP_037913003.1|HILL, LOC119652769|XP_037913004.1|HILL
OG0000009	LOC108031158|XP_016959863.1|DBIA, LOC108032245|XP_016961597.1|DBIA, LOC108031027|XP_016959717.1|DBIA, LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA, LOC108028108|XP_016955244.1|DBIA, LOC108022184|XP_016946525.1|DBIA, LOC108032134|XP_016961458.1|DBIA, LOC108023117|XP_016947872.1|DBIA, LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL
OG0000010	LOC108024778|XP_016950383.1|DBIA	LOC119656845|XP_037919421.1|HILL
