Orthogroup	DBIA.longest_only	DSUB.longest_only
OG0000000	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB
OG0000000	LOC108031338|XP_016960091.1|DBIA	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB
OG0000000	LOC108029341|XP_016957023.1|DBIA	LOC117889909|XP_034650326.1|DSUB
OG0000000	LOC108034429|XP_016964803.1|DBIA	LOC117893407|XP_034655897.1|DSUB
OG0000000	LOC108034424|XP_016964798.1|DBIA	LOC117893701|XP_034656280.1|DSUB
OG0000000	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA	LOC117893403|XP_034655894.1|DSUB
OG0000000	LOC108022107|XP_016946439.1|DBIA	LOC117892287|XP_034654298.1|DSUB
OG0000000	LOC108025270|XP_016951121.1|DBIA, LOC108024280|XP_016949667.1|DBIA	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB
OG0000000	LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA	LOC117899325|XP_034665150.1|DSUB
OG0000000	LOC108024999|XP_016950744.1|DBIA	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB
OG0000000	LOC108031001|XP_016959690.1|DBIA	LOC117892569|XP_034654782.1|DSUB
OG0000000	LOC108030080|XP_016958186.1|DBIA	LOC117899299|XP_034665108.1|DSUB
OG0000000	LOC108032345|XP_016961644.1|DBIA	LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB
OG0000000	LOC108033274|XP_016963030.1|DBIA	LOC117901385|XP_034668002.1|DSUB
OG0000000	LOC108033239|XP_016962994.1|DBIA	LOC117892680|XP_034654976.1|DSUB
OG0000000	LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB
OG0000000	LOC108024473|XP_016949882.1|DBIA	LOC117897324|XP_034661985.1|DSUB
OG0000000	LOC108035120|XP_016966040.1|DBIA	LOC117897179|XP_034661768.1|DSUB
OG0000001	LOC108021927|XP_016946239.1|DBIA	LOC117902179|XP_034669231.1|DSUB
OG0000002	LOC108022558|XP_016947041.1|DBIA	LOC117891991|XP_034653760.1|DSUB
OG0000002	LOC108022153|XP_016946484.1|DBIA	LOC117891990|XP_034653758.1|DSUB
OG0000002	LOC108028911|XP_016956419.1|DBIA	LOC117899951|XP_034665996.1|DSUB
OG0000002	LOC108027710|XP_016954748.1|DBIA	LOC117900215|XP_034666390.1|DSUB
OG0000003	LOC108030370|XP_016958727.1|DBIA, LOC108030025|XP_016958054.1|DBIA	LOC117890983|XP_034652023.1|DSUB
OG0000003	LOC108024348|XP_016949739.1|DBIA, LOC108030024|XP_016958053.1|DBIA	LOC117890985|XP_034652025.1|DSUB
OG0000003	LOC108030125|XP_016958318.1|DBIA	LOC117890142|XP_034650721.1|DSUB
OG0000003	LOC108030172|XP_016958401.1|DBIA, LOC108029856|XP_016957835.1|DBIA	LOC117890987|XP_034652029.1|DSUB
OG0000003	LOC108029931|XP_016957914.1|DBIA, LOC108030395|XP_016958768.1|DBIA, LOC108034850|XP_016965477.1|DBIA, LOC108030023|XP_016958052.1|DBIA, LOC108029857|XP_016957836.1|DBIA, LOC108029859|XP_016957838.1|DBIA	LOC117890986|XP_034652027.1|DSUB
OG0000003	LOC108030173|XP_016958402.1|DBIA	LOC117890988|XP_034652030.1|DSUB
OG0000003	LOC108029368|XP_016957084.1|DBIA	LOC117890991|XP_034652033.1|DSUB
OG0000003	LOC108031495|XP_016960477.1|DBIA, LOC108029347|XP_016957028.1|DBIA, LOC108029367|XP_016957083.1|DBIA	LOC117890982|XP_034652022.1|DSUB
OG0000003	LOC108034204|XP_016964524.1|DBIA	LOC117900241|XP_034666421.1|DSUB
OG0000005	LOC108021908|XP_016946219.1|DBIA	LOC117901442|XP_034668076.1|DSUB
OG0000006	LOC108021907|XP_016946218.1|DBIA	LOC117901441|XP_034668075.1|DSUB
OG0000007	LOC108028706|XP_016956144.1|DBIA	LOC117894589|XP_034657628.1|DSUB
OG0000007	LOC108027672|XP_016954706.1|DBIA	LOC117900834|XP_034667236.1|DSUB
OG0000007	LOC108029358|XP_016957069.1|DBIA	LOC117890133|XP_034650711.1|DSUB
OG0000007	LOC108025402|XP_016951367.1|DBIA, LOC108025489|XP_016951493.1|DBIA, LOC108025042|XP_016950787.1|DBIA, LOC108025513|XP_016951523.1|DBIA	LOC117897982|XP_034662985.1|DSUB
OG0000007	LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA	LOC117900835|XP_034667237.1|DSUB
