Orthogroup	DBIA.longest_only	AALB.longest_only
OG0000001	LOC108036881|XP_016968745.1|DBIA, LOC108030270|XP_016958969.1|DBIA	LOC118468339|XP_035794991.1|AALB
OG0000001	LOC108021927|XP_016946239.1|DBIA	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB
OG0000002	LOC108029608|XP_016957477.1|DBIA, LOC108029010|XP_016956543.1|DBIA, LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA	LOC118458183|XP_035776304.1|AALB
OG0000006	LOC108021907|XP_016946218.1|DBIA	LOC118465125|XP_035788959.1|AALB
OG0000008	LOC108032174|XP_016961516.1|DBIA	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC108034858|XP_016965498.1|DBIA	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC108034855|XP_016965493.1|DBIA	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC108033465|XP_016963291.1|DBIA	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC108034860|XP_016965500.1|DBIA	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC108031158|XP_016959863.1|DBIA, LOC108032245|XP_016961597.1|DBIA, LOC108031027|XP_016959717.1|DBIA, LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA, LOC108028108|XP_016955244.1|DBIA, LOC108022184|XP_016946525.1|DBIA, LOC108032134|XP_016961458.1|DBIA, LOC108023117|XP_016947872.1|DBIA, LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC108024778|XP_016950383.1|DBIA	LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB
OG0000012	LOC108026825|XP_016953482.1|DBIA, LOC108026824|XP_016953480.1|DBIA, LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA, LOC108026906|XP_016953604.1|DBIA, LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA, LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA, LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA, LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	LOC108036445|XP_016968074.1|DBIA	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC108030851|XP_016959521.1|DBIA	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC108031414|XP_016960303.1|DBIA	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC108034990|XP_016965812.1|DBIA	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC108026153|XP_016952377.1|DBIA, LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000014	LOC108035861|XP_016967096.1|DBIA, LOC108021863|XP_016946143.1|DBIA, LOC108022025|XP_016946391.1|DBIA	LOC118464509|XP_035787838.1|AALB, LOC118462783|XP_035784663.1|AALB, LOC118464534|XP_035787864.1|AALB, LOC118456893|XP_035773911.1|AALB
OG0000014	LOC108027391|XP_016954320.1|DBIA	LOC118462714|XP_035784546.1|AALB
OG0000014	LOC108022036|XP_016946371.1|DBIA	LOC118463648|XP_035786284.1|AALB
OG0000016	LOC108031488|XP_016960465.1|DBIA, LOC108022510|XP_016946968.1|DBIA	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC108032049|XP_016961350.1|DBIA	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC108031387|XP_016960277.1|DBIA	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC108030823|XP_016959429.1|DBIA	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB
OG0000018	LOC108028400|XP_016955704.1|DBIA	LOC118463128|XP_035785378.1|AALB
