Orthogroup	DBIA.longest_only	AAEG.longest_only
OG0000004	LOC108021905|XP_016946216.1|DBIA	LOC110675140|XP_021695214.1|AAEG, LOC110678203|XP_021706521.1|AAEG, LOC110680841|XP_021712324.1|AAEG, LOC110681232|XP_021712695.1|AAEG
OG0000006	LOC108021907|XP_016946218.1|DBIA	LOC110678836|XP_021708006.1|AAEG
OG0000007	LOC108028761|XP_016956223.1|DBIA, LOC108028706|XP_016956144.1|DBIA, LOC108028547|XP_016955936.1|DBIA, LOC108028548|XP_016955937.1|DBIA, LOC108028068|XP_016955198.1|DBIA, LOC108028546|XP_016955935.1|DBIA, LOC108027995|XP_016955111.1|DBIA, LOC108027672|XP_016954706.1|DBIA, LOC108029358|XP_016957069.1|DBIA, LOC108025402|XP_016951367.1|DBIA, LOC108025489|XP_016951493.1|DBIA, LOC108025042|XP_016950787.1|DBIA, LOC108025513|XP_016951523.1|DBIA, LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA, LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA, LOC108034518|XP_016964930.1|DBIA, LOC108027854|XP_016954941.1|DBIA, LOC108028309|XP_016955521.1|DBIA, LOC108028310|XP_016955522.1|DBIA	LOC5577572|XP_001663444.2|AAEG
OG0000008	LOC108032174|XP_016961516.1|DBIA	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG
OG0000008	LOC108034858|XP_016965498.1|DBIA	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG
OG0000008	LOC108034855|XP_016965493.1|DBIA	LOC110677732|XP_021704637.1|AAEG
OG0000008	LOC108033465|XP_016963291.1|DBIA	LOC5578716|XP_001664018.2|AAEG
OG0000008	LOC108034860|XP_016965500.1|DBIA	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG
OG0000009	LOC108031158|XP_016959863.1|DBIA, LOC108032245|XP_016961597.1|DBIA, LOC108031027|XP_016959717.1|DBIA, LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA, LOC108028108|XP_016955244.1|DBIA, LOC108022184|XP_016946525.1|DBIA, LOC108032134|XP_016961458.1|DBIA, LOC108023117|XP_016947872.1|DBIA, LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG
OG0000010	LOC108024778|XP_016950383.1|DBIA	LOC110679799|XP_021711222.1|AAEG, LOC110677925|XP_021705635.1|AAEG, LOC110678359|XP_021706812.1|AAEG
OG0000012	LOC108026825|XP_016953482.1|DBIA, LOC108026824|XP_016953480.1|DBIA, LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA, LOC108026906|XP_016953604.1|DBIA, LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA, LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA, LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA, LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG
OG0000013	LOC108036445|XP_016968074.1|DBIA	LOC110679353|XP_021709456.1|AAEG
OG0000013	LOC108030851|XP_016959521.1|DBIA	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG
OG0000013	LOC108031414|XP_016960303.1|DBIA	LOC110678734|XP_021707697.1|AAEG
OG0000013	LOC108034990|XP_016965812.1|DBIA	LOC110676139|XP_021698547.1|AAEG
OG0000013	LOC108024443|XP_016949852.1|DBIA	LOC110679299|XP_021709332.1|AAEG
OG0000013	LOC108026153|XP_016952377.1|DBIA, LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG
OG0000016	LOC108031488|XP_016960465.1|DBIA, LOC108022510|XP_016946968.1|DBIA	LOC5565155|XP_001649530.1|AAEG
OG0000016	LOC108032049|XP_016961350.1|DBIA	LOC5577991|XP_001656729.1|AAEG
OG0000016	LOC108031387|XP_016960277.1|DBIA	LOC5574526|XP_001655175.1|AAEG
OG0000016	LOC108030823|XP_016959429.1|DBIA	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG
OG0000018	LOC108028400|XP_016955704.1|DBIA	LOC5578131|XP_001663702.2|AAEG
OG0000019	LOC108025227|XP_016951062.1|DBIA, LOC108025229|XP_016951064.1|DBIA, LOC108025230|XP_016951066.1|DBIA, LOC108025224|XP_016951060.1|DBIA, LOC108025228|XP_016951063.1|DBIA, LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG
OG0000020	LOC108026305|XP_016952678.1|DBIA, LOC108026784|XP_016953432.1|DBIA	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG
OG0000020	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA, LOC108031537|XP_016960562.1|DBIA, LOC108024628|XP_016950157.1|DBIA, LOC108034268|XP_016964616.1|DBIA, LOC108033875|XP_016964007.1|DBIA	LOC5578230|XP_021697387.1|AAEG
OG0000021	LOC108025789|XP_016951907.1|DBIA	LOC5577439|XP_021709141.1|AAEG
OG0000021	LOC108026319|XP_016952697.1|DBIA, LOC108027350|XP_016954258.1|DBIA, LOC108026442|XP_016952872.1|DBIA	LOC5571745|XP_021708635.1|AAEG
