Orthogroup	DBIA.longest_only	DVIR.longest_only
OG0000000	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA	LOC6623450|XP_002047287.1|DVIR
OG0000000	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA, LOC108029053|XP_016956604.1|DBIA	LOC6627198|XP_032293006.1|DVIR
OG0000000	LOC108029341|XP_016957023.1|DBIA	LOC6625157|XP_032292502.1|DVIR
OG0000000	LOC108022107|XP_016946439.1|DBIA	LOC6626786|XP_002048872.2|DVIR
OG0000000	LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA, LOC108022120|XP_016946450.1|DBIA, LOC108024473|XP_016949882.1|DBIA	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR
OG0000000	LOC108034432|XP_016964806.1|DBIA, LOC108034431|XP_016964805.1|DBIA, LOC108034430|XP_016964804.1|DBIA	LOC6636429|XP_032291674.1|DVIR
OG0000001	LOC108036881|XP_016968745.1|DBIA	LOC116650083|XP_032289319.1|DVIR
OG0000001	LOC108021927|XP_016946239.1|DBIA	LOC116650307|XP_032289663.1|DVIR
OG0000002	LOC108036386|XP_016967980.1|DBIA	LOC6625292|XP_002049777.1|DVIR
OG0000002	LOC108022558|XP_016947041.1|DBIA	LOC6627081|XP_002049906.2|DVIR
OG0000002	LOC108022153|XP_016946484.1|DBIA	LOC6627080|XP_002049905.2|DVIR
OG0000002	LOC108027710|XP_016954748.1|DBIA, LOC108033431|XP_016963245.1|DBIA, LOC108027704|XP_016954743.1|DBIA, LOC108029019|XP_016956553.1|DBIA, LOC108029040|XP_016956580.1|DBIA	LOC6626597|XP_002049033.2|DVIR
OG0000003	LOC108030370|XP_016958727.1|DBIA, LOC108030025|XP_016958054.1|DBIA	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR
OG0000003	LOC108029368|XP_016957084.1|DBIA	LOC6625464|XP_002049668.1|DVIR
OG0000003	LOC108031495|XP_016960477.1|DBIA, LOC108029347|XP_016957028.1|DBIA, LOC108029367|XP_016957083.1|DBIA	LOC6625463|XP_002049667.1|DVIR
OG0000003	LOC108034204|XP_016964524.1|DBIA	LOC6627946|XP_002051419.1|DVIR
OG0000006	LOC108021907|XP_016946218.1|DBIA	LOC6637262|XP_032288828.1|DVIR
OG0000007	LOC108028761|XP_016956223.1|DBIA	LOC6623030|XP_002046517.1|DVIR
OG0000007	LOC108028547|XP_016955936.1|DBIA, LOC108028548|XP_016955937.1|DBIA, LOC108028068|XP_016955198.1|DBIA, LOC108028546|XP_016955935.1|DBIA, LOC108027995|XP_016955111.1|DBIA	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR
OG0000007	LOC108029358|XP_016957069.1|DBIA	LOC116650729|XP_032291101.1|DVIR
OG0000007	LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR
