Orthogroup	DBIA.longest_only	DEUG.longest_only
OG0000000	LOC108034778|XP_016965225.1|DBIA	LOC108114097|XP_017080345.1|DEUG
OG0000000	LOC108029053|XP_016956604.1|DBIA	LOC108105829|XP_017068062.1|DEUG
OG0000000	LOC108031338|XP_016960091.1|DBIA	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG
OG0000000	LOC108029341|XP_016957023.1|DBIA	LOC108112762|XP_017078510.1|DEUG
OG0000000	LOC108034429|XP_016964803.1|DBIA	LOC108113889|XP_017080083.1|DEUG
OG0000000	LOC108034424|XP_016964798.1|DBIA	LOC108114143|XP_017080414.1|DEUG
OG0000000	LOC108034428|XP_016964801.1|DBIA	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG
OG0000000	LOC108022107|XP_016946439.1|DBIA	LOC108107246|XP_017070153.1|DEUG
OG0000000	LOC108025270|XP_016951121.1|DBIA	LOC108104209|XP_017065641.1|DEUG
OG0000000	LOC108024280|XP_016949667.1|DBIA	LOC108104206|XP_017065639.1|DEUG
OG0000000	LOC108024997|XP_016950742.1|DBIA	LOC108113894|XP_017080088.1|DEUG
OG0000000	LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA	LOC108104212|XP_017065644.1|DEUG
OG0000000	LOC108024999|XP_016950744.1|DBIA	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG
OG0000000	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG
OG0000000	LOC108031000|XP_016959689.1|DBIA	LOC108117463|XP_017085374.1|DEUG
OG0000000	LOC108030080|XP_016958186.1|DBIA	LOC108112677|XP_017078310.1|DEUG
OG0000000	LOC108025165|XP_016950931.1|DBIA	LOC108113484|XP_017079558.1|DEUG
OG0000000	LOC108025419|XP_016951390.1|DBIA	LOC108113483|XP_017079557.1|DEUG
OG0000000	LOC108032345|XP_016961644.1|DBIA	LOC108113485|XP_017079560.1|DEUG
OG0000000	LOC108033274|XP_016963030.1|DBIA	LOC108103054|XP_017063857.1|DEUG
OG0000000	LOC108022409|XP_016946783.1|DBIA	LOC108107195|XP_017070100.1|DEUG
OG0000000	LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA	LOC108105763|XP_017067972.1|DEUG
OG0000000	LOC108024473|XP_016949882.1|DBIA	LOC108115960|XP_017083085.1|DEUG
OG0000000	LOC108032904|XP_016962446.1|DBIA	LOC108114927|XP_017081602.1|DEUG
OG0000000	LOC108034432|XP_016964806.1|DBIA	LOC108114139|XP_017080411.1|DEUG
OG0000000	LOC108034431|XP_016964805.1|DBIA	LOC108113893|XP_017080087.1|DEUG, LOC108114144|XP_017080415.1|DEUG
OG0000000	LOC108034430|XP_016964804.1|DBIA	LOC108113892|XP_017080086.1|DEUG
OG0000000	LOC108027980|XP_016955095.1|DBIA	LOC108108505|XP_017072063.1|DEUG
OG0000002	LOC108036386|XP_016967980.1|DBIA	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG
OG0000002	LOC108022558|XP_016947041.1|DBIA	LOC108112852|XP_017078659.1|DEUG
OG0000002	LOC108022153|XP_016946484.1|DBIA	LOC108112853|XP_017078660.1|DEUG
OG0000002	LOC108028911|XP_016956419.1|DBIA	LOC108105850|XP_017068103.1|DEUG
