Orthogroup	DBIA.longest_only	BCOP.longest_only
OG0000000	LOC108029860|XP_016957839.1|DBIA, LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA, LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA, LOC108029053|XP_016956604.1|DBIA, LOC108031338|XP_016960091.1|DBIA, LOC108029341|XP_016957023.1|DBIA, LOC108034429|XP_016964803.1|DBIA, LOC108034424|XP_016964798.1|DBIA, LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA, LOC108022107|XP_016946439.1|DBIA, LOC108025270|XP_016951121.1|DBIA, LOC108024280|XP_016949667.1|DBIA, LOC108024997|XP_016950742.1|DBIA, LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA, LOC108024999|XP_016950744.1|DBIA, LOC108031001|XP_016959690.1|DBIA, LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA, LOC108031000|XP_016959689.1|DBIA, LOC108030080|XP_016958186.1|DBIA, LOC108033578|XP_016963412.1|DBIA, LOC108025172|XP_016950938.1|DBIA, LOC108025165|XP_016950931.1|DBIA, LOC108025419|XP_016951390.1|DBIA, LOC108032345|XP_016961644.1|DBIA, LOC108023058|XP_016947798.1|DBIA, LOC108028940|XP_016956448.1|DBIA, LOC108033274|XP_016963030.1|DBIA, LOC108033239|XP_016962994.1|DBIA, LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA, LOC108022120|XP_016946450.1|DBIA, LOC108024473|XP_016949882.1|DBIA, LOC108032904|XP_016962446.1|DBIA, LOC108034432|XP_016964806.1|DBIA, LOC108034431|XP_016964805.1|DBIA, LOC108034430|XP_016964804.1|DBIA, LOC108035120|XP_016966040.1|DBIA, LOC108027980|XP_016955095.1|DBIA, LOC108032244|XP_016961600.1|DBIA	LOC119067394|XP_037026221.1|BCOP
OG0000001	LOC108021927|XP_016946239.1|DBIA	LOC119082906|XP_037048457.1|BCOP, LOC119083547|XP_037049161.1|BCOP
OG0000002	LOC108032347|XP_016961646.1|DBIA, LOC108028911|XP_016956419.1|DBIA, LOC108029608|XP_016957477.1|DBIA, LOC108029010|XP_016956543.1|DBIA, LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP
OG0000002	LOC108027710|XP_016954748.1|DBIA, LOC108033431|XP_016963245.1|DBIA, LOC108027704|XP_016954743.1|DBIA, LOC108029019|XP_016956553.1|DBIA, LOC108029040|XP_016956580.1|DBIA	LOC119076785|XP_037039644.1|BCOP
OG0000003	LOC108034204|XP_016964524.1|DBIA	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP
OG0000004	LOC108021905|XP_016946216.1|DBIA	LOC119078393|XP_037041791.1|BCOP
OG0000005	LOC108021908|XP_016946219.1|DBIA	LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP
OG0000006	LOC108021907|XP_016946218.1|DBIA	LOC119082428|XP_037047851.1|BCOP
OG0000007	LOC108028761|XP_016956223.1|DBIA, LOC108028706|XP_016956144.1|DBIA, LOC108028547|XP_016955936.1|DBIA, LOC108028548|XP_016955937.1|DBIA, LOC108028068|XP_016955198.1|DBIA, LOC108028546|XP_016955935.1|DBIA, LOC108027995|XP_016955111.1|DBIA, LOC108027672|XP_016954706.1|DBIA, LOC108029358|XP_016957069.1|DBIA, LOC108025402|XP_016951367.1|DBIA, LOC108025489|XP_016951493.1|DBIA, LOC108025042|XP_016950787.1|DBIA, LOC108025513|XP_016951523.1|DBIA, LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA, LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA, LOC108034518|XP_016964930.1|DBIA, LOC108027854|XP_016954941.1|DBIA, LOC108028309|XP_016955521.1|DBIA, LOC108028310|XP_016955522.1|DBIA	LOC119080766|XP_037045225.1|BCOP
OG0000008	LOC108032174|XP_016961516.1|DBIA	LOC119076148|XP_037038725.1|BCOP
