Orthogroup	DBIA.longest_only	DHYD.longest_only
OG0000000	LOC108029860|XP_016957839.1|DBIA	LOC115483378|XP_030080958.1|DHYD
OG0000000	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA, LOC108029053|XP_016956604.1|DBIA	LOC111599673|XP_023171145.1|DHYD
OG0000000	LOC108029341|XP_016957023.1|DBIA	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD
OG0000000	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA	LOC111600475|XP_023172354.2|DHYD
OG0000000	LOC108022107|XP_016946439.1|DBIA	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD
OG0000000	LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA, LOC108022120|XP_016946450.1|DBIA, LOC108024473|XP_016949882.1|DBIA	LOC111593957|XP_023162816.2|DHYD
OG0000000	LOC108032904|XP_016962446.1|DBIA, LOC108034432|XP_016964806.1|DBIA, LOC108034431|XP_016964805.1|DBIA, LOC108034430|XP_016964804.1|DBIA	LOC111603644|XP_023177090.2|DHYD
OG0000001	LOC108036881|XP_016968745.1|DBIA	LOC111593537|XP_030080394.1|DHYD
OG0000002	LOC108036386|XP_016967980.1|DBIA	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD
OG0000002	LOC108022558|XP_016947041.1|DBIA	LOC115483422|XP_030081192.1|DHYD
OG0000002	LOC108022153|XP_016946484.1|DBIA	LOC111597015|XP_023167289.2|DHYD
OG0000002	LOC108027710|XP_016954748.1|DBIA, LOC108033431|XP_016963245.1|DBIA, LOC108027704|XP_016954743.1|DBIA, LOC108029019|XP_016956553.1|DBIA, LOC108029040|XP_016956580.1|DBIA	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD
OG0000003	LOC108030125|XP_016958318.1|DBIA	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD
OG0000003	LOC108030173|XP_016958402.1|DBIA	LOC115483813|XP_030082015.1|DHYD
OG0000003	LOC108034204|XP_016964524.1|DBIA	LOC111602383|XP_023175172.2|DHYD
OG0000005	LOC108021908|XP_016946219.1|DBIA	LOC115483257|XP_030080462.1|DHYD
OG0000006	LOC108021907|XP_016946218.1|DBIA	LOC115483251|XP_030080456.1|DHYD
OG0000007	LOC108028761|XP_016956223.1|DBIA	LOC111592429|XP_023160382.1|DHYD
OG0000007	LOC108028547|XP_016955936.1|DBIA, LOC108028548|XP_016955937.1|DBIA, LOC108028068|XP_016955198.1|DBIA, LOC108028546|XP_016955935.1|DBIA, LOC108027995|XP_016955111.1|DBIA	LOC111592441|XP_023160393.1|DHYD
OG0000007	LOC108029358|XP_016957069.1|DBIA	LOC111596952|XP_023167177.2|DHYD
OG0000007	LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA	LOC111596951|XP_023167176.2|DHYD
OG0000007	LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA, LOC108034518|XP_016964930.1|DBIA, LOC108027854|XP_016954941.1|DBIA	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD
OG0000008	LOC108032174|XP_016961516.1|DBIA	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC108034858|XP_016965498.1|DBIA	LOC111598804|XP_023169992.1|DHYD
OG0000008	LOC108034855|XP_016965493.1|DBIA	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC108033465|XP_016963291.1|DBIA	LOC111603756|XP_023177254.2|DHYD
OG0000008	LOC108027365|XP_016954278.1|DBIA, LOC108027065|XP_016953763.1|DBIA	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD
OG0000008	LOC108027095|XP_016953802.1|DBIA	LOC111600832|XP_023172904.2|DHYD
OG0000008	LOC108027071|XP_016953774.1|DBIA	LOC111600811|XP_023172873.1|DHYD
OG0000009	LOC108031158|XP_016959863.1|DBIA	LOC111604985|XP_023179049.1|DHYD
OG0000009	LOC108032245|XP_016961597.1|DBIA	LOC111604987|XP_023179051.2|DHYD
OG0000009	LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD
OG0000009	LOC108028108|XP_016955244.1|DBIA	LOC111603540|XP_030079215.1|DHYD
OG0000009	LOC108022184|XP_016946525.1|DBIA	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD
OG0000009	LOC108023117|XP_016947872.1|DBIA	LOC111593549|XP_023162171.2|DHYD
OG0000009	LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD
OG0000010	LOC108024778|XP_016950383.1|DBIA	LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD, LOC115482883|XP_030078993.1|DHYD, LOC115483261|XP_030080466.1|DHYD
OG0000011	LOC108024710|XP_016950292.1|DBIA	LOC111599147|XP_023170484.2|DHYD
OG0000012	LOC108026825|XP_016953482.1|DBIA	LOC111603849|XP_023177406.2|DHYD
OG0000012	LOC108026824|XP_016953480.1|DBIA	LOC111603850|XP_023177409.2|DHYD
OG0000012	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA	LOC111603802|XP_023177320.1|DHYD
OG0000012	LOC108026906|XP_016953604.1|DBIA	LOC111603848|XP_023177404.2|DHYD
OG0000012	LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA, LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD
OG0000012	LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA	LOC111597898|XP_023168600.2|DHYD
OG0000012	LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA	LOC111597903|XP_023168607.2|DHYD
OG0000013	LOC108036445|XP_016968074.1|DBIA	LOC111593737|XP_023162498.2|DHYD
OG0000013	LOC108030851|XP_016959521.1|DBIA	LOC111605302|XP_030080103.1|DHYD
OG0000013	LOC108031414|XP_016960303.1|DBIA	LOC111603010|XP_023176183.1|DHYD
OG0000013	LOC108034990|XP_016965812.1|DBIA	LOC111604413|XP_023178237.2|DHYD
OG0000013	LOC108024443|XP_016949852.1|DBIA	LOC111594553|XP_023163674.1|DHYD
OG0000013	LOC108026153|XP_016952377.1|DBIA	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD
OG0000013	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD
OG0000015	LOC108033679|XP_016963624.1|DBIA	LOC111592667|XP_023160798.2|DHYD
OG0000016	LOC108031488|XP_016960465.1|DBIA	LOC111605496|XP_023179814.1|DHYD
OG0000016	LOC108022510|XP_016946968.1|DBIA	LOC111602093|XP_023174795.1|DHYD
OG0000016	LOC108032049|XP_016961350.1|DBIA	LOC111598341|XP_023169316.1|DHYD
OG0000016	LOC108036535|XP_016968248.1|DBIA	LOC111592540|XP_023160594.1|DHYD
OG0000016	LOC108031387|XP_016960277.1|DBIA	LOC111597353|XP_023167768.1|DHYD
OG0000016	LOC108024269|XP_016949648.1|DBIA	LOC111603208|XP_023176475.1|DHYD
OG0000016	LOC108026160|XP_016952383.1|DBIA	LOC111595218|XP_023164600.1|DHYD
OG0000016	LOC108030823|XP_016959429.1|DBIA	LOC111599234|XP_023170599.1|DHYD
OG0000017	LOC108036878|XP_016968743.1|DBIA	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD
OG0000017	LOC108026055|XP_016952238.1|DBIA	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD
OG0000017	LOC108022955|XP_016947661.1|DBIA	LOC111603822|XP_023177351.2|DHYD
OG0000017	LOC108024069|XP_016949327.1|DBIA	LOC111600903|XP_030081002.1|DHYD
OG0000017	LOC108027769|XP_016954820.1|DBIA, LOC108027730|XP_016954771.1|DBIA	LOC111595834|XP_023165510.2|DHYD
OG0000018	LOC108028400|XP_016955704.1|DBIA	LOC111600492|XP_023172388.2|DHYD
OG0000018	LOC108028081|XP_016955212.1|DBIA	LOC111600507|XP_023172403.1|DHYD
OG0000018	LOC108028402|XP_016955706.1|DBIA	LOC111600497|XP_023172393.2|DHYD
OG0000018	LOC108028162|XP_016955311.1|DBIA	LOC111600505|XP_023172401.2|DHYD, LOC111600499|XP_023172394.2|DHYD
