Orthogroup	DBIA.longest_only	DKIK.longest_only
OG0000000	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA	LOC108078585|XP_017027994.1|DKIK
OG0000000	LOC108029324|XP_016957007.1|DBIA	LOC108077905|XP_017026932.1|DKIK
OG0000000	LOC108031338|XP_016960091.1|DBIA	LOC108084016|XP_017035518.1|DKIK
OG0000000	LOC108029341|XP_016957023.1|DBIA	LOC108077933|XP_017026960.1|DKIK
OG0000000	LOC108034429|XP_016964803.1|DBIA	LOC108078602|XP_017028011.1|DKIK
OG0000000	LOC108034424|XP_016964798.1|DBIA	LOC108078603|XP_017028013.1|DKIK
OG0000000	LOC108022107|XP_016946439.1|DBIA	LOC108072234|XP_017018785.1|DKIK
OG0000000	LOC108024997|XP_016950742.1|DBIA	LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK
OG0000000	LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA	LOC108085312|XP_017037357.1|DKIK
OG0000000	LOC108024999|XP_016950744.1|DBIA	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK
OG0000000	LOC108025172|XP_016950938.1|DBIA	LOC108073657|XP_017020873.1|DKIK, LOC108073658|XP_017020874.1|DKIK, LOC108073660|XP_017020875.1|DKIK, LOC108073704|XP_017020929.1|DKIK
OG0000000	LOC108025165|XP_016950931.1|DBIA	LOC108073703|XP_017020927.1|DKIK
OG0000000	LOC108032345|XP_016961644.1|DBIA	LOC108080896|XP_017031287.1|DKIK
OG0000000	LOC108028940|XP_016956448.1|DBIA	LOC108082281|XP_017033101.1|DKIK
OG0000000	LOC108033274|XP_016963030.1|DBIA	LOC108076851|XP_017025370.1|DKIK
OG0000000	LOC108033239|XP_016962994.1|DBIA	LOC108086044|XP_017038352.1|DKIK
OG0000000	LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA	LOC108070814|XP_017016902.1|DKIK
OG0000000	LOC108024473|XP_016949882.1|DBIA	LOC108070634|XP_017016690.1|DKIK
OG0000000	LOC108032904|XP_016962446.1|DBIA	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK
OG0000000	LOC108034432|XP_016964806.1|DBIA, LOC108034431|XP_016964805.1|DBIA	LOC108078601|XP_017028010.1|DKIK
OG0000002	LOC108036386|XP_016967980.1|DBIA	LOC108082125|XP_017032915.1|DKIK
OG0000002	LOC108022558|XP_016947041.1|DBIA	LOC108085203|XP_017037209.1|DKIK
OG0000002	LOC108022153|XP_016946484.1|DBIA	LOC108085202|XP_017037207.1|DKIK
OG0000002	LOC108032347|XP_016961646.1|DBIA, LOC108028911|XP_016956419.1|DBIA	LOC108074354|XP_017021869.1|DKIK
OG0000002	LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA	LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK
OG0000002	LOC108027710|XP_016954748.1|DBIA	LOC108077339|XP_017026117.1|DKIK
OG0000002	LOC108029019|XP_016956553.1|DBIA	LOC108076940|XP_017025477.1|DKIK, LOC108076949|XP_017025488.1|DKIK
OG0000003	LOC108030370|XP_016958727.1|DBIA	LOC108072418|XP_017019012.1|DKIK
OG0000003	LOC108030024|XP_016958053.1|DBIA	LOC108072446|XP_017019063.1|DKIK
OG0000003	LOC108030125|XP_016958318.1|DBIA	LOC108070524|XP_017016527.1|DKIK
OG0000003	LOC108030172|XP_016958401.1|DBIA	LOC108072417|XP_017019010.1|DKIK
OG0000003	LOC108029931|XP_016957914.1|DBIA, LOC108030395|XP_016958768.1|DBIA, LOC108034850|XP_016965477.1|DBIA	LOC108072407|XP_017018998.1|DKIK
OG0000003	LOC108030023|XP_016958052.1|DBIA, LOC108029857|XP_016957836.1|DBIA, LOC108029859|XP_016957838.1|DBIA	LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK
OG0000003	LOC108030173|XP_016958402.1|DBIA	LOC108072419|XP_017019013.1|DKIK
OG0000003	LOC108029368|XP_016957084.1|DBIA	LOC108070794|XP_017016883.1|DKIK
OG0000003	LOC108029347|XP_016957028.1|DBIA	LOC108070791|XP_017016879.1|DKIK
OG0000003	LOC108029367|XP_016957083.1|DBIA	LOC108070792|XP_017016880.1|DKIK
OG0000003	LOC108034204|XP_016964524.1|DBIA	LOC108073603|XP_017020784.1|DKIK
OG0000005	LOC108021908|XP_016946219.1|DBIA	LOC108085749|XP_017037978.1|DKIK
