Orthogroup	DBIA.longest_only	CCAP.longest_only
OG0000000	LOC108029860|XP_016957839.1|DBIA	CCAP1982_LOCUS12926|CAD7004529.1|CCAP
OG0000000	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP
OG0000000	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA, LOC108029053|XP_016956604.1|DBIA, LOC108031338|XP_016960091.1|DBIA, LOC108029341|XP_016957023.1|DBIA	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP
OG0000000	LOC108034429|XP_016964803.1|DBIA, LOC108034424|XP_016964798.1|DBIA, LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA, LOC108022107|XP_016946439.1|DBIA, LOC108025270|XP_016951121.1|DBIA, LOC108024280|XP_016949667.1|DBIA, LOC108024997|XP_016950742.1|DBIA, LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA, LOC108024999|XP_016950744.1|DBIA, LOC108031001|XP_016959690.1|DBIA, LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA, LOC108031000|XP_016959689.1|DBIA, LOC108030080|XP_016958186.1|DBIA, LOC108033578|XP_016963412.1|DBIA, LOC108025172|XP_016950938.1|DBIA, LOC108025165|XP_016950931.1|DBIA, LOC108025419|XP_016951390.1|DBIA, LOC108032345|XP_016961644.1|DBIA, LOC108023058|XP_016947798.1|DBIA, LOC108028940|XP_016956448.1|DBIA, LOC108033274|XP_016963030.1|DBIA, LOC108033239|XP_016962994.1|DBIA	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP
OG0000000	LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA, LOC108022120|XP_016946450.1|DBIA, LOC108024473|XP_016949882.1|DBIA, LOC108032904|XP_016962446.1|DBIA, LOC108034432|XP_016964806.1|DBIA, LOC108034431|XP_016964805.1|DBIA, LOC108034430|XP_016964804.1|DBIA, LOC108035120|XP_016966040.1|DBIA, LOC108027980|XP_016955095.1|DBIA, LOC108032244|XP_016961600.1|DBIA	CCAP1982_LOCUS11001|CAD7002512.1|CCAP
OG0000001	LOC108035859|XP_016967093.1|DBIA	CCAP1982_LOCUS14762|CAD7006443.1|CCAP
OG0000001	LOC108036881|XP_016968745.1|DBIA	CCAP1982_LOCUS10053|CAD7001559.1|CCAP, CCAP1982_LOCUS9335|CAD7000861.1|CCAP, CCAP1982_LOCUS10394|CAD7001907.1|CCAP
OG0000002	LOC108029608|XP_016957477.1|DBIA, LOC108029010|XP_016956543.1|DBIA, LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA	CCAP1982_LOCUS4991|CAD6996312.1|CCAP
OG0000002	LOC108027710|XP_016954748.1|DBIA, LOC108033431|XP_016963245.1|DBIA, LOC108027704|XP_016954743.1|DBIA, LOC108029019|XP_016956553.1|DBIA, LOC108029040|XP_016956580.1|DBIA	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP
OG0000003	LOC108030370|XP_016958727.1|DBIA, LOC108030025|XP_016958054.1|DBIA	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP
OG0000003	LOC108024348|XP_016949739.1|DBIA, LOC108030024|XP_016958053.1|DBIA, LOC108030125|XP_016958318.1|DBIA	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP
OG0000003	LOC108030173|XP_016958402.1|DBIA	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP
OG0000003	LOC108031495|XP_016960477.1|DBIA, LOC108029347|XP_016957028.1|DBIA, LOC108029367|XP_016957083.1|DBIA	CCAP1982_LOCUS20941|CAD7012841.1|CCAP
OG0000003	LOC108034204|XP_016964524.1|DBIA	CCAP1982_LOCUS7775|CAD6999243.1|CCAP
OG0000006	LOC108021907|XP_016946218.1|DBIA	CCAP1982_LOCUS9540|CAD7001068.1|CCAP
OG0000007	LOC108028761|XP_016956223.1|DBIA	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP
OG0000007	LOC108027672|XP_016954706.1|DBIA, LOC108029358|XP_016957069.1|DBIA, LOC108025402|XP_016951367.1|DBIA, LOC108025489|XP_016951493.1|DBIA, LOC108025042|XP_016950787.1|DBIA, LOC108025513|XP_016951523.1|DBIA, LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA, LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA, LOC108034518|XP_016964930.1|DBIA, LOC108027854|XP_016954941.1|DBIA, LOC108028309|XP_016955521.1|DBIA, LOC108028310|XP_016955522.1|DBIA	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP
OG0000008	LOC108032174|XP_016961516.1|DBIA	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	LOC108034858|XP_016965498.1|DBIA	CCAP1982_LOCUS12720|CAD7004300.1|CCAP
OG0000008	LOC108034855|XP_016965493.1|DBIA	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	LOC108034860|XP_016965500.1|DBIA	CCAP1982_LOCUS12718|CAD7004298.1|CCAP
OG0000008	LOC108027365|XP_016954278.1|DBIA, LOC108027065|XP_016953763.1|DBIA	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP
OG0000008	LOC108027095|XP_016953802.1|DBIA	CCAP1982_LOCUS3598|CAD6994863.1|CCAP
OG0000008	LOC108027071|XP_016953774.1|DBIA	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP
OG0000009	LOC108031158|XP_016959863.1|DBIA	CCAP1982_LOCUS973|CAD6992095.1|CCAP
OG0000009	LOC108022184|XP_016946525.1|DBIA, LOC108032134|XP_016961458.1|DBIA, LOC108023117|XP_016947872.1|DBIA, LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC108024778|XP_016950383.1|DBIA	CCAP1982_LOCUS6246|CAD6997610.1|CCAP
OG0000010	LOC108035868|XP_016967106.1|DBIA, LOC108021910|XP_016946220.1|DBIA	CCAP1982_LOCUS6248|CAD6997612.1|CCAP
OG0000012	LOC108026825|XP_016953482.1|DBIA	CCAP1982_LOCUS22583|CAD7014589.1|CCAP
OG0000012	LOC108026824|XP_016953480.1|DBIA	CCAP1982_LOCUS22582|CAD7014587.1|CCAP
OG0000012	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA	CCAP1982_LOCUS22581|CAD7014586.1|CCAP
OG0000012	LOC108026906|XP_016953604.1|DBIA	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP
OG0000012	LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA, LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA, LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA, LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
OG0000013	LOC108036445|XP_016968074.1|DBIA	CCAP1982_LOCUS7142|CAD6998559.1|CCAP
OG0000013	LOC108031414|XP_016960303.1|DBIA	CCAP1982_LOCUS4900|CAD6996212.1|CCAP
OG0000013	LOC108034990|XP_016965812.1|DBIA	CCAP1982_LOCUS14162|CAD7005816.1|CCAP
OG0000013	LOC108024443|XP_016949852.1|DBIA	CCAP1982_LOCUS3120|CAD6994367.1|CCAP
OG0000013	LOC108026153|XP_016952377.1|DBIA	CCAP1982_LOCUS2756|CAD6993971.1|CCAP
OG0000013	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP
OG0000014	LOC108035861|XP_016967096.1|DBIA, LOC108021863|XP_016946143.1|DBIA, LOC108022025|XP_016946391.1|DBIA	CCAP1982_LOCUS11944|CAD7003494.1|CCAP
OG0000014	LOC108021915|XP_016946228.1|DBIA, LOC108031505|XP_016960503.1|DBIA	CCAP1982_LOCUS11701|CAD7003239.1|CCAP
OG0000014	LOC108027391|XP_016954320.1|DBIA	CCAP1982_LOCUS10103|CAD7001609.1|CCAP, CCAP1982_LOCUS9877|CAD7001380.1|CCAP, CCAP1982_LOCUS9942|CAD7001445.1|CCAP, CCAP1982_LOCUS4171|CAD6995456.1|CCAP, CCAP1982_LOCUS10567|CAD7002079.1|CCAP, CCAP1982_LOCUS10503|CAD7002015.1|CCAP, CCAP1982_LOCUS6284|CAD6997653.1|CCAP, CCAP1982_LOCUS10032|CAD7001536.1|CCAP, CCAP1982_LOCUS8024|CAD6999500.1|CCAP, CCAP1982_LOCUS9769|CAD7001271.1|CCAP, CCAP1982_LOCUS9400|CAD7000925.1|CCAP, CCAP1982_LOCUS10108|CAD7001614.1|CCAP
OG0000016	LOC108031488|XP_016960465.1|DBIA, LOC108022510|XP_016946968.1|DBIA	CCAP1982_LOCUS2337|CAD6993525.1|CCAP
OG0000016	LOC108032049|XP_016961350.1|DBIA	CCAP1982_LOCUS4238|CAD6995526.1|CCAP
OG0000016	LOC108036535|XP_016968248.1|DBIA	CCAP1982_LOCUS8417|CAD6999907.1|CCAP
OG0000016	LOC108026160|XP_016952383.1|DBIA	CCAP1982_LOCUS4923|CAD6996239.1|CCAP
OG0000016	LOC108030823|XP_016959429.1|DBIA	CCAP1982_LOCUS22100|CAD7014094.1|CCAP
OG0000017	LOC108036348|XP_016967909.1|DBIA, LOC108036878|XP_016968743.1|DBIA, LOC108030712|XP_016959244.1|DBIA	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP
OG0000018	LOC108028400|XP_016955704.1|DBIA	CCAP1982_LOCUS12552|CAD7004131.1|CCAP
OG0000018	LOC108028081|XP_016955212.1|DBIA	CCAP1982_LOCUS12546|CAD7004125.1|CCAP
OG0000018	LOC108028402|XP_016955706.1|DBIA	CCAP1982_LOCUS12550|CAD7004129.1|CCAP
OG0000018	LOC108028162|XP_016955311.1|DBIA	CCAP1982_LOCUS12538|CAD7004117.1|CCAP, CCAP1982_LOCUS12539|CAD7004118.1|CCAP, CCAP1982_LOCUS12541|CAD7004120.1|CCAP
OG0000019	LOC108025227|XP_016951062.1|DBIA, LOC108025229|XP_016951064.1|DBIA, LOC108025230|XP_016951066.1|DBIA, LOC108025224|XP_016951060.1|DBIA, LOC108025228|XP_016951063.1|DBIA, LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP
OG0000020	LOC108026305|XP_016952678.1|DBIA	CCAP1982_LOCUS1146|CAD6992278.1|CCAP
OG0000020	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA	CCAP1982_LOCUS1002|CAD6992120.1|CCAP
OG0000020	LOC108031537|XP_016960562.1|DBIA	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP
OG0000020	LOC108034268|XP_016964616.1|DBIA, LOC108033875|XP_016964007.1|DBIA	CCAP1982_LOCUS999|CAD6992115.1|CCAP
OG0000021	LOC108027350|XP_016954258.1|DBIA	CCAP1982_LOCUS162|CAD6991224.1|CCAP
OG0000022	LOC108022346|XP_016946698.1|DBIA	CCAP1982_LOCUS19689|CAD7011600.1|CCAP
OG0000022	LOC108029210|XP_016956886.1|DBIA, LOC108029216|XP_016956899.1|DBIA, LOC108027792|XP_016954853.1|DBIA, LOC108029236|XP_016956922.1|DBIA	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP
OG0000023	LOC108027143|XP_016953853.1|DBIA, LOC108026627|XP_016953132.1|DBIA, LOC108027145|XP_016953854.1|DBIA	CCAP1982_LOCUS4737|CAD6996031.1|CCAP
OG0000023	LOC108027009|XP_016953696.1|DBIA	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP
OG0000023	LOC108027245|XP_016954086.1|DBIA	CCAP1982_LOCUS4752|CAD6996046.1|CCAP
OG0000023	LOC108027357|XP_016954268.1|DBIA	CCAP1982_LOCUS4751|CAD6996045.1|CCAP
OG0000023	LOC108027244|XP_016954083.1|DBIA	CCAP1982_LOCUS4754|CAD6996047.1|CCAP
OG0000024	LOC108034270|XP_016964618.1|DBIA, LOC108022158|XP_016946489.1|DBIA	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP
OG0000026	LOC108036455|XP_016968112.1|DBIA, LOC108027284|XP_016954161.1|DBIA, LOC108027046|XP_016953736.1|DBIA	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP
OG0000027	LOC108033374|XP_016963181.1|DBIA	CCAP1982_LOCUS8299|CAD6999776.1|CCAP
OG0000027	LOC108033303|XP_016963062.1|DBIA	CCAP1982_LOCUS8293|CAD6999770.1|CCAP
OG0000027	LOC108033359|XP_016963159.1|DBIA	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP
OG0000028	LOC108035881|XP_016967123.1|DBIA	CCAP1982_LOCUS11984|CAD7003534.1|CCAP
OG0000028	LOC108035021|XP_016965853.1|DBIA	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP
