Orthogroup	DBIA.longest_only	DSEC.longest_only
OG0000000	LOC108029860|XP_016957839.1|DBIA	LOC116801307|XP_032576000.1|DSEC
OG0000000	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA	LOC6605054|XP_032575159.1|DSEC
OG0000000	LOC108024306|XP_016949697.1|DBIA	LOC6612593|XP_002037098.2|DSEC
OG0000000	LOC108029053|XP_016956604.1|DBIA	LOC6611330|XP_002035877.1|DSEC
OG0000000	LOC108029341|XP_016957023.1|DBIA	LOC6608865|XP_002033579.1|DSEC
OG0000000	LOC108034429|XP_016964803.1|DBIA	LOC6605884|XP_032575999.1|DSEC
OG0000000	LOC108034424|XP_016964798.1|DBIA	LOC6605885|XP_032575997.1|DSEC
OG0000000	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA	LOC116800964|XP_032573791.1|DSEC
OG0000000	LOC108034426|XP_016964799.1|DBIA	LOC116801306|XP_032575998.1|DSEC
OG0000000	LOC108022107|XP_016946439.1|DBIA	LOC6618886|XP_002043134.2|DSEC
OG0000000	LOC108024997|XP_016950742.1|DBIA	LOC6613111|XP_032569894.1|DSEC
OG0000000	LOC108024999|XP_016950744.1|DBIA	LOC6612936|XP_002037428.1|DSEC
OG0000000	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA	LOC6611813|XP_002036335.1|DSEC
OG0000000	LOC108031000|XP_016959689.1|DBIA	LOC6607813|XP_032578052.1|DSEC
OG0000000	LOC108030080|XP_016958186.1|DBIA	LOC6609340|XP_032572102.1|DSEC
OG0000000	LOC108033578|XP_016963412.1|DBIA	LOC116803586|XP_032583371.1|DSEC
OG0000000	LOC108025165|XP_016950931.1|DBIA	LOC6612926|XP_032578042.1|DSEC
OG0000000	LOC108025419|XP_016951390.1|DBIA	LOC6612925|XP_002037417.1|DSEC
OG0000000	LOC108032345|XP_016961644.1|DBIA	LOC6611281|XP_032582965.1|DSEC
OG0000000	LOC108033274|XP_016963030.1|DBIA	LOC6614481|XP_002038914.1|DSEC
OG0000000	LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA	LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC
OG0000000	LOC108024473|XP_016949882.1|DBIA	LOC6612634|XP_002037138.2|DSEC
OG0000000	LOC108032904|XP_016962446.1|DBIA	LOC6613854|XP_002038323.1|DSEC
OG0000000	LOC108032244|XP_016961600.1|DBIA	LOC6605446|XP_002030279.1|DSEC
OG0000001	LOC108021927|XP_016946239.1|DBIA	LOC116801168|XP_032575066.1|DSEC
OG0000002	LOC108036386|XP_016967980.1|DBIA	LOC6609498|XP_002034183.1|DSEC
