Orthogroup	DBIA.longest_only	CPIP.longest_only
OG0000001	LOC108036881|XP_016968745.1|DBIA	LOC120431875|XP_039452940.1|CPIP
OG0000002	LOC108029608|XP_016957477.1|DBIA, LOC108029010|XP_016956543.1|DBIA, LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA	LOC120432609|XP_039453790.1|CPIP, LOC120426099|XP_039446736.1|CPIP, LOC120422400|XP_039441752.1|CPIP, LOC120426484|XP_039447184.1|CPIP, LOC120414036|XP_039430992.1|CPIP, LOC120421041|XP_039440119.1|CPIP, LOC120421040|XP_039440118.1|CPIP, LOC120420327|XP_039439256.1|CPIP, LOC120428552|XP_039449518.1|CPIP, LOC120419373|XP_039437975.1|CPIP, LOC120419367|XP_039437970.1|CPIP, LOC120419375|XP_039437981.1|CPIP, LOC120419374|XP_039437979.1|CPIP
OG0000007	LOC108028761|XP_016956223.1|DBIA, LOC108028706|XP_016956144.1|DBIA, LOC108028547|XP_016955936.1|DBIA, LOC108028548|XP_016955937.1|DBIA, LOC108028068|XP_016955198.1|DBIA, LOC108028546|XP_016955935.1|DBIA, LOC108027995|XP_016955111.1|DBIA, LOC108027672|XP_016954706.1|DBIA, LOC108029358|XP_016957069.1|DBIA, LOC108025402|XP_016951367.1|DBIA, LOC108025489|XP_016951493.1|DBIA, LOC108025042|XP_016950787.1|DBIA, LOC108025513|XP_016951523.1|DBIA, LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA, LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA, LOC108034518|XP_016964930.1|DBIA, LOC108027854|XP_016954941.1|DBIA, LOC108028309|XP_016955521.1|DBIA, LOC108028310|XP_016955522.1|DBIA	LOC120412432|XP_039428825.1|CPIP, LOC120412413|XP_039428810.1|CPIP, LOC120412387|XP_039428758.1|CPIP, LOC120412425|XP_039428820.1|CPIP
OG0000008	LOC108032174|XP_016961516.1|DBIA	LOC120426154|XP_039446807.1|CPIP, LOC120426153|XP_039446806.1|CPIP, LOC120426147|XP_039446799.1|CPIP
OG0000008	LOC108034858|XP_016965498.1|DBIA	LOC120421629|XP_039440794.1|CPIP, LOC120421652|XP_039440822.1|CPIP, LOC120421673|XP_039440840.1|CPIP
OG0000008	LOC108034855|XP_016965493.1|DBIA	LOC120421619|XP_039440783.1|CPIP
OG0000008	LOC108033465|XP_016963291.1|DBIA	LOC120421726|XP_039440908.1|CPIP
OG0000008	LOC108034860|XP_016965500.1|DBIA	LOC120421683|XP_039440852.1|CPIP
OG0000009	LOC108031158|XP_016959863.1|DBIA, LOC108032245|XP_016961597.1|DBIA, LOC108031027|XP_016959717.1|DBIA, LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA, LOC108028108|XP_016955244.1|DBIA, LOC108022184|XP_016946525.1|DBIA, LOC108032134|XP_016961458.1|DBIA, LOC108023117|XP_016947872.1|DBIA, LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA	LOC120426658|XP_039447384.1|CPIP, LOC120429628|XP_039450593.1|CPIP, LOC120421295|XP_039440420.1|CPIP, LOC120421293|XP_039440418.1|CPIP, LOC120430193|XP_039451208.1|CPIP, LOC120430194|XP_039451209.1|CPIP, LOC120430179|XP_039451193.1|CPIP, LOC120414768|XP_039432015.1|CPIP, LOC120414769|XP_039432016.1|CPIP, LOC120422527|XP_039441920.1|CPIP, LOC120413328|XP_039430036.1|CPIP, LOC120413359|XP_039430078.1|CPIP, LOC120413353|XP_039430071.1|CPIP, LOC120422471|XP_039441860.1|CPIP, LOC120422470|XP_039441859.1|CPIP, LOC120422469|XP_039441857.1|CPIP, LOC120422468|XP_039441855.1|CPIP
OG0000010	LOC108024778|XP_016950383.1|DBIA	LOC120430236|XP_039451249.1|CPIP, LOC120425524|XP_039446013.1|CPIP
OG0000010	LOC108035868|XP_016967106.1|DBIA, LOC108021910|XP_016946220.1|DBIA	LOC120422947|XP_039442463.1|CPIP
OG0000012	LOC108026825|XP_016953482.1|DBIA, LOC108026824|XP_016953480.1|DBIA, LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA, LOC108026906|XP_016953604.1|DBIA, LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA, LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA, LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA, LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA	LOC120419492|XP_039438114.1|CPIP, LOC120419485|XP_039438104.1|CPIP, LOC120419486|XP_039438105.1|CPIP
OG0000013	LOC108036445|XP_016968074.1|DBIA	LOC120421446|XP_039440586.1|CPIP
OG0000013	LOC108030851|XP_016959521.1|DBIA	LOC120414719|XP_039431959.1|CPIP
OG0000013	LOC108031414|XP_016960303.1|DBIA	LOC120419254|XP_039437842.1|CPIP
OG0000013	LOC108034990|XP_016965812.1|DBIA	LOC120425238|XP_039445606.1|CPIP, LOC120426202|XP_039446840.1|CPIP
OG0000013	LOC108024443|XP_016949852.1|DBIA	LOC120420165|XP_039439065.1|CPIP
OG0000013	LOC108026153|XP_016952377.1|DBIA, LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA	LOC120422142|XP_039441447.1|CPIP, LOC120432512|XP_039453664.1|CPIP, LOC120432517|XP_039453668.1|CPIP, LOC120432516|XP_039453667.1|CPIP
OG0000014	LOC108021915|XP_016946228.1|DBIA, LOC108031505|XP_016960503.1|DBIA	LOC120413983|XP_039430927.1|CPIP, LOC120421589|XP_039440753.1|CPIP
OG0000014	LOC108027391|XP_016954320.1|DBIA	LOC120429879|XP_039450893.1|CPIP, LOC120432134|XP_039453197.1|CPIP
OG0000016	LOC108031488|XP_016960465.1|DBIA, LOC108022510|XP_016946968.1|DBIA	LOC120432083|XP_039453151.1|CPIP, LOC120425437|XP_039445902.1|CPIP
OG0000016	LOC108032049|XP_016961350.1|DBIA	LOC120432396|XP_039453527.1|CPIP
OG0000016	LOC108031387|XP_016960277.1|DBIA	LOC120421049|XP_039440125.1|CPIP
OG0000016	LOC108030823|XP_016959429.1|DBIA	LOC120412537|XP_039428967.1|CPIP, LOC120412538|XP_039428968.1|CPIP
OG0000018	LOC108028400|XP_016955704.1|DBIA	LOC120418854|XP_039437316.1|CPIP
