Orthogroup	DBIA.longest_only	CQUI.longest_only
OG0000001	LOC108027240|XP_016954071.1|DBIA	LOC119766017|XP_038106276.1|CQUI
OG0000001	LOC108036881|XP_016968745.1|DBIA	LOC119770898|XP_038122395.1|CQUI, LOC119769341|XP_038117296.1|CQUI
OG0000001	LOC108030270|XP_016958969.1|DBIA	LOC119765978|XP_038106214.1|CQUI
OG0000002	LOC108029608|XP_016957477.1|DBIA, LOC108029010|XP_016956543.1|DBIA, LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA	LOC6051752|XP_038114241.1|CQUI, LOC6048495|XP_038106961.1|CQUI, LOC6043552|XP_038106320.1|CQUI, LOC119767575|XP_038112403.1|CQUI, LOC6049145|XP_001865939.2|CQUI, LOC6038327|XP_038110332.1|CQUI
OG0000006	LOC108021907|XP_016946218.1|DBIA	LOC6045306|XP_001862695.1|CQUI
OG0000007	LOC108028761|XP_016956223.1|DBIA, LOC108028706|XP_016956144.1|DBIA, LOC108028547|XP_016955936.1|DBIA, LOC108028548|XP_016955937.1|DBIA, LOC108028068|XP_016955198.1|DBIA, LOC108028546|XP_016955935.1|DBIA, LOC108027995|XP_016955111.1|DBIA, LOC108027672|XP_016954706.1|DBIA, LOC108029358|XP_016957069.1|DBIA, LOC108025402|XP_016951367.1|DBIA, LOC108025489|XP_016951493.1|DBIA, LOC108025042|XP_016950787.1|DBIA, LOC108025513|XP_016951523.1|DBIA, LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA, LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA, LOC108034518|XP_016964930.1|DBIA, LOC108027854|XP_016954941.1|DBIA, LOC108028309|XP_016955521.1|DBIA, LOC108028310|XP_016955522.1|DBIA	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI
OG0000008	LOC108032174|XP_016961516.1|DBIA	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI
OG0000008	LOC108034858|XP_016965498.1|DBIA	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI
OG0000008	LOC108034855|XP_016965493.1|DBIA	LOC6035807|XP_001845929.1|CQUI
OG0000008	LOC108033465|XP_016963291.1|DBIA	LOC6041962|XP_038113753.1|CQUI
OG0000008	LOC108034860|XP_016965500.1|DBIA	LOC6035809|XP_001845931.2|CQUI
OG0000009	LOC108031158|XP_016959863.1|DBIA, LOC108032245|XP_016961597.1|DBIA, LOC108031027|XP_016959717.1|DBIA, LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA, LOC108028108|XP_016955244.1|DBIA, LOC108022184|XP_016946525.1|DBIA, LOC108032134|XP_016961458.1|DBIA, LOC108023117|XP_016947872.1|DBIA, LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI
OG0000010	LOC108024778|XP_016950383.1|DBIA, LOC108035868|XP_016967106.1|DBIA, LOC108021910|XP_016946220.1|DBIA	LOC6054618|XP_038112552.1|CQUI
OG0000012	LOC108026825|XP_016953482.1|DBIA, LOC108026824|XP_016953480.1|DBIA, LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA, LOC108026906|XP_016953604.1|DBIA, LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA, LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA, LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA, LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI
OG0000013	LOC108036445|XP_016968074.1|DBIA	LOC6035930|XP_001846040.1|CQUI
OG0000013	LOC108030851|XP_016959521.1|DBIA	LOC6034961|XP_038118728.1|CQUI
OG0000013	LOC108031414|XP_016960303.1|DBIA	LOC6041235|XP_001850527.1|CQUI
OG0000013	LOC108034990|XP_016965812.1|DBIA	LOC6038413|XP_001848218.2|CQUI
OG0000013	LOC108024443|XP_016949852.1|DBIA	LOC6047700|XP_038117441.1|CQUI
OG0000013	LOC108026153|XP_016952377.1|DBIA, LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA	LOC6047923|XP_001864910.2|CQUI
OG0000014	LOC108027391|XP_016954320.1|DBIA	LOC119766221|XP_038106588.1|CQUI
OG0000014	LOC108022036|XP_016946371.1|DBIA	LOC119769177|XP_038117010.1|CQUI, LOC119767876|XP_038113576.1|CQUI
OG0000016	LOC108031488|XP_016960465.1|DBIA, LOC108022510|XP_016946968.1|DBIA	LOC6037346|XP_001847269.1|CQUI
OG0000016	LOC108032049|XP_016961350.1|DBIA	LOC6032259|XP_001842896.1|CQUI
OG0000016	LOC108031387|XP_016960277.1|DBIA	LOC6042744|XP_038105438.1|CQUI
OG0000016	LOC108030823|XP_016959429.1|DBIA	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI
OG0000018	LOC108028400|XP_016955704.1|DBIA	LOC6049793|XP_038119134.1|CQUI
OG0000019	LOC108025227|XP_016951062.1|DBIA, LOC108025229|XP_016951064.1|DBIA, LOC108025230|XP_016951066.1|DBIA, LOC108025224|XP_016951060.1|DBIA, LOC108025228|XP_016951063.1|DBIA, LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI
OG0000020	LOC108026305|XP_016952678.1|DBIA, LOC108026784|XP_016953432.1|DBIA	LOC6039899|XP_001849397.1|CQUI
OG0000020	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA, LOC108031537|XP_016960562.1|DBIA, LOC108024628|XP_016950157.1|DBIA, LOC108034268|XP_016964616.1|DBIA, LOC108033875|XP_016964007.1|DBIA	LOC6036302|XP_038116279.1|CQUI
OG0000021	LOC108025789|XP_016951907.1|DBIA	LOC6033026|XP_038122145.1|CQUI
OG0000021	LOC108026319|XP_016952697.1|DBIA, LOC108027350|XP_016954258.1|DBIA, LOC108026442|XP_016952872.1|DBIA	LOC6039972|XP_001849462.1|CQUI
OG0000022	LOC108022346|XP_016946698.1|DBIA, LOC108030636|XP_016959139.1|DBIA, LOC108029210|XP_016956886.1|DBIA, LOC108029216|XP_016956899.1|DBIA, LOC108027792|XP_016954853.1|DBIA, LOC108029236|XP_016956922.1|DBIA, LOC108029246|XP_016956933.1|DBIA, LOC108029225|XP_016956911.1|DBIA, LOC108029203|XP_016956872.1|DBIA	LOC6037178|XP_001847112.1|CQUI
OG0000023	LOC108027148|XP_016953858.1|DBIA, LOC108027146|XP_016953855.1|DBIA, LOC108027143|XP_016953853.1|DBIA, LOC108026627|XP_016953132.1|DBIA, LOC108027145|XP_016953854.1|DBIA, LOC108027009|XP_016953696.1|DBIA, LOC108027245|XP_016954086.1|DBIA, LOC108027357|XP_016954268.1|DBIA, LOC108027244|XP_016954083.1|DBIA	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI
OG0000024	LOC108022668|XP_016947226.1|DBIA, LOC108023057|XP_016947794.1|DBIA, LOC108022950|XP_016947655.1|DBIA, LOC108022666|XP_016947224.1|DBIA, LOC108022667|XP_016947225.1|DBIA, LOC108034270|XP_016964618.1|DBIA, LOC108022158|XP_016946489.1|DBIA, LOC108029512|XP_016957298.1|DBIA	LOC6034201|XP_001844555.2|CQUI
OG0000025	LOC108023228|XP_016947991.1|DBIA	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI
OG0000026	LOC108036455|XP_016968112.1|DBIA, LOC108027284|XP_016954161.1|DBIA, LOC108027046|XP_016953736.1|DBIA	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI
