Orthogroup	DSUB.longest_only	DPER.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER
OG0000000	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER
OG0000000	LOC117898485|XP_034663813.1|DSUB	LOC6598745|XP_026840088.1|DPER
OG0000000	LOC117889909|XP_034650326.1|DSUB	LOC6603462|XP_002028442.1|DPER
OG0000000	LOC117893407|XP_034655897.1|DSUB	LOC6599796|XP_002024966.2|DPER
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC6592293|XP_002018412.1|DPER
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	LOC6594745|XP_002020397.2|DPER
OG0000000	LOC117897477|XP_034662229.1|DSUB	LOC6594746|XP_026843423.1|DPER
OG0000000	LOC117899325|XP_034665150.1|DSUB	LOC6594749|XP_026851250.1|DPER
OG0000000	LOC117899310|XP_034665127.1|DSUB	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER
OG0000000	LOC117890046|XP_034650557.1|DSUB	LOC6589576|XP_026844127.1|DPER
OG0000000	LOC117892618|XP_034654860.1|DSUB	LOC6591308|XP_026842081.1|DPER
OG0000000	LOC117899298|XP_034665106.1|DSUB, LOC117898533|XP_034663894.1|DSUB	LOC6595216|XP_026851124.1|DPER
OG0000000	LOC117892569|XP_034654782.1|DSUB	LOC6593032|XP_002017709.2|DPER, LOC6593087|XP_026841436.1|DPER, LOC6593031|XP_026841437.1|DPER
OG0000000	LOC117899382|XP_034665255.1|DSUB	LOC6595061|XP_026851238.1|DPER
OG0000000	LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB	LOC6595060|XP_002020414.2|DPER
OG0000000	LOC117896020|XP_034659918.1|DSUB	LOC6588283|XP_026842223.1|DPER
OG0000000	LOC117901385|XP_034668002.1|DSUB	LOC113565649|XP_026844091.1|DPER
OG0000000	LOC117892680|XP_034654976.1|DSUB	LOC6592855|XP_026840797.1|DPER
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER
OG0000000	LOC117897324|XP_034661985.1|DSUB	LOC6587480|XP_002013644.2|DPER
OG0000000	LOC117897179|XP_034661768.1|DSUB	LOC113564894|XP_026839940.1|DPER, LOC113564893|XP_026839937.1|DPER, LOC113564896|XP_026839945.1|DPER, LOC113564892|XP_026839936.1|DPER, LOC113564891|XP_026839935.1|DPER, LOC6595239|XP_026839947.1|DPER
OG0000000	LOC117898832|XP_034664390.1|DSUB	LOC6591953|XP_026851182.1|DPER, LOC6592013|XP_002017508.2|DPER
