Orthogroup	DSUB.longest_only	DHYD.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC111599673|XP_023171145.1|DHYD
OG0000000	LOC117890871|XP_034651851.1|DSUB, LOC117889909|XP_034650326.1|DSUB	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD
OG0000000	LOC117893403|XP_034655894.1|DSUB	LOC111600475|XP_023172354.2|DHYD
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB, LOC117897324|XP_034661985.1|DSUB	LOC111593957|XP_023162816.2|DHYD
OG0000002	LOC117891991|XP_034653760.1|DSUB	LOC115483422|XP_030081192.1|DHYD
OG0000002	LOC117891990|XP_034653758.1|DSUB	LOC111597015|XP_023167289.2|DHYD
OG0000002	LOC117900215|XP_034666390.1|DSUB	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD
OG0000003	LOC117890142|XP_034650721.1|DSUB	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD
OG0000003	LOC117890988|XP_034652030.1|DSUB	LOC115483813|XP_030082015.1|DHYD
OG0000003	LOC117900241|XP_034666421.1|DSUB	LOC111602383|XP_023175172.2|DHYD
OG0000005	LOC117901442|XP_034668076.1|DSUB	LOC115482879|XP_030078989.1|DHYD, LOC115482876|XP_030078986.1|DHYD, LOC115483256|XP_030080461.1|DHYD, LOC115482875|XP_030078985.1|DHYD, LOC115483299|XP_030080512.1|DHYD, LOC115483283|XP_030080486.1|DHYD, LOC115483228|XP_030080432.1|DHYD, LOC115483311|XP_030080548.1|DHYD, LOC115483223|XP_030080426.1|DHYD, LOC115483229|XP_030080433.1|DHYD, LOC115482878|XP_030078988.1|DHYD, LOC115483255|XP_030080460.1|DHYD, LOC115483234|XP_030080439.1|DHYD, LOC115482877|XP_030078987.1|DHYD, LOC115483258|XP_030080463.1|DHYD, LOC115482903|XP_030079010.1|DHYD, LOC115483257|XP_030080462.1|DHYD, LOC115483190|XP_030080235.1|DHYD, LOC115483284|XP_030080487.1|DHYD, LOC115482890|XP_030078999.1|DHYD, LOC115483259|XP_030080464.1|DHYD, LOC115483202|XP_030080291.1|DHYD, LOC115483285|XP_030080488.1|DHYD, LOC115482874|XP_030078984.1|DHYD, LOC115483300|XP_030080513.1|DHYD
OG0000006	LOC117901441|XP_034668075.1|DSUB	LOC115483274|XP_030080477.1|DHYD, LOC115483251|XP_030080456.1|DHYD
OG0000007	LOC117894702|XP_034657776.1|DSUB	LOC111601093|XP_023173297.2|DHYD
OG0000007	LOC117890133|XP_034650711.1|DSUB	LOC111596952|XP_023167177.2|DHYD
OG0000007	LOC117900835|XP_034667237.1|DSUB	LOC111596951|XP_023167176.2|DHYD
OG0000007	LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD
OG0000008	LOC117896362|XP_034660529.1|DSUB	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC117895169|XP_034658523.1|DSUB	LOC111598804|XP_023169992.1|DHYD
OG0000008	LOC117895168|XP_034658522.1|DSUB	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC117902083|XP_034669067.1|DSUB	LOC111603756|XP_023177254.2|DHYD
OG0000008	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD
OG0000008	LOC117898640|XP_034664094.1|DSUB	LOC111600832|XP_023172904.2|DHYD
OG0000008	LOC117898631|XP_034664083.1|DSUB	LOC111600831|XP_023172902.2|DHYD
OG0000008	LOC117898634|XP_034664087.1|DSUB	LOC111600808|XP_023172870.1|DHYD
OG0000008	LOC117898636|XP_034664090.1|DSUB	LOC111600811|XP_023172873.1|DHYD
OG0000009	LOC117896628|XP_034660961.1|DSUB	LOC111604985|XP_023179049.1|DHYD
OG0000009	LOC117898287|XP_034663434.1|DSUB	LOC111604987|XP_023179051.2|DHYD
OG0000009	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD
OG0000009	LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB	LOC111603540|XP_030079215.1|DHYD
OG0000009	LOC117890282|XP_034650935.1|DSUB	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD
OG0000009	LOC117892376|XP_034654476.1|DSUB	LOC111593549|XP_023162171.2|DHYD
OG0000009	LOC117892374|XP_034654475.1|DSUB	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD
OG0000010	LOC117899454|XP_034665355.1|DSUB	LOC115483288|XP_030080491.1|DHYD, LOC115483286|XP_030080489.1|DHYD, LOC115482881|XP_030078991.1|DHYD
OG0000011	LOC117897187|XP_034661778.1|DSUB	LOC111599147|XP_023170484.2|DHYD
OG0000012	LOC117892204|XP_034654190.1|DSUB	LOC111603849|XP_023177406.2|DHYD
OG0000012	LOC117892205|XP_034654193.1|DSUB	LOC111603850|XP_023177409.2|DHYD
OG0000012	LOC117892198|XP_034654182.1|DSUB	LOC111603802|XP_023177320.1|DHYD
OG0000012	LOC117892199|XP_034654185.1|DSUB	LOC111603848|XP_023177404.2|DHYD
OG0000012	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB, LOC117892200|XP_034654187.1|DSUB	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD
OG0000012	LOC117891062|XP_034652125.1|DSUB, LOC117891063|XP_034652127.1|DSUB, LOC117891061|XP_034652124.1|DSUB	LOC111597898|XP_023168600.2|DHYD
OG0000012	LOC117891058|XP_034652122.1|DSUB, LOC117891064|XP_034652128.1|DSUB	LOC111597903|XP_023168607.2|DHYD
OG0000013	LOC117890717|XP_034651649.1|DSUB	LOC111593737|XP_023162498.2|DHYD
OG0000013	LOC117896187|XP_034660170.1|DSUB	LOC111605302|XP_030080103.1|DHYD
OG0000013	LOC117896516|XP_034660775.1|DSUB	LOC111603010|XP_023176183.1|DHYD
OG0000013	LOC117895334|XP_034658799.1|DSUB	LOC111604413|XP_023178237.2|DHYD
OG0000013	LOC117898536|XP_034663901.1|DSUB	LOC111594553|XP_023163674.1|DHYD
OG0000013	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD
OG0000013	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD
OG0000016	LOC117899529|XP_034665488.1|DSUB	LOC111605496|XP_023179814.1|DHYD
OG0000016	LOC117889984|XP_034650458.1|DSUB	LOC111602093|XP_023174795.1|DHYD
OG0000016	LOC117898309|XP_034663475.1|DSUB	LOC111598341|XP_023169316.1|DHYD
OG0000016	LOC117892105|XP_034654005.1|DSUB	LOC111592540|XP_023160594.1|DHYD
OG0000016	LOC117903845|XP_034672195.1|DSUB	LOC111597353|XP_023167768.1|DHYD
OG0000016	LOC117890476|XP_034651231.1|DSUB	LOC111603208|XP_023176475.1|DHYD
OG0000016	LOC117898432|XP_034663715.1|DSUB	LOC111595218|XP_023164600.1|DHYD
OG0000016	LOC117893424|XP_034655932.1|DSUB	LOC111599234|XP_023170599.1|DHYD
OG0000017	LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB	LOC111600908|XP_023173032.2|DHYD, LOC111600896|XP_023173004.2|DHYD
OG0000017	LOC117899292|XP_034665095.1|DSUB, LOC117899291|XP_034665094.1|DSUB	LOC111603277|XP_023176557.1|DHYD, LOC111603278|XP_030079652.1|DHYD, LOC111602301|XP_023175069.1|DHYD, LOC111592321|XP_023160210.2|DHYD
OG0000017	LOC117891086|XP_034652156.1|DSUB	LOC111603822|XP_023177351.2|DHYD
OG0000017	LOC117890435|XP_034651155.1|DSUB	LOC111600903|XP_030081002.1|DHYD
OG0000017	LOC117900183|XP_034666320.1|DSUB, LOC117900621|XP_034666940.1|DSUB	LOC111595834|XP_023165510.2|DHYD
OG0000018	LOC117895264|XP_034658678.1|DSUB	LOC111600492|XP_023172388.2|DHYD
OG0000018	LOC117895265|XP_034658679.1|DSUB	LOC111600507|XP_023172403.1|DHYD
OG0000018	LOC117895258|XP_034658670.1|DSUB	LOC111600497|XP_023172393.2|DHYD
