Orthogroup	DSUB.longest_only	DERE.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC6555364|XP_026831619.1|DERE
OG0000000	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB	LOC6552159|XP_001980711.1|DERE
OG0000000	LOC117893407|XP_034655897.1|DSUB	LOC6544810|XP_026832924.1|DERE
OG0000000	LOC117893701|XP_034656280.1|DSUB	LOC6544813|XP_001973192.2|DERE
OG0000000	LOC117893403|XP_034655894.1|DSUB	LOC6544812|XP_001973191.2|DERE
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC6548572|XP_026836220.1|DERE
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	LOC6551988|XP_026839788.1|DERE, LOC6551986|XP_026839789.1|DERE, LOC6554922|XP_001981127.2|DERE, LOC6554923|XP_001981128.1|DERE
OG0000000	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE
OG0000000	LOC117899299|XP_034665108.1|DSUB	LOC6548870|XP_001975456.3|DERE
OG0000000	LOC117896020|XP_034659918.1|DSUB	LOC26526690|XP_015009401.1|DERE
OG0000000	LOC117901385|XP_034668002.1|DSUB	LOC6549399|XP_001974447.1|DERE
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE
OG0000000	LOC117897324|XP_034661985.1|DSUB	LOC26526070|XP_026831673.1|DERE
OG0000002	LOC117891991|XP_034653760.1|DSUB	LOC6548172|XP_001975155.3|DERE
OG0000002	LOC117891990|XP_034653758.1|DSUB	LOC6548171|XP_001975154.2|DERE
OG0000002	LOC117899951|XP_034665996.1|DSUB	LOC6540746|XP_001968931.3|DERE
OG0000002	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB	LOC6543212|XP_026834323.1|DERE
OG0000003	LOC117890983|XP_034652023.1|DSUB	LOC6549103|XP_001975568.1|DERE, LOC6548983|XP_001975566.1|DERE
OG0000003	LOC117890985|XP_034652025.1|DSUB	LOC6554587|XP_001981543.2|DERE, LOC6548982|XP_001975565.1|DERE
