Orthogroup	DSUB.longest_only	DFIC.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC108096481|XP_017053581.1|DFIC
OG0000000	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB	LOC108098759|XP_017057380.1|DFIC
OG0000000	LOC117893407|XP_034655897.1|DSUB	LOC108089295|XP_017042962.1|DFIC
OG0000000	LOC117893403|XP_034655894.1|DSUB	LOC108089296|XP_017042963.1|DFIC, LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	LOC108086783|XP_017039312.1|DFIC, LOC108098802|XP_017057433.1|DFIC
OG0000000	LOC117892705|XP_034655010.1|DSUB	LOC108086784|XP_017039313.1|DFIC
OG0000000	LOC117892569|XP_034654782.1|DSUB	LOC108099246|XP_017058107.1|DFIC, LOC108099248|XP_017058109.1|DFIC, LOC108099245|XP_017058106.1|DFIC, LOC108099244|XP_017058105.1|DFIC, LOC108099249|XP_017058110.1|DFIC, LOC108099247|XP_017058108.1|DFIC
OG0000000	LOC117899299|XP_034665108.1|DSUB	LOC108093605|XP_017049220.1|DFIC
OG0000000	LOC117896020|XP_034659918.1|DSUB	LOC108099241|XP_017058101.1|DFIC
OG0000000	LOC117901385|XP_034668002.1|DSUB	LOC108090590|XP_017044830.1|DFIC
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB	LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC
OG0000000	LOC117897324|XP_034661985.1|DSUB	LOC108097696|XP_017055657.1|DFIC
OG0000000	LOC117898800|XP_034664334.1|DSUB, LOC117898812|XP_034664357.1|DSUB	LOC108091368|XP_017046009.1|DFIC
OG0000001	LOC117902179|XP_034669231.1|DSUB	LOC108094352|XP_017050381.1|DFIC, LOC108098394|XP_017056755.1|DFIC
OG0000002	LOC117891991|XP_034653760.1|DSUB	LOC108090768|XP_017045096.1|DFIC
OG0000002	LOC117891990|XP_034653758.1|DSUB	LOC108090769|XP_017045098.1|DFIC
OG0000002	LOC117900215|XP_034666390.1|DSUB	LOC108092580|XP_017047713.1|DFIC
OG0000003	LOC117890983|XP_034652023.1|DSUB	LOC108087667|XP_017040650.1|DFIC, LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC
OG0000003	LOC117890985|XP_034652025.1|DSUB	LOC108087705|XP_017040710.1|DFIC
OG0000003	LOC117890142|XP_034650721.1|DSUB	LOC108094289|XP_017050276.1|DFIC
OG0000003	LOC117890987|XP_034652029.1|DSUB	LOC108087668|XP_017040651.1|DFIC
OG0000003	LOC117890986|XP_034652027.1|DSUB	LOC108099209|XP_017058075.1|DFIC, LOC108087749|XP_017040761.1|DFIC
OG0000003	LOC117890988|XP_034652030.1|DSUB	LOC108087605|XP_017040533.1|DFIC
OG0000003	LOC117890991|XP_034652033.1|DSUB	LOC108090320|XP_017044421.1|DFIC
OG0000003	LOC117890982|XP_034652022.1|DSUB	LOC108090319|XP_017044419.1|DFIC, LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC
OG0000005	LOC117901442|XP_034668076.1|DSUB	LOC108101399|XP_017061208.1|DFIC, LOC108094052|XP_017049981.1|DFIC, LOC108098264|XP_017056555.1|DFIC
OG0000005	LOC117900068|XP_034666166.1|DSUB	LOC108102298|XP_017038659.1|DFIC
OG0000007	LOC117894702|XP_034657776.1|DSUB	LOC108099856|XP_017058991.1|DFIC
OG0000007	LOC117894589|XP_034657628.1|DSUB	LOC108093253|XP_017048718.1|DFIC
OG0000007	LOC117900834|XP_034667236.1|DSUB	LOC108089978|XP_017043968.1|DFIC
OG0000007	LOC117890133|XP_034650711.1|DSUB	LOC108090582|XP_017044820.1|DFIC
OG0000007	LOC117897982|XP_034662985.1|DSUB	LOC108099497|XP_017058547.1|DFIC, LOC108099495|XP_017058545.1|DFIC, LOC108099496|XP_017058546.1|DFIC, LOC108088540|XP_017041874.1|DFIC
OG0000007	LOC117900835|XP_034667237.1|DSUB	LOC108089778|XP_017043661.1|DFIC
OG0000007	LOC117894709|XP_034657781.1|DSUB	LOC108088950|XP_017042460.1|DFIC
OG0000007	LOC117901609|XP_034668319.1|DSUB	LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC
OG0000007	LOC117894591|XP_034657631.1|DSUB	LOC108093152|XP_017048588.1|DFIC
OG0000007	LOC117894593|XP_034657634.1|DSUB	LOC108093153|XP_017048589.1|DFIC
OG0000008	LOC117896362|XP_034660529.1|DSUB	LOC108101034|XP_017060691.1|DFIC
OG0000008	LOC117895168|XP_034658522.1|DSUB	LOC108100331|XP_017059630.1|DFIC
OG0000008	LOC117902083|XP_034669067.1|DSUB	LOC108093477|XP_017049051.1|DFIC
OG0000008	LOC117895171|XP_034658525.1|DSUB	LOC108100333|XP_017059632.1|DFIC
OG0000008	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC
OG0000008	LOC117898640|XP_034664094.1|DSUB	LOC108091769|XP_017046605.1|DFIC
OG0000008	LOC117898631|XP_034664083.1|DSUB	LOC108091757|XP_017046589.1|DFIC
OG0000008	LOC117898634|XP_034664087.1|DSUB	LOC108091754|XP_017046587.1|DFIC
OG0000008	LOC117898636|XP_034664090.1|DSUB	LOC108091767|XP_017046601.1|DFIC
OG0000009	LOC117896628|XP_034660961.1|DSUB	LOC108101115|XP_017060823.1|DFIC
OG0000009	LOC117898287|XP_034663434.1|DSUB	LOC108101125|XP_017060838.1|DFIC
OG0000009	LOC117899151|XP_034664850.1|DSUB	LOC108093288|XP_017048753.1|DFIC
OG0000009	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC
OG0000009	LOC117890282|XP_034650935.1|DSUB	LOC108101809|XP_017061774.1|DFIC
OG0000009	LOC117896426|XP_034660636.1|DSUB	LOC108088079|XP_017041220.1|DFIC
OG0000009	LOC117892376|XP_034654476.1|DSUB	LOC108086769|XP_017039304.1|DFIC
OG0000009	LOC117892374|XP_034654475.1|DSUB	LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC
OG0000011	LOC117901349|XP_034667951.1|DSUB, LOC117900952|XP_034667416.1|DSUB, LOC117902493|XP_034669808.1|DSUB, LOC117902497|XP_034669813.1|DSUB, LOC117900244|XP_034666423.1|DSUB, LOC117902732|XP_034670197.1|DSUB, LOC117901918|XP_034668778.1|DSUB, LOC117902500|XP_034669817.1|DSUB, LOC117902495|XP_034669810.1|DSUB, LOC117902496|XP_034669811.1|DSUB, LOC117901786|XP_034668586.1|DSUB, LOC117900246|XP_034666433.1|DSUB	LOC108101273|XP_017061049.1|DFIC, LOC108100009|XP_017059202.1|DFIC, LOC108101289|XP_017061078.1|DFIC, LOC108100104|XP_017059339.1|DFIC, LOC108098171|XP_017056393.1|DFIC, LOC108095556|XP_017052180.1|DFIC
OG0000011	LOC117893712|XP_034656290.1|DSUB	LOC108086883|XP_017039433.1|DFIC
OG0000011	LOC117894953|XP_034658172.1|DSUB	LOC108086913|XP_017039476.1|DFIC
OG0000011	LOC117897187|XP_034661778.1|DSUB	LOC108098799|XP_017057429.1|DFIC
OG0000012	LOC117892204|XP_034654190.1|DSUB	LOC108096904|XP_017054341.1|DFIC
OG0000012	LOC117892205|XP_034654193.1|DSUB	LOC108096903|XP_017054340.1|DFIC
OG0000012	LOC117892198|XP_034654182.1|DSUB	LOC108096929|XP_017054370.1|DFIC
OG0000012	LOC117892199|XP_034654185.1|DSUB	LOC108096943|XP_017054393.1|DFIC
