Orthogroup	DSUB.longest_only	CQUI.longest_only
OG0000001	LOC117902179|XP_034669231.1|DSUB	LOC119770249|XP_038120685.1|CQUI
OG0000002	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB	LOC6031922|XP_001842608.2|CQUI, LOC6031925|XP_001842607.2|CQUI, LOC119766720|XP_038108058.1|CQUI, LOC6048198|XP_038107103.1|CQUI, LOC6038015|XP_001847862.2|CQUI, LOC6046322|XP_001863540.2|CQUI, LOC6046323|XP_038109183.1|CQUI, LOC6046317|XP_038114051.1|CQUI, LOC6046319|XP_038111161.1|CQUI, LOC6040857|XP_038109269.1|CQUI, LOC119766893|XP_038109184.1|CQUI, LOC6047132|XP_038111728.1|CQUI, LOC6046318|XP_001863538.2|CQUI, LOC119766435|XP_038106911.1|CQUI, LOC119766900|XP_038109270.1|CQUI, LOC119765945|XP_038106151.1|CQUI, LOC6031282|XP_038106913.1|CQUI, LOC119771147|XP_038122498.1|CQUI, LOC6031923|XP_038114632.1|CQUI, LOC119768597|XP_038114634.1|CQUI, LOC6038017|XP_038110782.1|CQUI
OG0000005	LOC117900068|XP_034666166.1|DSUB	LOC6054619|XP_001870506.1|CQUI, LOC6042909|XP_001853966.2|CQUI, LOC6042917|XP_001854001.1|CQUI, LOC119767402|XP_038111852.1|CQUI, LOC6037816|XP_038107337.1|CQUI
OG0000006	LOC117901441|XP_034668075.1|DSUB	LOC6045306|XP_001862695.1|CQUI
OG0000007	LOC117894702|XP_034657776.1|DSUB, LOC117894589|XP_034657628.1|DSUB, LOC117900834|XP_034667236.1|DSUB, LOC117890133|XP_034650711.1|DSUB, LOC117897873|XP_034662839.1|DSUB, LOC117897862|XP_034662826.1|DSUB, LOC117897982|XP_034662985.1|DSUB, LOC117900835|XP_034667237.1|DSUB, LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB, LOC117894591|XP_034657631.1|DSUB, LOC117894593|XP_034657634.1|DSUB	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI
OG0000008	LOC117896362|XP_034660529.1|DSUB	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI
OG0000008	LOC117895169|XP_034658523.1|DSUB	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI
OG0000008	LOC117895168|XP_034658522.1|DSUB	LOC6035807|XP_001845929.1|CQUI
OG0000008	LOC117902083|XP_034669067.1|DSUB	LOC6041962|XP_038113753.1|CQUI
OG0000008	LOC117895171|XP_034658525.1|DSUB	LOC6035809|XP_001845931.2|CQUI
OG0000009	LOC117896628|XP_034660961.1|DSUB, LOC117898287|XP_034663434.1|DSUB, LOC117899151|XP_034664850.1|DSUB, LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB, LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB, LOC117890282|XP_034650935.1|DSUB, LOC117896426|XP_034660636.1|DSUB, LOC117892376|XP_034654476.1|DSUB, LOC117892374|XP_034654475.1|DSUB	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI
OG0000010	LOC117899454|XP_034665355.1|DSUB	LOC6048215|XP_038112551.1|CQUI
OG0000011	LOC117900245|XP_034666432.1|DSUB	LOC6034029|XP_038120227.1|CQUI
OG0000012	LOC117892204|XP_034654190.1|DSUB, LOC117892205|XP_034654193.1|DSUB, LOC117892198|XP_034654182.1|DSUB, LOC117892199|XP_034654185.1|DSUB, LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB, LOC117892200|XP_034654187.1|DSUB, LOC117891062|XP_034652125.1|DSUB, LOC117891063|XP_034652127.1|DSUB, LOC117891061|XP_034652124.1|DSUB, LOC117891058|XP_034652122.1|DSUB, LOC117891064|XP_034652128.1|DSUB	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI
OG0000013	LOC117890717|XP_034651649.1|DSUB	LOC6035930|XP_001846040.1|CQUI
OG0000013	LOC117896187|XP_034660170.1|DSUB	LOC6034961|XP_038118728.1|CQUI
OG0000013	LOC117896516|XP_034660775.1|DSUB	LOC6041235|XP_001850527.1|CQUI
OG0000013	LOC117895334|XP_034658799.1|DSUB	LOC6038413|XP_001848218.2|CQUI
OG0000013	LOC117898536|XP_034663901.1|DSUB	LOC6047700|XP_038117441.1|CQUI
OG0000013	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB, LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB	LOC6047923|XP_001864910.2|CQUI
OG0000016	LOC117899529|XP_034665488.1|DSUB, LOC117889984|XP_034650458.1|DSUB	LOC6037346|XP_001847269.1|CQUI
OG0000016	LOC117898309|XP_034663475.1|DSUB	LOC6032259|XP_001842896.1|CQUI
OG0000016	LOC117903845|XP_034672195.1|DSUB	LOC6042744|XP_038105438.1|CQUI
OG0000016	LOC117893424|XP_034655932.1|DSUB	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI
OG0000018	LOC117895264|XP_034658678.1|DSUB	LOC6049793|XP_038119134.1|CQUI
OG0000018	LOC117895272|XP_034658688.1|DSUB	LOC6032081|XP_001842747.1|CQUI
OG0000019	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB, LOC117899339|XP_034665171.1|DSUB, LOC117899361|XP_034665230.1|DSUB, LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI, LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI, LOC6035670|XP_001845804.2|CQUI, LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI, LOC6035725|XP_001845796.2|CQUI, LOC6050287|XP_038119254.1|CQUI, LOC6044518|XP_038116745.1|CQUI
OG0000020	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB, LOC117892172|XP_034654141.1|DSUB	LOC6039899|XP_001849397.1|CQUI
OG0000020	LOC117902343|XP_034669534.1|DSUB, LOC117898500|XP_034663833.1|DSUB, LOC117898411|XP_034663671.1|DSUB, LOC117901489|XP_034668148.1|DSUB, LOC117901231|XP_034667794.1|DSUB	LOC6036302|XP_038116279.1|CQUI
OG0000021	LOC117903672|XP_034671893.1|DSUB	LOC6033026|XP_038122145.1|CQUI
OG0000021	LOC117896843|XP_034661258.1|DSUB, LOC117898591|XP_034664027.1|DSUB	LOC6039972|XP_001849462.1|CQUI
OG0000022	LOC117892309|XP_034654347.1|DSUB, LOC117892920|XP_034655126.1|DSUB, LOC117892922|XP_034655128.1|DSUB, LOC117892927|XP_034655134.1|DSUB, LOC117892926|XP_034655132.1|DSUB, LOC117892918|XP_034655124.1|DSUB, LOC117892925|XP_034655130.1|DSUB, LOC117892921|XP_034655127.1|DSUB, LOC117892919|XP_034655125.1|DSUB, LOC117892923|XP_034655129.1|DSUB	LOC6037178|XP_001847112.1|CQUI
OG0000023	LOC117896148|XP_034660114.1|DSUB, LOC117896153|XP_034660122.1|DSUB, LOC117896151|XP_034660118.1|DSUB, LOC117896150|XP_034660117.1|DSUB, LOC117891805|XP_034653377.1|DSUB, LOC117896149|XP_034660116.1|DSUB, LOC117898724|XP_034664233.1|DSUB, LOC117898725|XP_034664234.1|DSUB	LOC6047250|XP_001864331.2|CQUI, LOC6047249|XP_038118268.1|CQUI
OG0000024	LOC117889935|XP_034650357.1|DSUB, LOC117889932|XP_034650354.1|DSUB, LOC117889933|XP_034650355.1|DSUB, LOC117889934|XP_034650356.1|DSUB, LOC117901020|XP_034667512.1|DSUB, LOC117889812|XP_034650181.1|DSUB, LOC117891118|XP_034652213.1|DSUB	LOC6034201|XP_001844555.2|CQUI
OG0000025	LOC117890855|XP_034651836.1|DSUB	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI
OG0000026	LOC117903905|XP_034672302.1|DSUB, LOC117899765|XP_034665914.1|DSUB, LOC117899768|XP_034665918.1|DSUB, LOC117899766|XP_034665915.1|DSUB, LOC117899767|XP_034665916.1|DSUB, LOC117899507|XP_034665449.1|DSUB	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI, LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI, LOC6037278|XP_001847205.2|CQUI, LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI, LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI
OG0000027	LOC117902555|XP_034669887.1|DSUB, LOC117902556|XP_034669889.1|DSUB, LOC117902554|XP_034669886.1|DSUB	LOC6034839|XP_001845110.1|CQUI, LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI, LOC6034843|XP_001845114.1|CQUI, LOC6034842|XP_001845113.1|CQUI
OG0000028	LOC117894268|XP_034657114.1|DSUB, LOC117894267|XP_034657113.1|DSUB, LOC117894270|XP_034657116.1|DSUB, LOC117894269|XP_034657115.1|DSUB, LOC117894266|XP_034657112.1|DSUB, LOC117894265|XP_034657110.1|DSUB, LOC117894530|XP_034657538.1|DSUB	LOC119769830|XP_038119448.1|CQUI, LOC119770585|XP_038121681.1|CQUI
OG0000029	LOC117890176|XP_034650765.1|DSUB, LOC117889740|XP_034650054.1|DSUB, LOC117898949|XP_034664564.1|DSUB, LOC117893783|XP_034656418.1|DSUB	LOC6046540|XP_038104140.1|CQUI, LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI, LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI, LOC6054282|XP_038117233.1|CQUI
OG0000032	LOC117898600|XP_034664039.1|DSUB, LOC117898601|XP_034664041.1|DSUB, LOC117898606|XP_034664047.1|DSUB, LOC117898607|XP_034664048.1|DSUB, LOC117899193|XP_034664947.1|DSUB, LOC117898595|XP_034664033.1|DSUB, LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB, LOC117898597|XP_034664035.1|DSUB	LOC6043364|XP_038120746.1|CQUI, LOC6031025|XP_001841877.1|CQUI
OG0000034	LOC117902583|XP_034669972.1|DSUB, LOC117902581|XP_034669969.1|DSUB, LOC117902582|XP_034669970.1|DSUB, LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB, LOC117902353|XP_034669555.1|DSUB	LOC6031147|XP_001841990.2|CQUI, LOC6031148|XP_038117685.1|CQUI, LOC6045701|XP_001863009.1|CQUI
OG0000036	LOC117898005|XP_034663024.1|DSUB	LOC6035433|XP_001845622.2|CQUI
OG0000037	LOC117890311|XP_034650989.1|DSUB, LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI
OG0000038	LOC117894264|XP_034657109.1|DSUB	LOC6034620|XP_001844912.2|CQUI
OG0000038	LOC117893334|XP_034655815.1|DSUB	LOC6047259|XP_001864341.2|CQUI
