Orthogroup	DSUB.longest_only	DMIR.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR
OG0000000	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR
OG0000000	LOC117893407|XP_034655897.1|DSUB	LOC117185812|XP_033243800.1|DMIR
OG0000000	LOC117893701|XP_034656280.1|DSUB	LOC108165373|XP_017156898.2|DMIR
OG0000000	LOC117893403|XP_034655894.1|DSUB	LOC108151290|XP_017135310.1|DMIR
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	LOC108153842|XP_033245237.1|DMIR
OG0000000	LOC117899325|XP_034665150.1|DSUB	LOC108156429|XP_017143371.1|DMIR
OG0000000	LOC117899310|XP_034665127.1|DSUB	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR
OG0000000	LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB	LOC117187438|XP_033246010.1|DMIR
OG0000000	LOC117892569|XP_034654782.1|DSUB	LOC117187703|XP_033246307.1|DMIR, LOC108158063|XP_017145701.1|DMIR, LOC108159866|XP_033253985.1|DMIR, LOC117193681|XP_033254307.1|DMIR, LOC117185879|XP_033246561.1|DMIR, LOC108158064|XP_033254350.1|DMIR, LOC117193739|XP_033254355.1|DMIR
OG0000000	LOC117899382|XP_034665255.1|DSUB	LOC108154065|XP_033245991.1|DMIR
OG0000000	LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB	LOC117187434|XP_033245992.1|DMIR
OG0000000	LOC117896020|XP_034659918.1|DSUB	LOC108153951|XP_017139538.1|DMIR
OG0000000	LOC117901385|XP_034668002.1|DSUB	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR
OG0000000	LOC117892680|XP_034654976.1|DSUB	LOC117192382|XP_033252940.1|DMIR, LOC117192383|XP_033252942.1|DMIR, LOC108158670|XP_033246362.1|DMIR
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR
OG0000000	LOC117892559|XP_034654769.1|DSUB	LOC117192907|XP_033253537.1|DMIR
OG0000000	LOC117897324|XP_034661985.1|DSUB	LOC108154608|XP_017140414.2|DMIR
OG0000000	LOC117897179|XP_034661768.1|DSUB	LOC108154051|XP_017139631.2|DMIR, LOC108154052|XP_017139633.1|DMIR
OG0000000	LOC117898832|XP_034664390.1|DSUB	LOC108153871|XP_033244797.1|DMIR, LOC108153866|XP_017139453.1|DMIR
OG0000000	LOC117889741|XP_034650055.1|DSUB, LOC117889744|XP_034650074.1|DSUB	LOC108154580|XP_017140371.1|DMIR, LOC117187432|XP_033245983.1|DMIR, LOC108154586|XP_017140379.1|DMIR, LOC108153991|XP_033246108.1|DMIR
OG0000000	LOC117889734|XP_034650048.1|DSUB, LOC117889737|XP_034650052.1|DSUB, LOC117890530|XP_034651341.1|DSUB, LOC117890531|XP_034651342.1|DSUB, LOC117892566|XP_034654779.1|DSUB	LOC108153868|XP_017139455.1|DMIR
OG0000000	LOC117899182|XP_034664933.1|DSUB	LOC108154010|XP_033246058.1|DMIR
OG0000001	LOC117902179|XP_034669231.1|DSUB	LOC117190783|XP_033251735.1|DMIR
OG0000002	LOC117891991|XP_034653760.1|DSUB	LOC108159521|XP_017148375.1|DMIR
OG0000002	LOC117891990|XP_034653758.1|DSUB	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR
OG0000002	LOC117900165|XP_034666298.1|DSUB, LOC117899951|XP_034665996.1|DSUB	LOC108163440|XP_017154213.2|DMIR, LOC117188921|XP_033249395.1|DMIR
OG0000002	LOC117900215|XP_034666390.1|DSUB	LOC108161412|XP_017151153.2|DMIR
OG0000003	LOC117890983|XP_034652023.1|DSUB	LOC108160528|XP_017150077.1|DMIR
OG0000003	LOC117890985|XP_034652025.1|DSUB	LOC108160529|XP_017150078.1|DMIR
OG0000003	LOC117890142|XP_034650721.1|DSUB	LOC108160375|XP_017149841.1|DMIR
OG0000003	LOC117890987|XP_034652029.1|DSUB	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR
OG0000003	LOC117890986|XP_034652027.1|DSUB	LOC108160818|XP_017150534.1|DMIR
OG0000003	LOC117890988|XP_034652030.1|DSUB	LOC108160275|XP_017149646.1|DMIR
OG0000003	LOC117890991|XP_034652033.1|DSUB	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR
OG0000003	LOC117890982|XP_034652022.1|DSUB	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR
OG0000003	LOC117900241|XP_034666421.1|DSUB	LOC108163634|XP_017154532.1|DMIR
OG0000004	LOC117899981|XP_034666041.1|DSUB	LOC117187175|XP_033245162.1|DMIR, LOC117186051|XP_033242021.1|DMIR
OG0000005	LOC117901442|XP_034668076.1|DSUB	LOC117187305|XP_033245567.1|DMIR, LOC117187302|XP_033245563.1|DMIR, LOC117187307|XP_033245569.1|DMIR, LOC117187303|XP_033245564.1|DMIR, LOC117187308|XP_033245570.1|DMIR, LOC117187304|XP_033245566.1|DMIR, LOC117187306|XP_033245568.1|DMIR, LOC117188269|XP_033247714.1|DMIR, LOC117186052|XP_033242023.1|DMIR, LOC108164485|XP_017155735.2|DMIR, LOC117187309|XP_033245571.1|DMIR, LOC108156706|XP_017143843.1|DMIR
OG0000006	LOC117901441|XP_034668075.1|DSUB	LOC117187299|XP_033245560.1|DMIR, LOC117187301|XP_033245562.1|DMIR
OG0000007	LOC117894702|XP_034657776.1|DSUB	LOC108153040|XP_017138288.1|DMIR
OG0000007	LOC117894589|XP_034657628.1|DSUB	LOC108152481|XP_017137344.1|DMIR
OG0000007	LOC117900834|XP_034667236.1|DSUB	LOC108163948|XP_017154978.1|DMIR
OG0000007	LOC117890133|XP_034650711.1|DSUB	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR
OG0000007	LOC117897873|XP_034662839.1|DSUB, LOC117897862|XP_034662826.1|DSUB	LOC117187389|XP_033245847.1|DMIR, LOC117187383|XP_033245816.1|DMIR, LOC108157498|XP_033245840.1|DMIR, LOC108157499|XP_017145088.2|DMIR
OG0000007	LOC117900835|XP_034667237.1|DSUB	LOC108164248|XP_017155372.1|DMIR
OG0000007	LOC117894709|XP_034657781.1|DSUB	LOC108165521|XP_017157067.1|DMIR
OG0000007	LOC117901609|XP_034668319.1|DSUB	LOC108164169|XP_017155268.2|DMIR
OG0000007	LOC117894591|XP_034657631.1|DSUB	LOC108152483|XP_017137346.1|DMIR
OG0000007	LOC117894593|XP_034657634.1|DSUB	LOC108152484|XP_017137347.1|DMIR
OG0000008	LOC117896362|XP_034660529.1|DSUB	LOC108154982|XP_017141010.1|DMIR
OG0000008	LOC117895169|XP_034658523.1|DSUB	LOC108151537|XP_017135681.1|DMIR
OG0000008	LOC117895168|XP_034658522.1|DSUB	LOC108151536|XP_017135679.1|DMIR
OG0000008	LOC117902083|XP_034669067.1|DSUB	LOC108161577|XP_017151355.1|DMIR
OG0000008	LOC117895171|XP_034658525.1|DSUB	LOC108151539|XP_017135683.2|DMIR
OG0000008	LOC117898632|XP_034664084.1|DSUB	LOC108154402|XP_017140161.1|DMIR
OG0000008	LOC117898640|XP_034664094.1|DSUB	LOC108153895|XP_033244232.1|DMIR
OG0000008	LOC117898635|XP_034664088.1|DSUB	LOC108154495|XP_017140285.1|DMIR
OG0000008	LOC117898631|XP_034664083.1|DSUB	LOC108154515|XP_017140305.2|DMIR
OG0000008	LOC117898634|XP_034664087.1|DSUB	LOC108153896|XP_017139483.1|DMIR
OG0000008	LOC117898636|XP_034664090.1|DSUB	LOC108154491|XP_017140280.1|DMIR
OG0000009	LOC117896628|XP_034660961.1|DSUB	LOC108157813|XP_017145500.1|DMIR
OG0000009	LOC117898287|XP_034663434.1|DSUB	LOC108154360|XP_017140115.1|DMIR
OG0000009	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR
OG0000009	LOC117898279|XP_034663425.1|DSUB	LOC108157842|XP_017145534.1|DMIR
OG0000009	LOC117898336|XP_034663551.1|DSUB	LOC108157418|XP_017144958.2|DMIR
OG0000009	LOC117898367|XP_034663595.1|DSUB	LOC108157419|XP_017144960.2|DMIR
OG0000009	LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB	LOC108154524|XP_017140312.1|DMIR
OG0000009	LOC117890282|XP_034650935.1|DSUB	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR
OG0000009	LOC117896426|XP_034660636.1|DSUB	LOC108154377|XP_017140130.1|DMIR
OG0000009	LOC117892376|XP_034654476.1|DSUB	LOC108160943|XP_017150721.1|DMIR
OG0000009	LOC117892374|XP_034654475.1|DSUB	LOC108158336|XP_017146065.1|DMIR
