Orthogroup	DSUB.longest_only	HILL.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB, LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB, LOC117898485|XP_034663813.1|DSUB, LOC117890871|XP_034651851.1|DSUB, LOC117889909|XP_034650326.1|DSUB, LOC117893407|XP_034655897.1|DSUB, LOC117893701|XP_034656280.1|DSUB, LOC117893403|XP_034655894.1|DSUB, LOC117892287|XP_034654298.1|DSUB, LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB, LOC117892705|XP_034655010.1|DSUB, LOC117897477|XP_034662229.1|DSUB, LOC117899325|XP_034665150.1|DSUB, LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB, LOC117890046|XP_034650557.1|DSUB, LOC117892618|XP_034654860.1|DSUB, LOC117892700|XP_034655002.1|DSUB, LOC117899298|XP_034665106.1|DSUB, LOC117898533|XP_034663894.1|DSUB, LOC117892569|XP_034654782.1|DSUB, LOC117899299|XP_034665108.1|DSUB, LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB, LOC117896020|XP_034659918.1|DSUB, LOC117901385|XP_034668002.1|DSUB, LOC117892680|XP_034654976.1|DSUB, LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB, LOC117897324|XP_034661985.1|DSUB, LOC117898800|XP_034664334.1|DSUB, LOC117898812|XP_034664357.1|DSUB, LOC117896263|XP_034660345.1|DSUB, LOC117897179|XP_034661768.1|DSUB, LOC117898832|XP_034664390.1|DSUB, LOC117898840|XP_034664406.1|DSUB, LOC117889741|XP_034650055.1|DSUB, LOC117889744|XP_034650074.1|DSUB, LOC117889734|XP_034650048.1|DSUB, LOC117889737|XP_034650052.1|DSUB, LOC117890530|XP_034651341.1|DSUB, LOC117890531|XP_034651342.1|DSUB, LOC117892566|XP_034654779.1|DSUB, LOC117898833|XP_034664391.1|DSUB, LOC117898839|XP_034664405.1|DSUB, LOC117898838|XP_034664404.1|DSUB, LOC117899182|XP_034664933.1|DSUB, LOC117898297|XP_034663459.1|DSUB	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL
OG0000001	LOC117902179|XP_034669231.1|DSUB	LOC119654039|XP_037915129.1|HILL, LOC119660013|XP_037924320.1|HILL, LOC119653947|XP_037915036.1|HILL, LOC119654018|XP_037915108.1|HILL, LOC119658214|XP_037921408.1|HILL, LOC119647230|XP_037904000.1|HILL, LOC119652059|XP_037911925.1|HILL
OG0000003	LOC117890988|XP_034652030.1|DSUB	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL
OG0000003	LOC117900241|XP_034666421.1|DSUB	LOC119658042|XP_037921211.1|HILL, LOC119661480|XP_037926772.1|HILL, LOC119647016|XP_037903683.1|HILL, LOC119646679|XP_037903148.1|HILL, LOC119648664|XP_037906375.1|HILL, LOC119647324|XP_037904183.1|HILL, LOC119646798|XP_037903319.1|HILL, LOC119646783|XP_037903295.1|HILL, LOC119646792|XP_037903309.1|HILL, LOC119659506|XP_037923565.1|HILL
OG0000005	LOC117901442|XP_034668076.1|DSUB	LOC119651767|XP_037911435.1|HILL
OG0000006	LOC117901441|XP_034668075.1|DSUB	LOC119655070|XP_037916694.1|HILL, LOC119657871|XP_037920927.1|HILL, LOC119656837|XP_037919414.1|HILL, LOC119657991|XP_037921137.1|HILL, LOC119657007|XP_037919677.1|HILL, LOC119656838|XP_037919415.1|HILL, LOC119656769|XP_037919278.1|HILL, LOC119657047|XP_037919729.1|HILL, LOC119656780|XP_037919291.1|HILL, LOC119658074|XP_037921262.1|HILL, LOC119656839|XP_037919416.1|HILL, LOC119656767|XP_037919276.1|HILL, LOC119656768|XP_037919277.1|HILL, LOC119657238|XP_037919981.1|HILL
OG0000007	LOC117894702|XP_034657776.1|DSUB, LOC117894589|XP_034657628.1|DSUB, LOC117900834|XP_034667236.1|DSUB, LOC117890133|XP_034650711.1|DSUB, LOC117897873|XP_034662839.1|DSUB, LOC117897862|XP_034662826.1|DSUB, LOC117897982|XP_034662985.1|DSUB, LOC117900835|XP_034667237.1|DSUB, LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB, LOC117894591|XP_034657631.1|DSUB, LOC117894593|XP_034657634.1|DSUB	LOC119653460|XP_037913999.1|HILL
OG0000008	LOC117896362|XP_034660529.1|DSUB	LOC119660223|XP_037924589.1|HILL
OG0000008	LOC117895168|XP_034658522.1|DSUB	LOC119649590|XP_037907727.1|HILL
OG0000008	LOC117902083|XP_034669067.1|DSUB	LOC119652756|XP_037912988.1|HILL
OG0000008	LOC117895171|XP_034658525.1|DSUB	LOC119649591|XP_037907728.1|HILL
OG0000008	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB, LOC117898640|XP_034664094.1|DSUB, LOC117898635|XP_034664088.1|DSUB	LOC119651582|XP_037911149.1|HILL, LOC119652755|XP_037912986.1|HILL, LOC119652753|XP_037912981.1|HILL, LOC119652754|XP_037912983.1|HILL, LOC119652763|XP_037912999.1|HILL, LOC119652764|XP_037913000.1|HILL, LOC119652762|XP_037912998.1|HILL, LOC119652766|XP_037913002.1|HILL, LOC119652758|XP_037912993.1|HILL, LOC119652757|XP_037912991.1|HILL, LOC119652761|XP_037912997.1|HILL, LOC119652760|XP_037912996.1|HILL, LOC119652759|XP_037912994.1|HILL, LOC119652765|XP_037913001.1|HILL
OG0000008	LOC117898631|XP_034664083.1|DSUB, LOC117898634|XP_034664087.1|DSUB, LOC117898636|XP_034664090.1|DSUB	LOC119652768|XP_037913003.1|HILL, LOC119652769|XP_037913004.1|HILL
