Orthogroup	DSUB.longest_only	DBIA.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA
OG0000000	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB	LOC108031338|XP_016960091.1|DBIA
OG0000000	LOC117889909|XP_034650326.1|DSUB	LOC108029341|XP_016957023.1|DBIA
OG0000000	LOC117893407|XP_034655897.1|DSUB	LOC108034429|XP_016964803.1|DBIA
OG0000000	LOC117893701|XP_034656280.1|DSUB	LOC108034424|XP_016964798.1|DBIA
OG0000000	LOC117893403|XP_034655894.1|DSUB	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	LOC108025270|XP_016951121.1|DBIA, LOC108024280|XP_016949667.1|DBIA
OG0000000	LOC117899325|XP_034665150.1|DSUB	LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA
OG0000000	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB	LOC108024999|XP_016950744.1|DBIA
OG0000000	LOC117892569|XP_034654782.1|DSUB	LOC108031001|XP_016959690.1|DBIA
OG0000000	LOC117899299|XP_034665108.1|DSUB	LOC108030080|XP_016958186.1|DBIA
OG0000000	LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB	LOC108032345|XP_016961644.1|DBIA
OG0000000	LOC117901385|XP_034668002.1|DSUB	LOC108033274|XP_016963030.1|DBIA
OG0000000	LOC117892680|XP_034654976.1|DSUB	LOC108033239|XP_016962994.1|DBIA
