Orthogroup	DSUB.longest_only	DNOV.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC117890871|XP_034651851.1|DSUB, LOC117889909|XP_034650326.1|DSUB	LOC115760506|XP_030557727.1|DNOV
OG0000000	LOC117893403|XP_034655894.1|DSUB	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB, LOC117897324|XP_034661985.1|DSUB	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000001	LOC117902179|XP_034669231.1|DSUB	LOC115768652|XP_030569188.1|DNOV
OG0000002	LOC117891991|XP_034653760.1|DSUB	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC117891990|XP_034653758.1|DSUB	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC117900215|XP_034666390.1|DSUB	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV
OG0000002	LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB	LOC115759342|XP_030556121.1|DNOV
OG0000003	LOC117890983|XP_034652023.1|DSUB	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC117890987|XP_034652029.1|DSUB	LOC115771231|XP_030572696.1|DNOV
OG0000003	LOC117890991|XP_034652033.1|DSUB	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC117890982|XP_034652022.1|DSUB	LOC115771912|XP_030573666.1|DNOV
OG0000003	LOC117900241|XP_034666421.1|DSUB	LOC115758743|XP_030555359.1|DNOV
OG0000005	LOC117901442|XP_034668076.1|DSUB	LOC115770606|XP_030571803.1|DNOV, LOC115770576|XP_030571759.1|DNOV, LOC115770616|XP_030571812.1|DNOV, LOC115761984|XP_030559891.1|DNOV, LOC115761916|XP_030559794.1|DNOV, LOC115759840|XP_030556794.1|DNOV, LOC115770898|XP_030572192.1|DNOV, LOC115761914|XP_030559792.1|DNOV, LOC115770721|XP_030571980.1|DNOV, LOC115761842|XP_030559683.1|DNOV, LOC115761919|XP_030559797.1|DNOV, LOC115761998|XP_030559925.1|DNOV, LOC115770595|XP_030571793.1|DNOV, LOC115770583|XP_030571768.1|DNOV, LOC115770617|XP_030571813.1|DNOV, LOC115761918|XP_030559796.1|DNOV, LOC115761997|XP_030559924.1|DNOV, LOC115770818|XP_030572100.1|DNOV, LOC115761952|XP_030559851.1|DNOV, LOC115770819|XP_030572101.1|DNOV, LOC115770899|XP_030572193.1|DNOV, LOC115761880|XP_030559741.1|DNOV, LOC115761847|XP_030559689.1|DNOV, LOC115770817|XP_030572099.1|DNOV, LOC115761855|XP_030559702.1|DNOV
OG0000006	LOC117901441|XP_034668075.1|DSUB	LOC115761996|XP_030559923.1|DNOV, LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV
OG0000007	LOC117894702|XP_034657776.1|DSUB	LOC115771063|XP_030572475.1|DNOV
OG0000007	LOC117890133|XP_034650711.1|DSUB	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV
OG0000007	LOC117900835|XP_034667237.1|DSUB	LOC115767684|XP_030567836.1|DNOV
OG0000007	LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV
OG0000008	LOC117896362|XP_034660529.1|DSUB	LOC115759663|XP_030556519.1|DNOV
OG0000008	LOC117895169|XP_034658523.1|DSUB	LOC115762862|XP_030561098.1|DNOV
OG0000008	LOC117895168|XP_034658522.1|DSUB	LOC115762903|XP_030561140.1|DNOV
OG0000008	LOC117902083|XP_034669067.1|DSUB	LOC115759949|XP_030556951.1|DNOV
OG0000008	LOC117895171|XP_034658525.1|DSUB	LOC115762865|XP_030561099.1|DNOV
OG0000008	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV
OG0000008	LOC117898640|XP_034664094.1|DSUB	LOC115765613|XP_030565123.1|DNOV
OG0000008	LOC117898631|XP_034664083.1|DSUB	LOC115765587|XP_030565097.1|DNOV
OG0000008	LOC117898634|XP_034664087.1|DSUB	LOC115765588|XP_030565098.1|DNOV
OG0000008	LOC117898636|XP_034664090.1|DSUB	LOC115765592|XP_030565101.1|DNOV
OG0000009	LOC117896628|XP_034660961.1|DSUB	LOC115763759|XP_030562333.1|DNOV
OG0000009	LOC117898287|XP_034663434.1|DSUB	LOC115763738|XP_030562299.1|DNOV
OG0000009	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV
OG0000009	LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB	LOC115765543|XP_030565028.1|DNOV
OG0000009	LOC117890282|XP_034650935.1|DSUB	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV
OG0000009	LOC117892376|XP_034654476.1|DSUB	LOC115760928|XP_030558363.1|DNOV
