Orthogroup	DSUB.longest_only	DSUP.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC119551980|XP_037717623.1|DSUP
OG0000000	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB	LOC119560985|XP_037730690.1|DSUP
OG0000000	LOC117889909|XP_034650326.1|DSUB	LOC119551998|XP_037717650.1|DSUP
OG0000000	LOC117893407|XP_034655897.1|DSUB	LOC119555358|XP_037722624.1|DSUP
OG0000000	LOC117893701|XP_034656280.1|DSUB	LOC119555354|XP_037722619.1|DSUP
OG0000000	LOC117893403|XP_034655894.1|DSUB	LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP, LOC119552809|XP_037718575.1|DSUP
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC119549854|XP_037714077.1|DSUP
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	LOC119563094|XP_037732252.1|DSUP
OG0000000	LOC117899325|XP_034665150.1|DSUB	LOC119562944|XP_037732029.1|DSUP
OG0000000	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB	LOC119554391|XP_037721205.1|DSUP, LOC119554400|XP_037721217.1|DSUP
OG0000000	LOC117892569|XP_034654782.1|DSUB	LOC119553046|XP_037719085.1|DSUP
OG0000000	LOC117899299|XP_034665108.1|DSUB	LOC119549570|XP_037713651.1|DSUP
OG0000000	LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB	LOC119547184|XP_037709847.1|DSUP
OG0000000	LOC117901385|XP_034668002.1|DSUB	LOC119546339|XP_037708468.1|DSUP
OG0000000	LOC117892680|XP_034654976.1|DSUB	LOC119548570|XP_037711816.1|DSUP
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP
OG0000000	LOC117897324|XP_034661985.1|DSUB	LOC119563146|XP_037732330.1|DSUP
OG0000002	LOC117891991|XP_034653760.1|DSUB	LOC119551092|XP_037716195.1|DSUP
OG0000002	LOC117891990|XP_034653758.1|DSUB	LOC119551091|XP_037716194.1|DSUP
OG0000002	LOC117891710|XP_034653195.1|DSUB	LOC119550446|XP_037715049.1|DSUP
OG0000002	LOC117900215|XP_034666390.1|DSUB	LOC119546867|XP_037709399.1|DSUP
OG0000003	LOC117890983|XP_034652023.1|DSUB	LOC119549193|XP_037712950.1|DSUP, LOC119549691|XP_037713842.1|DSUP
OG0000003	LOC117890985|XP_034652025.1|DSUB	LOC119553060|XP_037719113.1|DSUP, LOC119549692|XP_037713843.1|DSUP
