Orthogroup	DSUB.longest_only	DYAK.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC120321802|XP_039231662.1|DYAK
OG0000000	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB	LOC6536475|XP_002097056.2|DYAK
OG0000000	LOC117889909|XP_034650326.1|DSUB	LOC6530087|XP_002091033.1|DYAK
OG0000000	LOC117893407|XP_034655897.1|DSUB	LOC6535099|XP_039229818.1|DYAK
OG0000000	LOC117893701|XP_034656280.1|DSUB	LOC6535097|XP_039229817.1|DYAK
OG0000000	LOC117893403|XP_034655894.1|DSUB	LOC6535098|XP_002095761.2|DYAK
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC6532122|XP_002092898.3|DYAK
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	LOC6536389|XP_002096971.3|DYAK, LOC26534826|XP_015049134.2|DYAK, LOC6538960|XP_002099463.2|DYAK
OG0000000	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK
OG0000000	LOC117899299|XP_034665108.1|DSUB	LOC6531513|XP_002092312.3|DYAK
OG0000000	LOC117896020|XP_034659918.1|DSUB	LOC6537714|XP_002098259.2|DYAK
OG0000000	LOC117901385|XP_034668002.1|DSUB	LOC6529465|XP_002090467.1|DYAK
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK
OG0000000	LOC117897324|XP_034661985.1|DSUB	LOC6538114|XP_002098649.1|DYAK
OG0000001	LOC117902179|XP_034669231.1|DSUB	LOC120320711|XP_039227061.1|DYAK, LOC120320699|XP_039227017.1|DYAK
OG0000002	LOC117891991|XP_034653760.1|DSUB	LOC6530517|XP_002091432.3|DYAK
OG0000002	LOC117891990|XP_034653758.1|DSUB	LOC6530518|XP_002091433.1|DYAK
OG0000002	LOC117899951|XP_034665996.1|DSUB	LOC6528284|XP_002089337.3|DYAK
OG0000002	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB	LOC6527104|XP_002088197.3|DYAK
OG0000003	LOC117890983|XP_034652023.1|DSUB	LOC6530460|XP_002091376.2|DYAK, LOC6530462|XP_002091378.1|DYAK
OG0000003	LOC117890985|XP_034652025.1|DSUB	LOC6538264|XP_002098791.1|DYAK, LOC6530463|XP_002091379.1|DYAK
OG0000003	LOC117890142|XP_034650721.1|DSUB	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK
OG0000003	LOC117890987|XP_034652029.1|DSUB	LOC6530458|XP_002091374.1|DYAK, LOC6530457|XP_002091373.1|DYAK
OG0000003	LOC117890986|XP_034652027.1|DSUB	LOC6530459|XP_002091375.1|DYAK, LOC6530461|XP_002091377.1|DYAK
OG0000003	LOC117890988|XP_034652030.1|DSUB	LOC6530456|XP_002091372.1|DYAK
OG0000003	LOC117890991|XP_034652033.1|DSUB	LOC6528608|XP_002089651.1|DYAK
OG0000003	LOC117890982|XP_034652022.1|DSUB	LOC6528606|XP_002089649.1|DYAK, LOC120320435|XP_002089650.1|DYAK
OG0000003	LOC117900241|XP_034666421.1|DSUB	LOC6528128|XP_002089195.3|DYAK
OG0000005	LOC117901442|XP_034668076.1|DSUB	LOC120322209|XP_039233200.1|DYAK, LOC120322210|XP_039233201.1|DYAK, LOC120322206|XP_039233197.1|DYAK, LOC120321200|XP_039229119.1|DYAK, LOC120321199|XP_039229118.1|DYAK, LOC6529211|XP_002090218.1|DYAK, LOC120322207|XP_039233198.1|DYAK, LOC120322199|XP_039233190.1|DYAK, LOC120322204|XP_039233195.1|DYAK, LOC120322203|XP_039233194.1|DYAK, LOC120321241|XP_039229337.1|DYAK, LOC120321242|XP_039229338.1|DYAK, LOC120322205|XP_039233196.1|DYAK, LOC120321244|XP_039229340.1|DYAK, LOC120322201|XP_039233192.1|DYAK, LOC6539222|XP_002086121.1|DYAK, LOC6540449|XP_002087252.2|DYAK, LOC120322208|XP_039233199.1|DYAK, LOC120322200|XP_039233191.1|DYAK, LOC120321243|XP_039229339.1|DYAK, LOC120322202|XP_039233193.1|DYAK, LOC120322226|XP_039233214.1|DYAK
OG0000006	LOC117901441|XP_034668075.1|DSUB	LOC6540563|XP_002087349.3|DYAK, LOC120322197|XP_039233188.1|DYAK, LOC120322195|XP_039233186.1|DYAK
OG0000006	LOC117902681|XP_034670104.1|DSUB	LOC120321238|XP_039229334.1|DYAK
OG0000007	LOC117894702|XP_034657776.1|DSUB	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK
OG0000007	LOC117894589|XP_034657628.1|DSUB	LOC6533143|XP_002093869.1|DYAK
OG0000007	LOC117900834|XP_034667236.1|DSUB	LOC6527619|XP_002088707.1|DYAK
OG0000007	LOC117890133|XP_034650711.1|DSUB	LOC6528628|XP_002089670.1|DYAK
OG0000007	LOC117897982|XP_034662985.1|DSUB	LOC6538895|XP_002099399.1|DYAK, LOC6538894|XP_002099398.2|DYAK, LOC26535513|XP_015044938.2|DYAK, LOC26535290|XP_015044714.2|DYAK
OG0000007	LOC117900835|XP_034667237.1|DSUB	LOC6527618|XP_002088706.1|DYAK
OG0000007	LOC117894709|XP_034657781.1|DSUB	LOC6532724|XP_002093466.1|DYAK
OG0000007	LOC117901609|XP_034668319.1|DSUB	LOC6527620|XP_002088708.1|DYAK
OG0000007	LOC117894591|XP_034657631.1|DSUB	LOC6533144|XP_002093870.1|DYAK
OG0000007	LOC117894593|XP_034657634.1|DSUB	LOC6533145|XP_002093871.1|DYAK
OG0000008	LOC117896362|XP_034660529.1|DSUB	LOC26536044|XP_039231154.1|DYAK
OG0000008	LOC117895169|XP_034658523.1|DSUB	LOC6532927|XP_002093663.1|DYAK
OG0000008	LOC117895168|XP_034658522.1|DSUB	LOC6532930|XP_002093666.1|DYAK
OG0000008	LOC117902083|XP_034669067.1|DSUB	LOC6527319|XP_002088412.1|DYAK
OG0000008	LOC117895171|XP_034658525.1|DSUB	LOC6532928|XP_002093664.1|DYAK
OG0000008	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB	LOC6536139|XP_015047584.1|DYAK, LOC6536138|XP_039231652.1|DYAK
OG0000008	LOC117898640|XP_034664094.1|DSUB	LOC6536143|XP_002096744.1|DYAK
OG0000008	LOC117898631|XP_034664083.1|DSUB	LOC6536140|XP_002096741.1|DYAK
OG0000008	LOC117898634|XP_034664087.1|DSUB	LOC6536142|XP_002096743.1|DYAK
OG0000008	LOC117898636|XP_034664090.1|DSUB	LOC6536144|XP_002096745.1|DYAK
OG0000009	LOC117896628|XP_034660961.1|DSUB	LOC6535723|XP_002096349.3|DYAK
OG0000009	LOC117898287|XP_034663434.1|DSUB	LOC6535721|XP_002096347.1|DYAK
OG0000009	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB	LOC6535720|XP_002096346.1|DYAK, LOC6535722|XP_002096348.1|DYAK
OG0000009	LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB	LOC6533117|XP_002093843.1|DYAK, LOC6533118|XP_002093844.1|DYAK
OG0000009	LOC117890282|XP_034650935.1|DSUB	LOC6532044|XP_002092821.1|DYAK
OG0000009	LOC117896426|XP_034660636.1|DSUB	LOC6536768|XP_002097339.1|DYAK
OG0000009	LOC117892376|XP_034654476.1|DSUB	LOC6530109|XP_002091055.1|DYAK
OG0000009	LOC117892374|XP_034654475.1|DSUB	LOC6530111|XP_002091057.1|DYAK
OG0000010	LOC117899454|XP_034665355.1|DSUB	LOC120322222|XP_039233212.1|DYAK
OG0000011	LOC117901349|XP_034667951.1|DSUB, LOC117900952|XP_034667416.1|DSUB, LOC117902493|XP_034669808.1|DSUB, LOC117902497|XP_034669813.1|DSUB, LOC117900244|XP_034666423.1|DSUB, LOC117902732|XP_034670197.1|DSUB, LOC117901918|XP_034668778.1|DSUB, LOC117902500|XP_034669817.1|DSUB, LOC117902495|XP_034669810.1|DSUB, LOC117902496|XP_034669811.1|DSUB, LOC117901786|XP_034668586.1|DSUB, LOC117900246|XP_034666433.1|DSUB	LOC26534881|XP_015054560.1|DYAK, LOC6525318|XP_002101154.2|DYAK, LOC120320450|XP_039227155.1|DYAK, LOC6526687|XP_002087792.2|DYAK, LOC6526836|XP_039227102.1|DYAK, LOC6526837|XP_002087937.1|DYAK, LOC26535503|XP_015045173.2|DYAK, LOC6529533|XP_039228709.1|DYAK, LOC6529527|XP_039228713.1|DYAK, LOC120320662|XP_039226899.1|DYAK
OG0000011	LOC117893712|XP_034656290.1|DSUB	LOC6534062|XP_002094748.1|DYAK
OG0000011	LOC117894953|XP_034658172.1|DSUB	LOC6534063|XP_002094749.1|DYAK
OG0000011	LOC117897187|XP_034661778.1|DSUB	LOC6536394|XP_002096976.1|DYAK
OG0000012	LOC117892204|XP_034654190.1|DSUB	LOC6530957|XP_002091795.1|DYAK
OG0000012	LOC117892205|XP_034654193.1|DSUB	LOC6530958|XP_002091796.1|DYAK
OG0000012	LOC117892198|XP_034654182.1|DSUB	LOC6530959|XP_015051811.1|DYAK
OG0000012	LOC117892199|XP_034654185.1|DSUB	LOC6530956|XP_002091794.1|DYAK
OG0000012	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB	LOC6530954|XP_002091792.1|DYAK
OG0000012	LOC117892200|XP_034654187.1|DSUB	LOC6530955|XP_002091793.1|DYAK
OG0000012	LOC117891062|XP_034652125.1|DSUB	LOC6530135|XP_002091081.1|DYAK
OG0000012	LOC117891063|XP_034652127.1|DSUB	LOC6530133|XP_002091079.2|DYAK
OG0000012	LOC117891061|XP_034652124.1|DSUB	LOC6530132|XP_002091078.1|DYAK, LOC6530131|XP_002091077.2|DYAK
OG0000012	LOC117891058|XP_034652122.1|DSUB	LOC6530130|XP_002091076.1|DYAK
OG0000012	LOC117891064|XP_034652128.1|DSUB	LOC6530129|XP_002091075.1|DYAK
OG0000013	LOC117890717|XP_034651649.1|DSUB	LOC6530359|XP_002091285.1|DYAK
OG0000013	LOC117896187|XP_034660170.1|DSUB	LOC6525539|XP_002101374.1|DYAK
OG0000013	LOC117896516|XP_034660775.1|DSUB	LOC6537221|XP_002097779.1|DYAK
OG0000013	LOC117895334|XP_034658799.1|DSUB	LOC6534055|XP_002094741.1|DYAK
OG0000013	LOC117898536|XP_034663901.1|DSUB	LOC6536907|XP_002097476.1|DYAK
OG0000013	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB	LOC6538786|XP_002099299.1|DYAK
