Orthogroup	DSUB.longest_only	DSER.longest_only
OG0000000	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB	LOC110188492|XP_020813881.1|DSER
OG0000000	LOC117889909|XP_034650326.1|DSUB	LOC110181445|XP_020804849.1|DSER
OG0000000	LOC117893407|XP_034655897.1|DSUB	LOC110190735|XP_020817016.1|DSER
OG0000000	LOC117893701|XP_034656280.1|DSUB	LOC110190738|XP_020817019.1|DSER
OG0000000	LOC117893403|XP_034655894.1|DSUB	LOC110190736|XP_020817017.1|DSER
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC110184046|XP_020808080.1|DSER
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	LOC110186264|XP_020811030.1|DSER, LOC110186911|XP_020811890.1|DSER, LOC110186265|XP_020811031.1|DSER
OG0000000	LOC117892705|XP_034655010.1|DSUB	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER
OG0000000	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER
OG0000000	LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB	LOC110185901|XP_020810577.1|DSER, LOC110180637|XP_020803993.1|DSER
OG0000000	LOC117896020|XP_034659918.1|DSUB	LOC110187976|XP_020813156.1|DSER
OG0000000	LOC117901385|XP_034668002.1|DSUB	LOC110184825|XP_020809128.1|DSER
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	LOC117897324|XP_034661985.1|DSUB	LOC110177452|XP_020799845.1|DSER
OG0000000	LOC117898839|XP_034664405.1|DSUB	LOC110177976|XP_020800628.1|DSER
OG0000002	LOC117891991|XP_034653760.1|DSUB	LOC110177829|XP_020800431.1|DSER
OG0000002	LOC117891990|XP_034653758.1|DSUB	LOC110177830|XP_020800433.1|DSER
