Orthogroup	DSUB.longest_only	DSAN.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC120454272|XP_039495370.1|DSAN
OG0000000	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB	LOC120454013|XP_039494937.1|DSAN
OG0000000	LOC117889909|XP_034650326.1|DSUB	LOC120444836|XP_039480727.1|DSAN
OG0000000	LOC117893407|XP_034655897.1|DSUB	LOC120447883|XP_039485428.1|DSAN
OG0000000	LOC117893701|XP_034656280.1|DSUB	LOC120447886|XP_039485431.1|DSAN
OG0000000	LOC117893403|XP_034655894.1|DSUB	LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC120444952|XP_039480891.1|DSAN
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	LOC120453403|XP_039494026.1|DSAN, LOC120453829|XP_039494657.1|DSAN
OG0000000	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB	LOC120453329|XP_039493924.1|DSAN
OG0000000	LOC117899299|XP_034665108.1|DSUB	LOC120444898|XP_039480821.1|DSAN
OG0000000	LOC117896020|XP_034659918.1|DSUB	LOC120453013|XP_039493463.1|DSAN
OG0000000	LOC117901385|XP_034668002.1|DSUB	LOC120444807|XP_039480688.1|DSAN
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN
OG0000000	LOC117897324|XP_034661985.1|DSUB	LOC120454169|XP_039495171.1|DSAN
OG0000002	LOC117891991|XP_034653760.1|DSUB	LOC120444309|XP_039479784.1|DSAN
OG0000002	LOC117891990|XP_034653758.1|DSUB	LOC120444310|XP_039479789.1|DSAN
OG0000002	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB	LOC120443706|XP_039478879.1|DSAN
