Orthogroup	DSUB.longest_only	DSUZ.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC108019552|XP_036669814.1|DSUZ
OG0000000	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB	LOC108013925|XP_016935418.2|DSUZ
OG0000000	LOC117898485|XP_034663813.1|DSUB	LOC108011771|XP_036670496.1|DSUZ, LOC118877506|XP_036672430.1|DSUZ
OG0000000	LOC117889909|XP_034650326.1|DSUB	LOC108019563|XP_016942889.1|DSUZ
OG0000000	LOC117893407|XP_034655897.1|DSUB	LOC118877230|XP_036670644.1|DSUZ
OG0000000	LOC117893701|XP_034656280.1|DSUB	LOC108007474|XP_036670349.1|DSUZ
OG0000000	LOC117893403|XP_034655894.1|DSUB	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC108008220|XP_016927499.2|DSUZ
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	LOC108021133|XP_036668720.1|DSUZ, LOC108014040|XP_016935546.2|DSUZ
OG0000000	LOC117892705|XP_034655010.1|DSUB	LOC118878117|XP_036675454.1|DSUZ
OG0000000	LOC117899325|XP_034665150.1|DSUB	LOC118878125|XP_036675508.1|DSUZ
OG0000000	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB	LOC108012145|XP_036675462.1|DSUZ
OG0000000	LOC117892569|XP_034654782.1|DSUB	LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ
OG0000000	LOC117899299|XP_034665108.1|DSUB	LOC108017700|XP_016940298.1|DSUZ
OG0000000	LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB	LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ
OG0000000	LOC117901385|XP_034668002.1|DSUB	LOC108013429|XP_016934786.2|DSUZ
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ
OG0000000	LOC117897324|XP_034661985.1|DSUB	LOC108020157|XP_036673587.1|DSUZ
OG0000001	LOC117902179|XP_034669231.1|DSUB	LOC118879529|XP_036678279.1|DSUZ, LOC118879060|XP_036677938.1|DSUZ, LOC118878459|XP_036677349.1|DSUZ
OG0000002	LOC117891991|XP_034653760.1|DSUB	LOC108009088|XP_016928634.1|DSUZ
OG0000002	LOC117891990|XP_034653758.1|DSUB	LOC108009087|XP_016928633.1|DSUZ
OG0000002	LOC117891710|XP_034653195.1|DSUB	LOC108009933|XP_016930164.1|DSUZ
OG0000002	LOC117899951|XP_034665996.1|DSUB	LOC108011106|XP_016931667.2|DSUZ
OG0000002	LOC117900215|XP_034666390.1|DSUB	LOC108009013|XP_016928477.1|DSUZ
OG0000003	LOC117890983|XP_034652023.1|DSUB	LOC108008945|XP_016928345.1|DSUZ, LOC108008944|XP_016928343.1|DSUZ
OG0000003	LOC117890985|XP_034652025.1|DSUB	LOC118877697|XP_036673424.1|DSUZ, LOC108008943|XP_016928342.1|DSUZ
OG0000003	LOC117890142|XP_034650721.1|DSUB	LOC108018006|XP_016940848.1|DSUZ
OG0000003	LOC117890987|XP_034652029.1|DSUB	LOC108008949|XP_016928349.1|DSUZ, LOC108008948|XP_016928348.1|DSUZ
OG0000003	LOC117890986|XP_034652027.1|DSUB	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ
OG0000003	LOC117890988|XP_034652030.1|DSUB	LOC108008950|XP_016928350.1|DSUZ
OG0000003	LOC117890991|XP_034652033.1|DSUB	LOC108019593|XP_016942923.1|DSUZ
OG0000003	LOC117890982|XP_034652022.1|DSUB	LOC108019592|XP_016942921.1|DSUZ, LOC108019594|XP_016942924.1|DSUZ
OG0000003	LOC117900241|XP_034666421.1|DSUB	LOC108007096|XP_016926191.1|DSUZ
OG0000005	LOC117901442|XP_034668076.1|DSUB	LOC118879271|XP_036678048.1|DSUZ, LOC118879262|XP_036678038.1|DSUZ, LOC118879260|XP_036678036.1|DSUZ, LOC118879641|XP_036678429.1|DSUZ, LOC118877314|XP_036671399.1|DSUZ, LOC118879261|XP_036678037.1|DSUZ, LOC118879270|XP_036678047.1|DSUZ, LOC118879258|XP_036678034.1|DSUZ, LOC108016328|XP_036678434.1|DSUZ, LOC118879259|XP_036678035.1|DSUZ, LOC118879512|XP_036678269.1|DSUZ, LOC118877313|XP_036671386.1|DSUZ, LOC118879647|XP_036678435.1|DSUZ, LOC118879752|XP_036678579.1|DSUZ, LOC108016497|XP_016938653.1|DSUZ
OG0000005	LOC117900068|XP_034666166.1|DSUB	LOC108016330|XP_016938455.2|DSUZ
OG0000006	LOC117901441|XP_034668075.1|DSUB	LOC118879269|XP_036678046.1|DSUZ, LOC118879646|XP_036678433.1|DSUZ
OG0000007	LOC117894702|XP_034657776.1|DSUB	LOC108004804|XP_016923359.1|DSUZ
OG0000007	LOC117894589|XP_034657628.1|DSUB	LOC108013025|XP_016934104.1|DSUZ
