Orthogroup	DSUB.longest_only	DSIM.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC27208741|XP_016036703.2|DSIM
OG0000000	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB	LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM
OG0000000	LOC117889909|XP_034650326.1|DSUB	LOC6734183|XP_002081212.2|DSIM
OG0000000	LOC117893407|XP_034655897.1|DSUB	LOC6738254|XP_039150029.1|DSIM
OG0000000	LOC117893701|XP_034656280.1|DSUB	LOC6738257|XP_016032137.1|DSIM
OG0000000	LOC117893403|XP_034655894.1|DSUB	LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC6736137|XP_002083037.1|DSIM
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	LOC6728763|XP_002104098.1|DSIM, LOC6730296|XP_039151807.1|DSIM, LOC6730295|XP_016037057.1|DSIM
OG0000000	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB	LOC6730293|XP_039151545.1|DSIM
OG0000000	LOC117899299|XP_034665108.1|DSUB	LOC6734670|XP_039148016.1|DSIM
OG0000000	LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB	LOC6732333|XP_039152942.1|DSIM
OG0000000	LOC117896020|XP_034659918.1|DSUB	LOC6729069|XP_016035716.1|DSIM
OG0000000	LOC117901385|XP_034668002.1|DSUB	LOC6732608|XP_002079727.1|DSIM
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB	LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM
OG0000000	LOC117897324|XP_034661985.1|DSUB	LOC6729989|XP_002105283.1|DSIM
OG0000002	LOC117891991|XP_034653760.1|DSUB	LOC6735666|XP_002082584.2|DSIM
OG0000002	LOC117891990|XP_034653758.1|DSUB	LOC6735665|XP_002082583.2|DSIM
OG0000002	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB	LOC6731201|XP_002078360.1|DSIM
OG0000003	LOC117890983|XP_034652023.1|DSUB	LOC6734558|XP_002081567.1|DSIM, LOC6734560|XP_016027665.1|DSIM
OG0000003	LOC117890985|XP_034652025.1|DSUB	LOC6729847|XP_016036585.1|DSIM, LOC6734561|XP_002081570.1|DSIM
OG0000003	LOC117890142|XP_034650721.1|DSUB	LOC6733269|XP_002080332.1|DSIM
OG0000003	LOC117890987|XP_034652029.1|DSUB	LOC6734555|XP_002081564.3|DSIM
OG0000003	LOC117890986|XP_034652027.1|DSUB	LOC6734559|XP_002081568.1|DSIM
