Orthogroup	DSUB.longest_only	DANA.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA
OG0000000	LOC117890871|XP_034651851.1|DSUB, LOC117889909|XP_034650326.1|DSUB	LOC6494335|XP_001960511.2|DANA
OG0000000	LOC117893403|XP_034655894.1|DSUB	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	LOC26515012|XP_032305331.1|DANA
OG0000000	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB	LOC6503296|XP_001967564.2|DANA
OG0000000	LOC117890046|XP_034650557.1|DSUB, LOC117892618|XP_034654860.1|DSUB, LOC117892700|XP_034655002.1|DSUB, LOC117899298|XP_034665106.1|DSUB, LOC117898533|XP_034663894.1|DSUB	LOC26514039|XP_032307416.1|DANA
OG0000000	LOC117892569|XP_034654782.1|DSUB	LOC6502666|XP_032305659.1|DANA
OG0000000	LOC117899299|XP_034665108.1|DSUB	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA
OG0000000	LOC117896020|XP_034659918.1|DSUB	LOC6500855|XP_032305607.1|DANA
OG0000000	LOC117901385|XP_034668002.1|DSUB	LOC6497917|XP_001961708.2|DANA
OG0000000	LOC117892680|XP_034654976.1|DSUB	LOC26514098|XP_032306915.1|DANA
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB	LOC6494112|XP_001960945.2|DANA
OG0000000	LOC117897324|XP_034661985.1|DSUB	LOC6499064|XP_032305682.1|DANA
OG0000000	LOC117898800|XP_034664334.1|DSUB, LOC117898812|XP_034664357.1|DSUB	LOC6501674|XP_001955728.1|DANA, LOC116654961|XP_032307689.1|DANA, LOC26515107|XP_032307436.1|DANA, LOC116656571|XP_032312202.1|DANA
OG0000000	LOC117898840|XP_034664406.1|DSUB, LOC117889741|XP_034650055.1|DSUB, LOC117889744|XP_034650074.1|DSUB, LOC117889734|XP_034650048.1|DSUB, LOC117889737|XP_034650052.1|DSUB, LOC117890530|XP_034651341.1|DSUB, LOC117890531|XP_034651342.1|DSUB, LOC117892566|XP_034654779.1|DSUB, LOC117898833|XP_034664391.1|DSUB	LOC6497530|XP_001961898.2|DANA
OG0000000	LOC117898297|XP_034663459.1|DSUB	LOC116654556|XP_032305703.1|DANA, LOC26514196|XP_014767248.1|DANA
OG0000002	LOC117891991|XP_034653760.1|DSUB	LOC6496130|XP_001960293.1|DANA
OG0000002	LOC117891990|XP_034653758.1|DSUB	LOC6502577|XP_001960292.2|DANA
OG0000002	LOC117891710|XP_034653195.1|DSUB	LOC6495823|XP_001959659.3|DANA, LOC116654680|XP_032306049.1|DANA, LOC6495824|XP_001959660.3|DANA
OG0000002	LOC117900215|XP_034666390.1|DSUB	LOC116655418|XP_032309202.1|DANA
