Orthogroup	DSUB.longest_only	DMAU.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC117145695|XP_033167327.1|DMAU
OG0000000	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB	LOC117145817|XP_033167509.1|DMAU, LOC117145797|XP_033167474.1|DMAU
OG0000000	LOC117889909|XP_034650326.1|DSUB	LOC117138309|XP_033156204.1|DMAU
OG0000000	LOC117893407|XP_034655897.1|DSUB	LOC117139148|XP_033157197.1|DMAU
OG0000000	LOC117893701|XP_034656280.1|DSUB	LOC117139149|XP_033157198.1|DMAU
OG0000000	LOC117893403|XP_034655894.1|DSUB	LOC117140540|XP_033159421.1|DMAU
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC117138648|XP_033156758.1|DMAU
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	LOC117144786|XP_033166045.1|DMAU, LOC117142323|XP_033162125.1|DMAU, LOC117142325|XP_033162128.1|DMAU
OG0000000	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB	LOC117142327|XP_033162129.1|DMAU
OG0000000	LOC117899299|XP_034665108.1|DSUB	LOC117138341|XP_033156269.1|DMAU
OG0000000	LOC117896020|XP_034659918.1|DSUB	LOC117145856|XP_033167567.1|DMAU
OG0000000	LOC117901385|XP_034668002.1|DSUB	LOC117150929|XP_033173982.1|DMAU
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB	LOC117138016|XP_033155711.1|DMAU
OG0000000	LOC117897324|XP_034661985.1|DSUB	LOC117146038|XP_033167862.1|DMAU
OG0000001	LOC117902179|XP_034669231.1|DSUB	LOC117149766|XP_033172711.1|DMAU, LOC117136660|XP_033153552.1|DMAU
OG0000002	LOC117891991|XP_034653760.1|DSUB	LOC117135907|XP_033152364.1|DMAU
OG0000002	LOC117891990|XP_034653758.1|DSUB	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC117899951|XP_034665996.1|DSUB	LOC117149870|XP_033172720.1|DMAU
OG0000002	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB	LOC117136934|XP_033153971.1|DMAU
OG0000003	LOC117890983|XP_034652023.1|DSUB	LOC117136850|XP_033153839.1|DMAU, LOC117137895|XP_033155524.1|DMAU
OG0000003	LOC117890985|XP_034652025.1|DSUB	LOC117145313|XP_033166799.1|DMAU, LOC117137897|XP_033155527.1|DMAU
OG0000003	LOC117890142|XP_034650721.1|DSUB	LOC117136364|XP_033153130.1|DMAU
OG0000003	LOC117890987|XP_034652029.1|DSUB	LOC117136849|XP_033153838.1|DMAU
OG0000003	LOC117890986|XP_034652027.1|DSUB	LOC117137674|XP_033155124.1|DMAU
OG0000003	LOC117890988|XP_034652030.1|DSUB	LOC117136851|XP_033153841.1|DMAU
OG0000003	LOC117890991|XP_034652033.1|DSUB	LOC117137104|XP_033154281.1|DMAU
OG0000003	LOC117890982|XP_034652022.1|DSUB	LOC117137102|XP_033154279.1|DMAU, LOC117137103|XP_033154280.1|DMAU
OG0000003	LOC117900241|XP_034666421.1|DSUB	LOC117138777|XP_033156858.1|DMAU
OG0000007	LOC117894702|XP_034657776.1|DSUB	LOC117141087|XP_033160294.1|DMAU
OG0000007	LOC117894589|XP_034657628.1|DSUB	LOC117142070|XP_033161841.1|DMAU
OG0000007	LOC117900834|XP_034667236.1|DSUB	LOC117150742|XP_033173667.1|DMAU
OG0000007	LOC117890133|XP_034650711.1|DSUB	LOC117136894|XP_033153899.1|DMAU
OG0000007	LOC117897982|XP_034662985.1|DSUB	LOC117143375|XP_033163942.1|DMAU, LOC117144956|XP_033166302.1|DMAU, LOC117143365|XP_033163930.1|DMAU, LOC117143364|XP_033163929.1|DMAU
OG0000007	LOC117900835|XP_034667237.1|DSUB	LOC117139714|XP_033158125.1|DMAU
OG0000007	LOC117894709|XP_034657781.1|DSUB	LOC117139147|XP_033157196.1|DMAU
OG0000007	LOC117901609|XP_034668319.1|DSUB	LOC117139091|XP_033157106.1|DMAU
OG0000007	LOC117894591|XP_034657631.1|DSUB	LOC117142071|XP_033161842.1|DMAU
OG0000007	LOC117894593|XP_034657634.1|DSUB	LOC117142072|XP_033161843.1|DMAU
OG0000008	LOC117896362|XP_034660529.1|DSUB	LOC117142833|XP_033162955.1|DMAU
OG0000008	LOC117895169|XP_034658523.1|DSUB	LOC117140615|XP_033159521.1|DMAU
OG0000008	LOC117895168|XP_034658522.1|DSUB	LOC117140614|XP_033159520.1|DMAU
OG0000008	LOC117902083|XP_034669067.1|DSUB	LOC117150767|XP_033173694.1|DMAU
OG0000008	LOC117895171|XP_034658525.1|DSUB	LOC117140617|XP_033159524.1|DMAU
OG0000008	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU
OG0000008	LOC117898640|XP_034664094.1|DSUB	LOC117143719|XP_033164408.1|DMAU
OG0000008	LOC117898634|XP_034664087.1|DSUB	LOC117144386|XP_033165411.1|DMAU
OG0000008	LOC117898636|XP_034664090.1|DSUB	LOC117143928|XP_033164736.1|DMAU
OG0000009	LOC117896628|XP_034660961.1|DSUB	LOC117145423|XP_033166959.1|DMAU
OG0000009	LOC117898287|XP_034663434.1|DSUB	LOC117143759|XP_033164466.1|DMAU
OG0000009	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB	LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU
OG0000009	LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB	LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU
OG0000009	LOC117890282|XP_034650935.1|DSUB	LOC117136735|XP_033153656.1|DMAU
OG0000009	LOC117896426|XP_034660636.1|DSUB	LOC117143616|XP_033164265.1|DMAU
OG0000009	LOC117892376|XP_034654476.1|DSUB	LOC117135792|XP_033152175.1|DMAU
OG0000009	LOC117892374|XP_034654475.1|DSUB	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU
OG0000011	LOC117901349|XP_034667951.1|DSUB, LOC117900952|XP_034667416.1|DSUB, LOC117902493|XP_034669808.1|DSUB, LOC117902497|XP_034669813.1|DSUB, LOC117900244|XP_034666423.1|DSUB, LOC117902732|XP_034670197.1|DSUB, LOC117901918|XP_034668778.1|DSUB, LOC117902500|XP_034669817.1|DSUB, LOC117902495|XP_034669810.1|DSUB, LOC117902496|XP_034669811.1|DSUB, LOC117901786|XP_034668586.1|DSUB, LOC117900246|XP_034666433.1|DSUB	LOC117148149|XP_033171274.1|DMAU, LOC117148158|XP_033171286.1|DMAU, LOC117138313|XP_033156221.1|DMAU, LOC117140362|XP_033159107.1|DMAU, LOC117142406|XP_033162250.1|DMAU, LOC117150358|XP_033173108.1|DMAU, LOC117135201|XP_033151176.1|DMAU, LOC117148130|XP_033171246.1|DMAU, LOC117148131|XP_033171247.1|DMAU
OG0000011	LOC117893712|XP_034656290.1|DSUB	LOC117141063|XP_033160242.1|DMAU
OG0000011	LOC117894953|XP_034658172.1|DSUB	LOC117141062|XP_033160241.1|DMAU
OG0000011	LOC117897187|XP_034661778.1|DSUB	LOC117143493|XP_033164098.1|DMAU
OG0000012	LOC117892204|XP_034654190.1|DSUB	LOC117136761|XP_033153688.1|DMAU
OG0000012	LOC117892205|XP_034654193.1|DSUB	LOC117136760|XP_033153687.1|DMAU
OG0000012	LOC117892198|XP_034654182.1|DSUB	LOC117136898|XP_033153902.1|DMAU
OG0000012	LOC117892199|XP_034654185.1|DSUB	LOC117137864|XP_033155471.1|DMAU
OG0000012	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB	LOC117137455|XP_033154790.1|DMAU
OG0000012	LOC117892200|XP_034654187.1|DSUB	LOC117136643|XP_033153526.1|DMAU
OG0000012	LOC117891062|XP_034652125.1|DSUB	LOC117136387|XP_033153170.1|DMAU
OG0000012	LOC117891063|XP_034652127.1|DSUB	LOC117136474|XP_033153296.1|DMAU
OG0000012	LOC117891061|XP_034652124.1|DSUB	LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU
OG0000012	LOC117891058|XP_034652122.1|DSUB	LOC117137795|XP_033155358.1|DMAU
OG0000012	LOC117891064|XP_034652128.1|DSUB	LOC117137796|XP_033155359.1|DMAU
OG0000013	LOC117890717|XP_034651649.1|DSUB	LOC117136473|XP_033153295.1|DMAU
OG0000013	LOC117896187|XP_034660170.1|DSUB	LOC117148236|XP_033171424.1|DMAU
OG0000013	LOC117896516|XP_034660775.1|DSUB	LOC117142434|XP_033162286.1|DMAU
OG0000013	LOC117895334|XP_034658799.1|DSUB	LOC117141743|XP_033161255.1|DMAU
OG0000013	LOC117898536|XP_034663901.1|DSUB	LOC117143333|XP_033163884.1|DMAU
OG0000013	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB	LOC117142344|XP_033162152.1|DMAU
OG0000013	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB	LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU
OG0000015	LOC117902318|XP_034669497.1|DSUB	LOC117137056|XP_033154159.1|DMAU
OG0000016	LOC117899529|XP_034665488.1|DSUB	LOC117143253|XP_033163704.1|DMAU
OG0000016	LOC117889984|XP_034650458.1|DSUB	LOC117136077|XP_033152622.1|DMAU
OG0000016	LOC117898309|XP_034663475.1|DSUB	LOC117144517|XP_033165627.1|DMAU
OG0000016	LOC117892105|XP_034654005.1|DSUB	LOC117137377|XP_033154680.1|DMAU
OG0000016	LOC117903845|XP_034672195.1|DSUB	LOC117148789|XP_033172290.1|DMAU
OG0000016	LOC117890476|XP_034651231.1|DSUB	LOC117135957|XP_033152442.1|DMAU
OG0000016	LOC117898432|XP_034663715.1|DSUB	LOC117145868|XP_033167581.1|DMAU
OG0000016	LOC117893424|XP_034655932.1|DSUB	LOC117140134|XP_033158791.1|DMAU
OG0000017	LOC117892719|XP_034655033.1|DSUB	LOC117146549|XP_033168738.1|DMAU
OG0000017	LOC117890423|XP_034651134.1|DSUB	LOC117138274|XP_033156132.1|DMAU
OG0000017	LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB	LOC117136736|XP_033153658.1|DMAU
