Orthogroup	DSUB.longest_only	BCOP.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB, LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB, LOC117898485|XP_034663813.1|DSUB, LOC117890871|XP_034651851.1|DSUB, LOC117889909|XP_034650326.1|DSUB, LOC117893407|XP_034655897.1|DSUB, LOC117893701|XP_034656280.1|DSUB, LOC117893403|XP_034655894.1|DSUB, LOC117892287|XP_034654298.1|DSUB, LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB, LOC117892705|XP_034655010.1|DSUB, LOC117897477|XP_034662229.1|DSUB, LOC117899325|XP_034665150.1|DSUB, LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB, LOC117890046|XP_034650557.1|DSUB, LOC117892618|XP_034654860.1|DSUB, LOC117892700|XP_034655002.1|DSUB, LOC117899298|XP_034665106.1|DSUB, LOC117898533|XP_034663894.1|DSUB, LOC117892569|XP_034654782.1|DSUB, LOC117899299|XP_034665108.1|DSUB, LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB, LOC117896020|XP_034659918.1|DSUB, LOC117901385|XP_034668002.1|DSUB, LOC117892680|XP_034654976.1|DSUB, LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB, LOC117897324|XP_034661985.1|DSUB, LOC117898800|XP_034664334.1|DSUB, LOC117898812|XP_034664357.1|DSUB, LOC117896263|XP_034660345.1|DSUB, LOC117897179|XP_034661768.1|DSUB, LOC117898832|XP_034664390.1|DSUB, LOC117898840|XP_034664406.1|DSUB, LOC117889741|XP_034650055.1|DSUB, LOC117889744|XP_034650074.1|DSUB, LOC117889734|XP_034650048.1|DSUB, LOC117889737|XP_034650052.1|DSUB, LOC117890530|XP_034651341.1|DSUB, LOC117890531|XP_034651342.1|DSUB, LOC117892566|XP_034654779.1|DSUB, LOC117898833|XP_034664391.1|DSUB, LOC117898839|XP_034664405.1|DSUB, LOC117898838|XP_034664404.1|DSUB, LOC117899182|XP_034664933.1|DSUB, LOC117898297|XP_034663459.1|DSUB	LOC119067394|XP_037026221.1|BCOP
OG0000001	LOC117902179|XP_034669231.1|DSUB	LOC119073001|XP_037034220.1|BCOP, LOC119082906|XP_037048457.1|BCOP, LOC119083547|XP_037049161.1|BCOP
OG0000002	LOC117900165|XP_034666298.1|DSUB, LOC117899951|XP_034665996.1|DSUB	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP
OG0000002	LOC117900215|XP_034666390.1|DSUB, LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB	LOC119076785|XP_037039644.1|BCOP
OG0000003	LOC117900241|XP_034666421.1|DSUB	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP
OG0000005	LOC117901442|XP_034668076.1|DSUB	LOC119075113|XP_037037397.1|BCOP, LOC119082434|XP_037047858.1|BCOP, LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP, LOC119082423|XP_037047847.1|BCOP, LOC119077560|XP_037040666.1|BCOP, LOC119075403|XP_037037742.1|BCOP, LOC119082441|XP_037047863.1|BCOP, LOC119075506|XP_037037868.1|BCOP, LOC119075097|XP_037037381.1|BCOP, LOC119082499|XP_037047909.1|BCOP, LOC119070781|XP_037031155.1|BCOP
OG0000006	LOC117901441|XP_034668075.1|DSUB	LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP
OG0000007	LOC117894702|XP_034657776.1|DSUB, LOC117894589|XP_034657628.1|DSUB, LOC117900834|XP_034667236.1|DSUB, LOC117890133|XP_034650711.1|DSUB, LOC117897873|XP_034662839.1|DSUB, LOC117897862|XP_034662826.1|DSUB, LOC117897982|XP_034662985.1|DSUB, LOC117900835|XP_034667237.1|DSUB, LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB, LOC117894591|XP_034657631.1|DSUB, LOC117894593|XP_034657634.1|DSUB	LOC119080766|XP_037045225.1|BCOP
OG0000008	LOC117896362|XP_034660529.1|DSUB	LOC119076148|XP_037038725.1|BCOP
OG0000008	LOC117895169|XP_034658523.1|DSUB	LOC119067198|XP_037025928.1|BCOP
OG0000008	LOC117902083|XP_034669067.1|DSUB	LOC119077089|XP_037040143.1|BCOP
OG0000008	LOC117895171|XP_034658525.1|DSUB	LOC119067264|XP_037026041.1|BCOP
OG0000009	LOC117896628|XP_034660961.1|DSUB, LOC117898287|XP_034663434.1|DSUB, LOC117899151|XP_034664850.1|DSUB, LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB, LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB, LOC117890282|XP_034650935.1|DSUB, LOC117896426|XP_034660636.1|DSUB, LOC117892376|XP_034654476.1|DSUB, LOC117892374|XP_034654475.1|DSUB	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP
OG0000010	LOC117899454|XP_034665355.1|DSUB	LOC119075105|XP_037037388.1|BCOP, LOC119075519|XP_037037884.1|BCOP, LOC119082442|XP_037047864.1|BCOP
OG0000012	LOC117892204|XP_034654190.1|DSUB, LOC117892205|XP_034654193.1|DSUB, LOC117892198|XP_034654182.1|DSUB, LOC117892199|XP_034654185.1|DSUB, LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB, LOC117892200|XP_034654187.1|DSUB, LOC117891062|XP_034652125.1|DSUB, LOC117891063|XP_034652127.1|DSUB, LOC117891061|XP_034652124.1|DSUB, LOC117891058|XP_034652122.1|DSUB, LOC117891064|XP_034652128.1|DSUB	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP
OG0000013	LOC117890717|XP_034651649.1|DSUB	LOC119078237|XP_037041593.1|BCOP
OG0000013	LOC117896187|XP_034660170.1|DSUB	LOC119071389|XP_037032165.1|BCOP
OG0000013	LOC117896516|XP_034660775.1|DSUB	LOC119072742|XP_037033921.1|BCOP
OG0000013	LOC117898536|XP_034663901.1|DSUB	LOC119068977|XP_037028742.1|BCOP
OG0000013	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB, LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP
OG0000016	LOC117899529|XP_034665488.1|DSUB, LOC117889984|XP_034650458.1|DSUB	LOC119069122|XP_037028916.1|BCOP
OG0000016	LOC117898309|XP_034663475.1|DSUB	LOC119071771|XP_037032720.1|BCOP
OG0000016	LOC117903845|XP_034672195.1|DSUB	LOC119070068|XP_037030257.1|BCOP
OG0000016	LOC117893424|XP_034655932.1|DSUB	LOC119072263|XP_037033347.1|BCOP
OG0000018	LOC117895264|XP_034658678.1|DSUB	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP
OG0000018	LOC117895260|XP_034658672.1|DSUB, LOC117895261|XP_034658673.1|DSUB, LOC117895265|XP_034658679.1|DSUB, LOC117895258|XP_034658670.1|DSUB, LOC117895269|XP_034658684.1|DSUB, LOC117895268|XP_034658682.1|DSUB, LOC117895272|XP_034658688.1|DSUB	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP
OG0000019	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB, LOC117899339|XP_034665171.1|DSUB, LOC117899361|XP_034665230.1|DSUB, LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP, LOC119082044|XP_037047265.1|BCOP
OG0000020	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB, LOC117892172|XP_034654141.1|DSUB	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP
OG0000020	LOC117902343|XP_034669534.1|DSUB, LOC117898500|XP_034663833.1|DSUB, LOC117898411|XP_034663671.1|DSUB, LOC117901489|XP_034668148.1|DSUB, LOC117901231|XP_034667794.1|DSUB	LOC119077634|XP_037040747.1|BCOP
OG0000021	LOC117903672|XP_034671893.1|DSUB	LOC119076102|XP_037038654.1|BCOP
OG0000021	LOC117896843|XP_034661258.1|DSUB	LOC119074653|XP_037036827.1|BCOP
OG0000023	LOC117896148|XP_034660114.1|DSUB, LOC117896153|XP_034660122.1|DSUB, LOC117896151|XP_034660118.1|DSUB, LOC117896150|XP_034660117.1|DSUB, LOC117891805|XP_034653377.1|DSUB, LOC117896149|XP_034660116.1|DSUB, LOC117898724|XP_034664233.1|DSUB, LOC117898725|XP_034664234.1|DSUB	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP
OG0000024	LOC117889935|XP_034650357.1|DSUB, LOC117889932|XP_034650354.1|DSUB, LOC117889933|XP_034650355.1|DSUB, LOC117889934|XP_034650356.1|DSUB, LOC117901020|XP_034667512.1|DSUB, LOC117889812|XP_034650181.1|DSUB, LOC117891118|XP_034652213.1|DSUB	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP
OG0000025	LOC117901026|XP_034667520.1|DSUB, LOC117890855|XP_034651836.1|DSUB	LOC119074493|XP_037036540.1|BCOP
OG0000026	LOC117903905|XP_034672302.1|DSUB, LOC117899765|XP_034665914.1|DSUB, LOC117899768|XP_034665918.1|DSUB, LOC117899766|XP_034665915.1|DSUB, LOC117899767|XP_034665916.1|DSUB, LOC117899507|XP_034665449.1|DSUB	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP, LOC119084799|XP_037050765.1|BCOP
OG0000027	LOC117902556|XP_034669889.1|DSUB	LOC119077158|XP_037040243.1|BCOP
OG0000028	LOC117894268|XP_034657114.1|DSUB, LOC117894267|XP_034657113.1|DSUB, LOC117894270|XP_034657116.1|DSUB, LOC117894269|XP_034657115.1|DSUB, LOC117894266|XP_034657112.1|DSUB, LOC117894265|XP_034657110.1|DSUB, LOC117894530|XP_034657538.1|DSUB	LOC119080979|XP_037045519.1|BCOP
OG0000029	LOC117890176|XP_034650765.1|DSUB, LOC117889740|XP_034650054.1|DSUB, LOC117898949|XP_034664564.1|DSUB, LOC117893783|XP_034656418.1|DSUB	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP
