Orthogroup	DSUB.longest_only	DVIR.longest_only
OG0000000	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB	LOC6627198|XP_032293006.1|DVIR
OG0000000	LOC117890871|XP_034651851.1|DSUB, LOC117889909|XP_034650326.1|DSUB	LOC6625157|XP_032292502.1|DVIR
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC6626786|XP_002048872.2|DVIR
OG0000000	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB, LOC117897324|XP_034661985.1|DSUB	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR
OG0000001	LOC117902179|XP_034669231.1|DSUB	LOC116649975|XP_032289192.1|DVIR, LOC116650014|XP_032289242.1|DVIR, LOC116650813|XP_032291445.1|DVIR, LOC116650693|XP_032291016.1|DVIR, LOC116650639|XP_032290738.1|DVIR, LOC116650317|XP_032289578.1|DVIR, LOC116650237|XP_032289383.1|DVIR, LOC116650018|XP_032289244.1|DVIR, LOC116651796|XP_032294718.1|DVIR, LOC116651620|XP_032294251.1|DVIR, LOC116652104|XP_032295893.1|DVIR, LOC116652102|XP_032295892.1|DVIR, LOC116651616|XP_032294247.1|DVIR, LOC116650104|XP_032289333.1|DVIR, LOC116649993|XP_032289204.1|DVIR, LOC116650569|XP_032290453.1|DVIR, LOC116652064|XP_032295773.1|DVIR, LOC116650307|XP_032289663.1|DVIR
OG0000002	LOC117891991|XP_034653760.1|DSUB	LOC6627081|XP_002049906.2|DVIR
OG0000002	LOC117891990|XP_034653758.1|DSUB	LOC6627080|XP_002049905.2|DVIR
OG0000002	LOC117900215|XP_034666390.1|DSUB	LOC6626597|XP_002049033.2|DVIR
OG0000002	LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB	LOC6628707|XP_002051325.3|DVIR
OG0000003	LOC117890983|XP_034652023.1|DSUB	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR
OG0000003	LOC117890991|XP_034652033.1|DSUB	LOC6625464|XP_002049668.1|DVIR
OG0000003	LOC117890982|XP_034652022.1|DSUB	LOC6625463|XP_002049667.1|DVIR
OG0000003	LOC117900241|XP_034666421.1|DSUB	LOC6627946|XP_002051419.1|DVIR
OG0000005	LOC117901442|XP_034668076.1|DSUB	LOC6636959|XP_032294591.1|DVIR, LOC6637271|XP_002060544.1|DVIR, LOC26530643|XP_032288849.1|DVIR, LOC6630839|XP_002053115.1|DVIR, LOC116649812|XP_032288841.1|DVIR, LOC6630083|XP_002053093.1|DVIR, LOC26530712|XP_032288873.1|DVIR, LOC116649821|XP_032288854.1|DVIR, LOC116649778|XP_032288855.1|DVIR, LOC6637055|XP_002060474.1|DVIR, LOC116649811|XP_032288840.1|DVIR, LOC6630110|XP_002053103.1|DVIR, LOC116649814|XP_032288843.1|DVIR, LOC6637086|XP_002060498.1|DVIR, LOC116649818|XP_032288848.1|DVIR, LOC116649815|XP_032288845.1|DVIR, LOC6636998|XP_002060428.1|DVIR, LOC26530621|XP_015023595.2|DVIR, LOC116649813|XP_032288842.1|DVIR, LOC116649820|XP_032288853.1|DVIR, LOC116649817|XP_032288847.1|DVIR, LOC6630835|XP_002053111.1|DVIR, LOC116649819|XP_032288852.1|DVIR, LOC116649816|XP_032288846.1|DVIR
OG0000006	LOC117901441|XP_034668075.1|DSUB	LOC6637262|XP_032288828.1|DVIR
OG0000006	LOC117902681|XP_034670104.1|DSUB	LOC6630106|XP_032288838.1|DVIR
OG0000007	LOC117890133|XP_034650711.1|DSUB	LOC116650729|XP_032291101.1|DVIR
OG0000007	LOC117900835|XP_034667237.1|DSUB	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR
