Orthogroup	DNOV.longest_only	AALB.longest_only
OG0000001	LOC115768652|XP_030569188.1|DNOV	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB
OG0000002	LOC115759342|XP_030556121.1|DNOV	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB
OG0000006	LOC115770582|XP_030571767.1|DNOV, LOC115761996|XP_030559923.1|DNOV, LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV	LOC118465125|XP_035788959.1|AALB
OG0000006	LOC115770611|XP_030571807.1|DNOV	LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC115762903|XP_030561140.1|DNOV	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC115763759|XP_030562333.1|DNOV, LOC115763738|XP_030562299.1|DNOV, LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV, LOC115765543|XP_030565028.1|DNOV, LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV, LOC115760674|XP_030558001.1|DNOV, LOC115760799|XP_030558155.1|DNOV, LOC115760927|XP_030558362.1|DNOV, LOC115760928|XP_030558363.1|DNOV, LOC115759272|XP_030556034.1|DNOV	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC115761857|XP_030559704.1|DNOV	LOC118465138|XP_035788969.1|AALB
OG0000010	LOC115761844|XP_030559686.1|DNOV	LOC118464063|XP_035787003.1|AALB
OG0000010	LOC115770894|XP_030572189.1|DNOV	LOC118464061|XP_035787001.1|AALB
OG0000010	LOC115761953|XP_030559852.1|DNOV	LOC118465135|XP_035788966.1|AALB
OG0000010	LOC115770584|XP_030571769.1|DNOV	LOC118464059|XP_035786999.1|AALB
OG0000010	LOC115759945|XP_030556945.1|DNOV	LOC118465133|XP_035788965.1|AALB, LOC118465137|XP_035788967.1|AALB
OG0000012	LOC115760603|XP_030557904.1|DNOV, LOC115760694|XP_030558018.1|DNOV, LOC115760695|XP_030558019.1|DNOV, LOC115760604|XP_030557906.1|DNOV, LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV, LOC115760685|XP_030558012.1|DNOV, LOC115761057|XP_030558532.1|DNOV	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	LOC115761021|XP_030558495.1|DNOV	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC115766810|XP_030566705.1|DNOV	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC115766188|XP_030565895.1|DNOV	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV, LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000014	LOC115764910|XP_030564070.1|DNOV, LOC115765837|XP_030565423.1|DNOV, LOC115768056|XP_030568356.1|DNOV, LOC115767624|XP_030567782.1|DNOV	LOC118464509|XP_035787838.1|AALB, LOC118462783|XP_035784663.1|AALB, LOC118464534|XP_035787864.1|AALB, LOC118456893|XP_035773911.1|AALB
OG0000016	LOC115761678|XP_030559394.1|DNOV, LOC115762276|XP_030560298.1|DNOV	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC115761707|XP_030559439.1|DNOV	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC115768679|XP_030569221.1|DNOV	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC115770022|XP_030570941.1|DNOV	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB
OG0000018	LOC115762746|XP_030560944.1|DNOV	LOC118463128|XP_035785378.1|AALB
OG0000019	LOC115771723|XP_030573407.1|DNOV, LOC115771721|XP_030573404.1|DNOV, LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV, LOC115771639|XP_030573299.1|DNOV, LOC115771840|XP_030573582.1|DNOV, LOC115771914|XP_030573663.1|DNOV	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB
OG0000020	LOC115764021|XP_030562712.1|DNOV, LOC115762420|XP_030560475.1|DNOV	LOC118461362|XP_035782490.1|AALB
OG0000020	LOC115758764|XP_030555385.1|DNOV, LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV, LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV, LOC115758337|XP_030554771.1|DNOV	LOC118467629|XP_035794243.1|AALB
OG0000021	LOC115768613|XP_030569130.1|DNOV	LOC118468558|XP_035795352.1|AALB
OG0000021	LOC115770843|XP_030572140.1|DNOV, LOC115771758|XP_030573467.1|DNOV, LOC115766401|XP_030566179.1|DNOV	LOC118467519|XP_035793970.1|AALB
