Orthogroup	DNOV.longest_only	DHYD.longest_only
OG0000000	LOC115762358|XP_030560387.1|DNOV, LOC115762357|XP_030560386.1|DNOV	LOC111593965|XP_023162824.1|DHYD
OG0000000	LOC115758064|XP_030554438.1|DNOV	LOC111599673|XP_023171145.1|DHYD
OG0000000	LOC115760506|XP_030557727.1|DNOV	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD
OG0000000	LOC115762880|XP_030561115.1|DNOV	LOC111600475|XP_023172354.2|DHYD
OG0000000	LOC115762364|XP_030560398.1|DNOV	LOC111593961|XP_030080959.1|DHYD, LOC111593959|XP_023162818.2|DHYD
OG0000000	LOC115762366|XP_030560401.1|DNOV, LOC115762368|XP_030560403.1|DNOV, LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV	LOC111593957|XP_023162816.2|DHYD
OG0000000	LOC115764637|XP_030563666.1|DNOV	LOC115483355|XP_030080829.1|DHYD
OG0000000	LOC115762365|XP_030560399.1|DNOV	LOC111603644|XP_023177090.2|DHYD
OG0000002	LOC115758620|XP_030555217.1|DNOV	LOC111601236|XP_023173500.2|DHYD
OG0000002	LOC115759079|XP_030555811.1|DNOV	LOC115483422|XP_030081192.1|DHYD
OG0000002	LOC115762794|XP_030561011.1|DNOV	LOC111597015|XP_023167289.2|DHYD
OG0000002	LOC115766569|XP_030566411.1|DNOV	LOC111593705|XP_023162430.2|DHYD
OG0000002	LOC115766589|XP_030566435.1|DNOV, LOC115766551|XP_030566386.1|DNOV, LOC115766590|XP_030566436.1|DNOV	LOC111593796|XP_023162589.2|DHYD
OG0000002	LOC115763088|XP_030561386.1|DNOV	LOC111605420|XP_023179700.2|DHYD, LOC111592634|XP_023160745.2|DHYD, LOC111603993|XP_030079085.1|DHYD, LOC115482929|XP_030079105.1|DHYD, LOC111603858|XP_030079043.1|DHYD, LOC111600559|XP_030079098.1|DHYD, LOC111600451|XP_023172322.2|DHYD
OG0000002	LOC115766526|XP_030566353.1|DNOV	LOC111594107|XP_023163033.2|DHYD
OG0000002	LOC115759172|XP_030555905.1|DNOV	LOC111596089|XP_023165917.2|DHYD
OG0000003	LOC115762126|XP_030560095.1|DNOV	LOC111602573|XP_030082008.1|DHYD
OG0000003	LOC115763094|XP_030561396.1|DNOV	LOC111601269|XP_023173548.2|DHYD
OG0000003	LOC115758743|XP_030555359.1|DNOV	LOC111602383|XP_023175172.2|DHYD
