Orthogroup	DNOV.longest_only	DSEC.longest_only
OG0000000	LOC115769480|XP_030570157.1|DNOV	LOC6605054|XP_032575159.1|DSEC
OG0000000	LOC115758064|XP_030554438.1|DNOV	LOC6612593|XP_002037098.2|DSEC, LOC116800509|XP_032571804.1|DSEC, LOC6611330|XP_002035877.1|DSEC
OG0000000	LOC115760506|XP_030557727.1|DNOV	LOC6608865|XP_002033579.1|DSEC
OG0000000	LOC115762880|XP_030561115.1|DNOV	LOC116800964|XP_032573791.1|DSEC, LOC116801306|XP_032575998.1|DSEC
OG0000000	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV	LOC6609904|XP_032570140.1|DSEC, LOC6609905|XP_032572518.1|DSEC, LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC, LOC6612634|XP_002037138.2|DSEC
OG0000000	LOC115762365|XP_030560399.1|DNOV	LOC6613854|XP_002038323.1|DSEC
OG0000001	LOC115768652|XP_030569188.1|DNOV	LOC116801168|XP_032575066.1|DSEC
OG0000002	LOC115758620|XP_030555217.1|DNOV	LOC6609498|XP_002034183.1|DSEC
OG0000002	LOC115759079|XP_030555811.1|DNOV	LOC6615482|XP_002039862.2|DSEC
OG0000002	LOC115762794|XP_030561011.1|DNOV	LOC6615481|XP_002039861.2|DSEC
OG0000002	LOC115759342|XP_030556121.1|DNOV	LOC6613615|XP_032570344.1|DSEC
OG0000003	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV	LOC6609226|XP_032570279.1|DSEC, LOC6609227|XP_002033918.2|DSEC
OG0000003	LOC115771231|XP_030572696.1|DNOV	LOC6609222|XP_002033913.1|DSEC
OG0000003	LOC115762126|XP_030560095.1|DNOV	LOC6609223|XP_002033914.2|DSEC
OG0000003	LOC115762286|XP_030560313.1|DNOV	LOC6608196|XP_002032941.1|DSEC
OG0000003	LOC115771912|XP_030573666.1|DNOV	LOC6608194|XP_002032939.1|DSEC
OG0000003	LOC115758743|XP_030555359.1|DNOV	LOC6613508|XP_002037976.1|DSEC
OG0000007	LOC115767673|XP_030567825.1|DNOV	LOC116800972|XP_032573823.1|DSEC
OG0000007	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV	LOC6610952|XP_032575303.1|DSEC, LOC6610951|XP_002035508.1|DSEC
OG0000007	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV	LOC6608215|XP_032572281.1|DSEC
OG0000007	LOC115767684|XP_030567836.1|DNOV	LOC6613407|XP_032570241.1|DSEC
OG0000007	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	LOC6604871|XP_002029716.1|DSEC, LOC6604870|XP_002029715.1|DSEC, LOC6613405|XP_032574637.1|DSEC
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC6619063|XP_002043304.1|DSEC
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC6610740|XP_002035306.1|DSEC
OG0000008	LOC115762903|XP_030561140.1|DNOV	LOC6610743|XP_002035309.1|DSEC
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC6617678|XP_002041991.1|DSEC
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC6610741|XP_002035307.2|DSEC
OG0000008	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV	LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC
OG0000008	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV	LOC6614148|XP_002038601.1|DSEC, LOC116801716|XP_032578753.1|DSEC
OG0000008	LOC115765613|XP_030565123.1|DNOV	LOC116801478|XP_032577234.1|DSEC
OG0000008	LOC115765587|XP_030565097.1|DNOV	LOC6614149|XP_002038602.2|DSEC
OG0000008	LOC115765588|XP_030565098.1|DNOV	LOC116801482|XP_032577264.1|DSEC
OG0000008	LOC115765592|XP_030565101.1|DNOV	LOC116801721|XP_032578777.1|DSEC
OG0000009	LOC115763759|XP_030562333.1|DNOV	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC
OG0000009	LOC115763738|XP_030562299.1|DNOV	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC
