Orthogroup	DNOV.longest_only	CCAP.longest_only
OG0000000	LOC115762358|XP_030560387.1|DNOV, LOC115762357|XP_030560386.1|DNOV	CCAP1982_LOCUS22474|CAD7014476.1|CCAP
OG0000000	LOC115769480|XP_030570157.1|DNOV	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP
OG0000000	LOC115758064|XP_030554438.1|DNOV, LOC115760506|XP_030557727.1|DNOV, LOC115769481|XP_030570158.1|DNOV	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP
OG0000000	LOC115762880|XP_030561115.1|DNOV	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP
OG0000000	LOC115762364|XP_030560398.1|DNOV, LOC115762366|XP_030560401.1|DNOV, LOC115762368|XP_030560403.1|DNOV, LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV, LOC115764637|XP_030563666.1|DNOV, LOC115764832|XP_030563940.1|DNOV, LOC115762365|XP_030560399.1|DNOV, LOC115762361|XP_030560396.1|DNOV	CCAP1982_LOCUS11001|CAD7002512.1|CCAP
OG0000001	LOC115768652|XP_030569188.1|DNOV	CCAP1982_LOCUS9398|CAD7000923.1|CCAP, CCAP1982_LOCUS9782|CAD7001285.1|CCAP, CCAP1982_LOCUS9733|CAD7001235.1|CCAP, CCAP1982_LOCUS5945|CAD6997312.1|CCAP, CCAP1982_LOCUS9129|CAD7000655.1|CCAP, CCAP1982_LOCUS10167|CAD7001676.1|CCAP, CCAP1982_LOCUS14199|CAD7005857.1|CCAP, CCAP1982_LOCUS3923|CAD6995204.1|CCAP, CCAP1982_LOCUS6598|CAD6997982.1|CCAP, CCAP1982_LOCUS2222|CAD6993407.1|CCAP, CCAP1982_LOCUS7260|CAD6998703.1|CCAP
OG0000002	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP
OG0000002	LOC115759342|XP_030556121.1|DNOV	CCAP1982_LOCUS1975|CAD6993149.1|CCAP
OG0000003	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP
OG0000003	LOC115771912|XP_030573666.1|DNOV	CCAP1982_LOCUS20941|CAD7012841.1|CCAP
OG0000003	LOC115758743|XP_030555359.1|DNOV	CCAP1982_LOCUS7775|CAD6999243.1|CCAP
OG0000004	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP
OG0000006	LOC115768961|XP_030569544.1|DNOV	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP
OG0000006	LOC115770615|XP_030571811.1|DNOV, LOC115761965|XP_030559867.1|DNOV, LOC115770895|XP_030572190.1|DNOV, LOC115770611|XP_030571807.1|DNOV, LOC115770813|XP_030572094.1|DNOV	CCAP1982_LOCUS6252|CAD6997616.1|CCAP
OG0000007	LOC115771065|XP_030572477.1|DNOV	CCAP1982_LOCUS12644|CAD7004225.1|CCAP, CCAP1982_LOCUS12645|CAD7004226.1|CCAP
OG0000007	LOC115771063|XP_030572475.1|DNOV	CCAP1982_LOCUS12646|CAD7004227.1|CCAP
OG0000007	LOC115767673|XP_030567825.1|DNOV	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP
OG0000007	LOC115760652|XP_030557979.1|DNOV, LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV, LOC115767684|XP_030567836.1|DNOV, LOC115767682|XP_030567834.1|DNOV, LOC115767685|XP_030567839.1|DNOV, LOC115767680|XP_030567833.1|DNOV, LOC115767651|XP_030567798.1|DNOV, LOC115767650|XP_030567797.1|DNOV, LOC115767687|XP_030567841.1|DNOV, LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP
OG0000008	LOC115759663|XP_030556519.1|DNOV	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	LOC115762862|XP_030561098.1|DNOV	CCAP1982_LOCUS12720|CAD7004300.1|CCAP
