Orthogroup	DNOV.longest_only	DMAU.longest_only
OG0000000	LOC115769480|XP_030570157.1|DNOV	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU
OG0000000	LOC115758064|XP_030554438.1|DNOV	LOC117145695|XP_033167327.1|DMAU, LOC117138434|XP_033156436.1|DMAU, LOC117149958|XP_033172750.1|DMAU
OG0000000	LOC115760506|XP_030557727.1|DNOV	LOC117138309|XP_033156204.1|DMAU
OG0000000	LOC115762880|XP_030561115.1|DNOV	LOC117140540|XP_033159421.1|DMAU
OG0000000	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV	LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU, LOC117138584|XP_033156654.1|DMAU, LOC117138016|XP_033155711.1|DMAU, LOC117146038|XP_033167862.1|DMAU
OG0000000	LOC115762365|XP_030560399.1|DNOV	LOC117145160|XP_033166598.1|DMAU, LOC117140539|XP_033159419.1|DMAU, LOC117140538|XP_033159418.1|DMAU
OG0000002	LOC115758620|XP_030555217.1|DNOV	LOC117138082|XP_033155798.1|DMAU
OG0000002	LOC115759079|XP_030555811.1|DNOV	LOC117135907|XP_033152364.1|DMAU
OG0000002	LOC115762794|XP_030561011.1|DNOV	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC115759342|XP_030556121.1|DNOV	LOC117136934|XP_033153971.1|DMAU
OG0000003	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV	LOC117136850|XP_033153839.1|DMAU, LOC117137895|XP_033155524.1|DMAU
OG0000003	LOC115771231|XP_030572696.1|DNOV	LOC117136849|XP_033153838.1|DMAU
OG0000003	LOC115762126|XP_030560095.1|DNOV	LOC117138513|XP_033156538.1|DMAU
OG0000003	LOC115762286|XP_030560313.1|DNOV	LOC117137104|XP_033154281.1|DMAU
OG0000003	LOC115771912|XP_030573666.1|DNOV	LOC117137102|XP_033154279.1|DMAU, LOC117137103|XP_033154280.1|DMAU
OG0000003	LOC115758743|XP_030555359.1|DNOV	LOC117138777|XP_033156858.1|DMAU
OG0000007	LOC115771063|XP_030572475.1|DNOV	LOC117141087|XP_033160294.1|DMAU
OG0000007	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV	LOC117140666|XP_033159604.1|DMAU, LOC117139205|XP_033157267.1|DMAU, LOC117140665|XP_033159603.1|DMAU
OG0000007	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV	LOC117136894|XP_033153899.1|DMAU
OG0000007	LOC115767684|XP_030567836.1|DNOV	LOC117139714|XP_033158125.1|DMAU
OG0000007	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	LOC117139147|XP_033157196.1|DMAU, LOC117139091|XP_033157106.1|DMAU
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC117142833|XP_033162955.1|DMAU
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC117140615|XP_033159521.1|DMAU
OG0000008	LOC115762903|XP_030561140.1|DNOV	LOC117140614|XP_033159520.1|DMAU
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC117150767|XP_033173694.1|DMAU
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC117140617|XP_033159524.1|DMAU
OG0000008	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU
OG0000008	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV	LOC117144387|XP_033165412.1|DMAU
OG0000008	LOC115765613|XP_030565123.1|DNOV	LOC117143719|XP_033164408.1|DMAU
OG0000008	LOC115765588|XP_030565098.1|DNOV	LOC117144386|XP_033165411.1|DMAU
OG0000008	LOC115765592|XP_030565101.1|DNOV	LOC117143928|XP_033164736.1|DMAU
OG0000009	LOC115763759|XP_030562333.1|DNOV	LOC117145423|XP_033166959.1|DMAU
OG0000009	LOC115763738|XP_030562299.1|DNOV	LOC117143759|XP_033164466.1|DMAU
OG0000009	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV	LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU
OG0000009	LOC115765543|XP_030565028.1|DNOV	LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU
OG0000009	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV	LOC117136735|XP_033153656.1|DMAU
OG0000009	LOC115760928|XP_030558363.1|DNOV	LOC117135792|XP_033152175.1|DMAU
OG0000009	LOC115759272|XP_030556034.1|DNOV	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU
OG0000010	LOC115770892|XP_030572188.1|DNOV, LOC115770619|XP_030571815.1|DNOV, LOC115761843|XP_030559684.1|DNOV, LOC115770901|XP_030572196.1|DNOV, LOC115761856|XP_030559703.1|DNOV, LOC115761857|XP_030559704.1|DNOV, LOC115757743|XP_030553989.1|DNOV, LOC115761844|XP_030559686.1|DNOV, LOC115770607|XP_030571804.1|DNOV, LOC115759841|XP_030556795.1|DNOV, LOC115770598|XP_030571795.1|DNOV, LOC115770894|XP_030572189.1|DNOV, LOC115761849|XP_030559691.1|DNOV, LOC115770618|XP_030571814.1|DNOV, LOC115761999|XP_030559927.1|DNOV, LOC115770900|XP_030572194.1|DNOV, LOC115761953|XP_030559852.1|DNOV, LOC115770585|XP_030571770.1|DNOV, LOC115761848|XP_030559690.1|DNOV, LOC115770577|XP_030571760.1|DNOV, LOC115762000|XP_030559928.1|DNOV, LOC115770596|XP_030571794.1|DNOV	LOC117142722|XP_033162774.1|DMAU
OG0000011	LOC115769277|XP_030569859.1|DNOV	LOC117141062|XP_033160241.1|DMAU
OG0000011	LOC115765906|XP_030565511.1|DNOV	LOC117143493|XP_033164098.1|DMAU
OG0000012	LOC115760603|XP_030557904.1|DNOV	LOC117136761|XP_033153688.1|DMAU
OG0000012	LOC115760694|XP_030558018.1|DNOV	LOC117136760|XP_033153687.1|DMAU
OG0000012	LOC115760695|XP_030558019.1|DNOV	LOC117136898|XP_033153902.1|DMAU
OG0000012	LOC115760604|XP_030557906.1|DNOV	LOC117137864|XP_033155471.1|DMAU
OG0000012	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV	LOC117137455|XP_033154790.1|DMAU, LOC117136643|XP_033153526.1|DMAU
OG0000012	LOC115760685|XP_030558012.1|DNOV	LOC117136387|XP_033153170.1|DMAU, LOC117136474|XP_033153296.1|DMAU, LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU
OG0000012	LOC115761057|XP_030558532.1|DNOV	LOC117137795|XP_033155358.1|DMAU, LOC117137796|XP_033155359.1|DMAU
OG0000013	LOC115761021|XP_030558495.1|DNOV	LOC117136473|XP_033153295.1|DMAU
OG0000013	LOC115766810|XP_030566705.1|DNOV	LOC117148236|XP_033171424.1|DMAU
