Orthogroup	DNOV.longest_only	DKIK.longest_only
OG0000000	LOC115769480|XP_030570157.1|DNOV	LOC108078585|XP_017027994.1|DKIK
OG0000000	LOC115758064|XP_030554438.1|DNOV	LOC108077905|XP_017026932.1|DKIK
OG0000000	LOC115760506|XP_030557727.1|DNOV	LOC108077933|XP_017026960.1|DKIK
OG0000000	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV	LOC108070814|XP_017016902.1|DKIK, LOC108070634|XP_017016690.1|DKIK
OG0000000	LOC115762365|XP_030560399.1|DNOV	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK, LOC108078600|XP_017028009.1|DKIK, LOC108078601|XP_017028010.1|DKIK
OG0000002	LOC115758620|XP_030555217.1|DNOV	LOC108082125|XP_017032915.1|DKIK, LOC108076145|XP_017024362.1|DKIK
OG0000002	LOC115759079|XP_030555811.1|DNOV	LOC108085203|XP_017037209.1|DKIK
OG0000002	LOC115762794|XP_030561011.1|DNOV	LOC108085202|XP_017037207.1|DKIK
OG0000002	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV	LOC108077339|XP_017026117.1|DKIK, LOC108086114|XP_017038438.1|DKIK, LOC108086113|XP_017038437.1|DKIK, LOC108086115|XP_017038439.1|DKIK, LOC108086110|XP_017038435.1|DKIK, LOC108086111|XP_017038436.1|DKIK, LOC108076940|XP_017025477.1|DKIK, LOC108076949|XP_017025488.1|DKIK
OG0000002	LOC115759342|XP_030556121.1|DNOV	LOC108082669|XP_017033655.1|DKIK
OG0000003	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV	LOC108072418|XP_017019012.1|DKIK
OG0000003	LOC115771231|XP_030572696.1|DNOV	LOC108072417|XP_017019010.1|DKIK
OG0000003	LOC115762126|XP_030560095.1|DNOV	LOC108072406|XP_017018997.1|DKIK, LOC108072404|XP_017018996.1|DKIK
OG0000003	LOC115762286|XP_030560313.1|DNOV	LOC108070794|XP_017016883.1|DKIK
OG0000003	LOC115771912|XP_030573666.1|DNOV	LOC108070791|XP_017016879.1|DKIK, LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK
OG0000003	LOC115758743|XP_030555359.1|DNOV	LOC108073603|XP_017020784.1|DKIK
OG0000004	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV	LOC108073963|XP_017021295.1|DKIK
OG0000005	LOC115761952|XP_030559851.1|DNOV	LOC108085749|XP_017037978.1|DKIK
OG0000006	LOC115770896|XP_030572191.1|DNOV, LOC115761951|XP_030559850.1|DNOV, LOC115770811|XP_030572093.1|DNOV, LOC115761879|XP_030559740.1|DNOV, LOC115761846|XP_030559688.1|DNOV, LOC115761994|XP_030559922.1|DNOV, LOC115770582|XP_030571767.1|DNOV, LOC115761996|XP_030559923.1|DNOV, LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV, LOC115770605|XP_030571802.1|DNOV, LOC115770815|XP_030572096.1|DNOV	LOC108072846|XP_017019650.1|DKIK
OG0000006	LOC115770611|XP_030571807.1|DNOV	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK
OG0000007	LOC115771063|XP_030572475.1|DNOV	LOC108071918|XP_017018366.1|DKIK
OG0000007	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV	LOC108071623|XP_017017894.1|DKIK, LOC108071566|XP_017017836.1|DKIK
OG0000007	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV	LOC108078491|XP_017027862.1|DKIK
OG0000007	LOC115767684|XP_030567836.1|DNOV	LOC108086266|XP_017038642.1|DKIK
OG0000007	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	LOC108078726|XP_017028216.1|DKIK, LOC108078727|XP_017028217.1|DKIK, LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC108081759|XP_017032449.1|DKIK
OG0000008	LOC115762903|XP_030561140.1|DNOV	LOC108072724|XP_017019474.1|DKIK
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC108075890|XP_017023993.1|DKIK
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC108072727|XP_017019476.1|DKIK
OG0000008	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK
OG0000008	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV	LOC108080451|XP_017030677.1|DKIK
OG0000008	LOC115765613|XP_030565123.1|DNOV	LOC108080456|XP_017030682.1|DKIK
OG0000008	LOC115765588|XP_030565098.1|DNOV	LOC108080419|XP_017030641.1|DKIK
OG0000008	LOC115765592|XP_030565101.1|DNOV	LOC108080455|XP_017030681.1|DKIK
OG0000009	LOC115763759|XP_030562333.1|DNOV	LOC108076150|XP_017024404.1|DKIK
OG0000009	LOC115763738|XP_030562299.1|DNOV	LOC108076246|XP_017024517.1|DKIK
OG0000009	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK, LOC108075985|XP_017024164.1|DKIK
OG0000009	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV	LOC108070751|XP_017016837.1|DKIK
OG0000009	LOC115760928|XP_030558363.1|DNOV	LOC108082335|XP_017033154.1|DKIK
OG0000009	LOC115759272|XP_030556034.1|DNOV	LOC108082309|XP_017033129.1|DKIK, LOC108078551|XP_017027957.1|DKIK, LOC108078552|XP_017027958.1|DKIK, LOC108082375|XP_017033205.1|DKIK, LOC108082329|XP_017033149.1|DKIK, LOC108074693|XP_017022321.1|DKIK, LOC108082367|XP_017033197.1|DKIK, LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK
OG0000010	LOC115761953|XP_030559852.1|DNOV	LOC108072854|XP_017019661.1|DKIK
OG0000010	LOC115759945|XP_030556945.1|DNOV	LOC108075010|XP_017022751.1|DKIK, LOC108084633|XP_017036410.1|DKIK
OG0000011	LOC115769277|XP_030569859.1|DNOV	LOC108075323|XP_017023218.1|DKIK
OG0000011	LOC115765906|XP_030565511.1|DNOV	LOC108073175|XP_017020170.1|DKIK
