Orthogroup	DNOV.longest_only	DSIM.longest_only
OG0000000	LOC115769480|XP_030570157.1|DNOV	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM
OG0000000	LOC115758064|XP_030554438.1|DNOV	LOC27208741|XP_016036703.2|DSIM, LOC6734181|XP_016027194.1|DSIM, LOC6732391|XP_002079512.1|DSIM
OG0000000	LOC115760506|XP_030557727.1|DNOV	LOC6734183|XP_002081212.2|DSIM
OG0000000	LOC115762880|XP_030561115.1|DNOV	LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM
OG0000000	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV	LOC6735227|XP_002082200.1|DSIM, LOC6735228|XP_002082201.1|DSIM, LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM, LOC6736070|XP_039148852.1|DSIM, LOC6729989|XP_002105283.1|DSIM
OG0000000	LOC115762365|XP_030560399.1|DNOV	LOC6726722|XP_002102133.3|DSIM, LOC6738252|XP_002085064.1|DSIM, LOC6738253|XP_039150090.1|DSIM
OG0000002	LOC115758620|XP_030555217.1|DNOV	LOC6734821|XP_002081824.1|DSIM
OG0000002	LOC115759079|XP_030555811.1|DNOV	LOC6735666|XP_002082584.2|DSIM
OG0000002	LOC115762794|XP_030561011.1|DNOV	LOC6735665|XP_002082583.2|DSIM
OG0000002	LOC115759342|XP_030556121.1|DNOV	LOC6731201|XP_002078360.1|DSIM
OG0000003	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV	LOC6734558|XP_002081567.1|DSIM, LOC6734560|XP_016027665.1|DSIM
OG0000003	LOC115771231|XP_030572696.1|DNOV	LOC6734555|XP_002081564.3|DSIM
OG0000003	LOC115762126|XP_030560095.1|DNOV	LOC6734556|XP_016027664.2|DSIM
OG0000003	LOC115762286|XP_030560313.1|DNOV	LOC6733557|XP_016026506.1|DSIM
OG0000003	LOC115771912|XP_030573666.1|DNOV	LOC6733555|XP_039148197.1|DSIM
OG0000003	LOC115758743|XP_030555359.1|DNOV	LOC6731100|XP_002078257.3|DSIM
OG0000005	LOC115761952|XP_030559851.1|DNOV	LOC120285806|XP_039154356.1|DSIM, LOC120285548|XP_039154138.1|DSIM, LOC120285275|XP_039152669.1|DSIM, LOC120285808|XP_039154358.1|DSIM, LOC120285276|XP_039152679.1|DSIM, LOC120285549|XP_039154139.1|DSIM, LOC27207875|XP_039154141.1|DSIM, LOC120285271|XP_039152664.1|DSIM, LOC120285267|XP_039152656.1|DSIM, LOC120285804|XP_039154354.1|DSIM, LOC6740385|XP_002077244.1|DSIM, LOC120285805|XP_039154355.1|DSIM, LOC120285550|XP_039154140.1|DSIM, LOC120285279|XP_039152693.1|DSIM, LOC120285268|XP_039152661.1|DSIM, LOC120285547|XP_039154137.1|DSIM, LOC120285807|XP_039154357.1|DSIM
OG0000006	LOC115761951|XP_030559850.1|DNOV	LOC120285542|XP_039154132.1|DSIM
OG0000006	LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV	LOC120285545|XP_039154135.1|DSIM
OG0000006	LOC115770605|XP_030571802.1|DNOV	LOC6740317|XP_002077189.3|DSIM
OG0000006	LOC115770611|XP_030571807.1|DNOV	LOC120285544|XP_039154134.1|DSIM, LOC27208095|XP_016025859.1|DSIM
OG0000006	LOC115770813|XP_030572094.1|DNOV	LOC120285266|XP_039152652.1|DSIM
OG0000007	LOC115771063|XP_030572475.1|DNOV	LOC6738477|XP_016032322.1|DSIM
OG0000007	LOC115767673|XP_030567825.1|DNOV	LOC6736955|XP_002083802.1|DSIM
OG0000007	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV	LOC6736953|XP_002083800.1|DSIM, LOC6736951|XP_016030595.1|DSIM, LOC6736948|XP_039149135.1|DSIM, LOC120284722|XP_039149134.1|DSIM, LOC6736949|XP_002083796.1|DSIM, LOC6736952|XP_002083799.1|DSIM, LOC6736950|XP_039149136.1|DSIM, LOC120284734|XP_039149214.1|DSIM
OG0000007	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV	LOC6733581|XP_002080635.1|DSIM
OG0000007	LOC115767684|XP_030567836.1|DNOV	LOC6731021|XP_002078182.1|DSIM
OG0000007	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	LOC6737273|XP_039149649.1|DSIM, LOC27206286|XP_016030986.1|DSIM, LOC6731019|XP_002078180.2|DSIM
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC6727443|XP_016034017.1|DSIM
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC6736741|XP_002083597.1|DSIM
OG0000008	LOC115762903|XP_030561140.1|DNOV	LOC6736744|XP_016030372.1|DSIM
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC6732025|XP_039148682.1|DSIM
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC6736742|XP_002083598.1|DSIM
