Orthogroup	DNOV.longest_only	DSER.longest_only
OG0000000	LOC115760506|XP_030557727.1|DNOV	LOC110181445|XP_020804849.1|DSER
OG0000000	LOC115762880|XP_030561115.1|DNOV	LOC110190736|XP_020817017.1|DSER
OG0000000	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER, LOC110177452|XP_020799845.1|DSER
OG0000000	LOC115762365|XP_030560399.1|DNOV	LOC110187957|XP_020813134.1|DSER, LOC110190734|XP_020817015.1|DSER, LOC110190733|XP_020817014.1|DSER, LOC110190479|XP_020816650.1|DSER
OG0000002	LOC115758620|XP_030555217.1|DNOV	LOC110191937|XP_020818616.1|DSER, LOC110179128|XP_020802182.1|DSER, LOC110178733|XP_020801621.1|DSER
OG0000002	LOC115759079|XP_030555811.1|DNOV	LOC110177829|XP_020800431.1|DSER
OG0000002	LOC115762794|XP_030561011.1|DNOV	LOC110177830|XP_020800433.1|DSER
OG0000002	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV	LOC110184909|XP_020809214.1|DSER, LOC110180508|XP_020803846.1|DSER, LOC110187569|XP_020812616.1|DSER, LOC110187570|XP_020812617.1|DSER, LOC110180507|XP_020803842.1|DSER, LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER, LOC110184848|XP_020809147.1|DSER
OG0000002	LOC115759342|XP_030556121.1|DNOV	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER
OG0000003	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV	LOC110177692|XP_020800174.1|DSER, LOC110177680|XP_020800160.1|DSER
OG0000003	LOC115771231|XP_030572696.1|DNOV	LOC110177689|XP_020800171.1|DSER
OG0000003	LOC115762126|XP_030560095.1|DNOV	LOC110177811|XP_020800360.1|DSER
OG0000003	LOC115762286|XP_030560313.1|DNOV	LOC110188514|XP_020813952.1|DSER
OG0000003	LOC115771912|XP_030573666.1|DNOV	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER, LOC110176203|XP_020798127.1|DSER
OG0000003	LOC115758743|XP_030555359.1|DNOV	LOC110182737|XP_020806498.1|DSER
OG0000004	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV	LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER
OG0000005	LOC115761918|XP_030559796.1|DNOV	LOC110181332|XP_020804709.1|DSER
OG0000005	LOC115770817|XP_030572099.1|DNOV	LOC110180706|XP_020804045.1|DSER
OG0000006	LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV	LOC110185948|XP_020810624.1|DSER
OG0000006	LOC115770815|XP_030572096.1|DNOV	LOC110183808|XP_020807819.1|DSER
