Orthogroup	DNOV.longest_only	SLEB.longest_only
OG0000000	LOC115769480|XP_030570157.1|DNOV	LOC115634489|XP_030388106.1|SLEB
OG0000000	LOC115758064|XP_030554438.1|DNOV, LOC115760506|XP_030557727.1|DNOV, LOC115769481|XP_030570158.1|DNOV	LOC115634408|XP_030387964.1|SLEB
OG0000000	LOC115762880|XP_030561115.1|DNOV	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB
OG0000000	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB, LOC115632651|XP_030385741.1|SLEB
OG0000000	LOC115764637|XP_030563666.1|DNOV, LOC115764832|XP_030563940.1|DNOV	LOC115623741|XP_030374114.1|SLEB
OG0000001	LOC115768652|XP_030569188.1|DNOV	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB
OG0000002	LOC115766569|XP_030566411.1|DNOV, LOC115766589|XP_030566435.1|DNOV, LOC115766551|XP_030566386.1|DNOV, LOC115766590|XP_030566436.1|DNOV	LOC115631932|XP_030384643.1|SLEB
OG0000002	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV	LOC115633967|XP_030387348.1|SLEB
OG0000002	LOC115759342|XP_030556121.1|DNOV	LOC115624495|XP_030375058.1|SLEB
OG0000003	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV	LOC115620029|XP_030368994.1|SLEB
OG0000003	LOC115762126|XP_030560095.1|DNOV	LOC115634502|XP_030388126.1|SLEB
OG0000003	LOC115763094|XP_030561396.1|DNOV	LOC115625548|XP_030376490.1|SLEB, LOC115625503|XP_030376424.1|SLEB
OG0000003	LOC115771912|XP_030573666.1|DNOV	LOC115619981|XP_030368881.1|SLEB
OG0000003	LOC115758743|XP_030555359.1|DNOV	LOC115628616|XP_030380660.1|SLEB
