Orthogroup	DNOV.longest_only	DALB.longest_only
OG0000000	LOC115762358|XP_030560387.1|DNOV	LOC117568019|XP_034104238.1|DALB, LOC117566662|XP_034102098.1|DALB
OG0000000	LOC115769480|XP_030570157.1|DNOV	LOC117572321|XP_034110946.1|DALB
OG0000000	LOC115760506|XP_030557727.1|DNOV	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB
OG0000000	LOC115769481|XP_030570158.1|DNOV	LOC117572310|XP_034110931.1|DALB, LOC117572315|XP_034110937.1|DALB, LOC117569868|XP_034107093.1|DALB
OG0000000	LOC115762880|XP_030561115.1|DNOV	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB
OG0000000	LOC115762366|XP_030560401.1|DNOV, LOC115762368|XP_030560403.1|DNOV	LOC117566669|XP_034102106.1|DALB
OG0000000	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV	LOC117576780|XP_034117723.1|DALB
OG0000000	LOC115764637|XP_030563666.1|DNOV	LOC117574149|XP_034113717.1|DALB, LOC117574151|XP_034113720.1|DALB, LOC117574150|XP_034113719.1|DALB, LOC117574458|XP_034114187.1|DALB
OG0000000	LOC115762365|XP_030560399.1|DNOV	LOC117566658|XP_034102093.1|DALB, LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB, LOC117570300|XP_034107716.1|DALB
OG0000000	LOC115762361|XP_030560396.1|DNOV	LOC117563836|XP_034098256.1|DALB, LOC117572040|XP_034110494.1|DALB
OG0000001	LOC115763936|XP_030562591.1|DNOV, LOC115763934|XP_030562589.1|DNOV, LOC115763935|XP_030562590.1|DNOV	LOC117577421|XP_034118225.1|DALB, LOC117563691|XP_034098027.1|DALB, LOC117577317|XP_034118173.1|DALB
OG0000002	LOC115758620|XP_030555217.1|DNOV	LOC117570812|XP_034108562.1|DALB
OG0000002	LOC115759079|XP_030555811.1|DNOV	LOC117571538|XP_034109620.1|DALB
OG0000002	LOC115762794|XP_030561011.1|DNOV	LOC117571537|XP_034109617.1|DALB
OG0000002	LOC115763088|XP_030561386.1|DNOV	LOC117565641|XP_034100743.1|DALB
OG0000002	LOC115766526|XP_030566353.1|DNOV	LOC117571106|XP_034108978.1|DALB
OG0000002	LOC115759172|XP_030555905.1|DNOV	LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB
OG0000003	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV	LOC117566349|XP_034101726.1|DALB
OG0000003	LOC115771231|XP_030572696.1|DNOV	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB
OG0000003	LOC115763094|XP_030561396.1|DNOV	LOC117572391|XP_034111057.1|DALB
OG0000003	LOC115762286|XP_030560313.1|DNOV	LOC117570242|XP_034107635.1|DALB
OG0000003	LOC115771912|XP_030573666.1|DNOV	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB
OG0000003	LOC115758743|XP_030555359.1|DNOV	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB
OG0000005	LOC115770818|XP_030572100.1|DNOV	LOC117566149|XP_034101527.1|DALB
OG0000005	LOC115761952|XP_030559851.1|DNOV	LOC117564270|XP_034098864.1|DALB
OG0000006	LOC115768961|XP_030569544.1|DNOV	LOC117563579|XP_034097856.1|DALB
OG0000006	LOC115770611|XP_030571807.1|DNOV	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB
OG0000006	LOC115761841|XP_030559682.1|DNOV	LOC117564286|XP_034098876.1|DALB
OG0000007	LOC115771065|XP_030572477.1|DNOV	LOC117570587|XP_034108222.1|DALB
OG0000007	LOC115771063|XP_030572475.1|DNOV	LOC117572105|XP_034110613.1|DALB
OG0000007	LOC115767673|XP_030567825.1|DNOV	LOC117571630|XP_034109745.1|DALB
OG0000007	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV	LOC117571628|XP_034109743.1|DALB
OG0000007	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB
OG0000007	LOC115767684|XP_030567836.1|DNOV	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB
OG0000007	LOC115767682|XP_030567834.1|DNOV, LOC115767685|XP_030567839.1|DNOV, LOC115767680|XP_030567833.1|DNOV, LOC115767651|XP_030567798.1|DNOV, LOC115767650|XP_030567797.1|DNOV, LOC115767687|XP_030567841.1|DNOV	LOC117571197|XP_034109131.1|DALB
OG0000007	LOC115767683|XP_030567835.1|DNOV	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB
OG0000007	LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV	LOC117569232|XP_034106197.1|DALB
OG0000007	LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV	LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB
OG0000007	LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC117571003|XP_034108844.1|DALB
OG0000008	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
