Orthogroup	DNOV.longest_only	DERE.longest_only
OG0000000	LOC115769480|XP_030570157.1|DNOV	LOC6545981|XP_001972189.2|DERE
OG0000000	LOC115758064|XP_030554438.1|DNOV	LOC6555364|XP_026831619.1|DERE, LOC6546799|XP_001975893.2|DERE, LOC6541982|XP_001968936.1|DERE
OG0000000	LOC115762880|XP_030561115.1|DNOV	LOC6544812|XP_001973191.2|DERE
OG0000000	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE, LOC26526070|XP_026831673.1|DERE
OG0000000	LOC115762365|XP_030560399.1|DNOV	LOC6551915|XP_001978850.1|DERE, LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE
OG0000002	LOC115758620|XP_030555217.1|DNOV	LOC6548491|XP_001975304.1|DERE
OG0000002	LOC115759079|XP_030555811.1|DNOV	LOC6548172|XP_001975155.3|DERE
OG0000002	LOC115762794|XP_030561011.1|DNOV	LOC6548171|XP_001975154.2|DERE
OG0000002	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV	LOC6542167|XP_001968638.1|DERE, LOC6541336|XP_001968621.3|DERE
OG0000002	LOC115759342|XP_030556121.1|DNOV	LOC6543212|XP_026834323.1|DERE
OG0000003	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV	LOC6549103|XP_001975568.1|DERE, LOC6548983|XP_001975566.1|DERE
OG0000003	LOC115771231|XP_030572696.1|DNOV	LOC26526619|XP_015012824.1|DERE, LOC6549104|XP_001975569.3|DERE
OG0000003	LOC115762286|XP_030560313.1|DNOV	LOC6541262|XP_001970448.1|DERE
OG0000003	LOC115771912|XP_030573666.1|DNOV	LOC6543237|XP_001970449.1|DERE
OG0000003	LOC115758743|XP_030555359.1|DNOV	LOC6543184|XP_001968830.1|DERE
OG0000005	LOC115761952|XP_030559851.1|DNOV	LOC6556051|XP_001982911.1|DERE, LOC6548712|XP_001974001.2|DERE, LOC6556359|XP_001983142.2|DERE, LOC6556058|XP_001982915.1|DERE, LOC113564801|XP_026839449.1|DERE, LOC113564800|XP_026839448.1|DERE, LOC6548707|XP_001973996.1|DERE, LOC6556031|XP_001982896.1|DERE, LOC6556046|XP_001982906.1|DERE, LOC6556228|XP_001983059.1|DERE, LOC6556303|XP_001983113.1|DERE
OG0000006	LOC115768961|XP_030569544.1|DNOV	LOC6548669|XP_001974020.1|DERE
OG0000006	LOC115761983|XP_030559890.1|DNOV, LOC115770814|XP_030572095.1|DNOV, LOC115770615|XP_030571811.1|DNOV, LOC115761965|XP_030559867.1|DNOV, LOC115770895|XP_030572190.1|DNOV, LOC115770611|XP_030571807.1|DNOV, LOC115770813|XP_030572094.1|DNOV, LOC115770816|XP_030572098.1|DNOV	LOC6548691|XP_001974010.1|DERE
OG0000007	LOC115771063|XP_030572475.1|DNOV	LOC6546441|XP_001972927.1|DERE
OG0000007	LOC115767673|XP_030567825.1|DNOV	LOC6545298|XP_001972056.1|DERE
OG0000007	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV	LOC6545296|XP_001972054.1|DERE, LOC6545101|XP_001972052.1|DERE, LOC6545102|XP_001972053.1|DERE
OG0000007	LOC115767684|XP_030567836.1|DNOV	LOC6540876|XP_001968735.1|DERE
OG0000007	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	LOC6545660|XP_001971664.1|DERE, LOC6540935|XP_001968733.1|DERE
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC6553905|XP_001979522.1|DERE
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC6543716|XP_001971859.1|DERE
OG0000008	LOC115762903|XP_030561140.1|DNOV	LOC6543719|XP_001971862.1|DERE
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC6541660|XP_001969797.3|DERE
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC6543717|XP_001971860.3|DERE
OG0000008	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE
OG0000008	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV	LOC6553018|XP_001979109.1|DERE
OG0000008	LOC115765613|XP_030565123.1|DNOV	LOC6553016|XP_001979107.1|DERE
OG0000008	LOC115765587|XP_030565097.1|DNOV	LOC6553019|XP_001979110.3|DERE
OG0000008	LOC115765588|XP_030565098.1|DNOV	LOC6553017|XP_001979108.1|DERE
OG0000008	LOC115765592|XP_030565101.1|DNOV	LOC6553015|XP_001979106.1|DERE
OG0000009	LOC115763759|XP_030562333.1|DNOV	LOC6554105|XP_001979501.1|DERE
OG0000009	LOC115763738|XP_030562299.1|DNOV	LOC6554107|XP_001979503.1|DERE
OG0000009	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV	LOC6554108|XP_001979504.1|DERE, LOC6554106|XP_001979502.1|DERE
OG0000009	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV	LOC6548094|XP_001976600.1|DERE
OG0000009	LOC115760928|XP_030558363.1|DNOV	LOC6546804|XP_001975914.1|DERE
OG0000009	LOC115759272|XP_030556034.1|DNOV	LOC6546805|XP_001975915.1|DERE
OG0000010	LOC115770894|XP_030572189.1|DNOV	LOC6556039|XP_015008608.2|DERE
OG0000010	LOC115761999|XP_030559927.1|DNOV, LOC115770900|XP_030572194.1|DNOV, LOC115761953|XP_030559852.1|DNOV, LOC115770585|XP_030571770.1|DNOV, LOC115761848|XP_030559690.1|DNOV	LOC113564802|XP_026839451.1|DERE
OG0000010	LOC115770577|XP_030571760.1|DNOV	LOC26526498|XP_026839417.1|DERE
OG0000010	LOC115770584|XP_030571769.1|DNOV	LOC6548710|XP_026839403.1|DERE, LOC6556033|XP_026839405.1|DERE, LOC6549045|XP_026839450.1|DERE
OG0000010	LOC115759945|XP_030556945.1|DNOV	LOC6556049|XP_001982909.3|DERE
OG0000011	LOC115769277|XP_030569859.1|DNOV	LOC6545633|XP_001972695.1|DERE
OG0000011	LOC115765906|XP_030565511.1|DNOV	LOC6552127|XP_001980788.1|DERE
OG0000011	LOC115764504|XP_030563454.1|DNOV	LOC6553432|XP_001979238.2|DERE
OG0000012	LOC115760603|XP_030557904.1|DNOV	LOC6547483|XP_015011854.1|DERE
OG0000012	LOC115760694|XP_030558018.1|DNOV	LOC6547482|XP_001974798.1|DERE
OG0000012	LOC115760695|XP_030558019.1|DNOV	LOC6547337|XP_015012184.1|DERE
OG0000012	LOC115760604|XP_030557906.1|DNOV	LOC6547484|XP_026836781.1|DERE
OG0000012	LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV	LOC6547486|XP_001974802.1|DERE, LOC6547485|XP_015012185.1|DERE
OG0000012	LOC115760685|XP_030558012.1|DNOV	LOC6546830|XP_026836193.1|DERE, LOC6546691|XP_001975936.3|DERE, LOC6546690|XP_001975935.1|DERE, LOC26526953|XP_026835974.1|DERE
OG0000012	LOC115761057|XP_030558532.1|DNOV	LOC6546689|XP_001975934.2|DERE, LOC6546688|XP_001975933.1|DERE
OG0000013	LOC115761021|XP_030558495.1|DNOV	LOC6549620|XP_001975657.1|DERE
OG0000013	LOC115766810|XP_030566705.1|DNOV	LOC6551261|XP_026838843.1|DERE
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	LOC6553110|XP_001980016.1|DERE
OG0000013	LOC115766188|XP_030565895.1|DNOV	LOC6545627|XP_026832753.1|DERE
OG0000013	LOC115761668|XP_030559377.1|DNOV	LOC6553734|XP_001980320.1|DERE
OG0000013	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV	LOC6554353|XP_001982051.1|DERE
OG0000013	LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV	LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE, LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE
OG0000015	LOC115763530|XP_030562001.1|DNOV	LOC6549487|XP_001974261.3|DERE
OG0000016	LOC115761678|XP_030559394.1|DNOV	LOC6553473|XP_001980267.1|DERE
OG0000016	LOC115762276|XP_030560298.1|DNOV	LOC6547825|XP_001974973.1|DERE
OG0000016	LOC115761707|XP_030559439.1|DNOV	LOC6553744|XP_001980362.1|DERE
OG0000016	LOC115764479|XP_030563416.1|DNOV	LOC6548497|XP_001975310.2|DERE
OG0000016	LOC115768679|XP_030569221.1|DNOV	LOC6551195|XP_001977029.1|DERE
OG0000016	LOC115762287|XP_030560311.1|DNOV	LOC6542573|XP_026835446.1|DERE
OG0000016	LOC115757701|XP_030553908.1|DNOV	LOC6553157|XP_026831618.1|DERE
OG0000016	LOC115770022|XP_030570941.1|DNOV	LOC6544283|XP_001973711.1|DERE
OG0000017	LOC115762311|XP_030560338.1|DNOV, LOC115762076|XP_030560028.1|DNOV	LOC6542635|XP_001970806.1|DERE
OG0000017	LOC115759321|XP_030556091.1|DNOV, LOC115769464|XP_030570137.1|DNOV	LOC6544876|XP_001973836.1|DERE, LOC6556262|XP_026839527.1|DERE
OG0000017	LOC115760654|XP_030557981.1|DNOV	LOC6547791|XP_001976408.1|DERE
OG0000017	LOC115762485|XP_030560583.1|DNOV	LOC6542668|XP_001970804.1|DERE
OG0000017	LOC115759266|XP_030556027.1|DNOV	LOC6543081|XP_001968299.1|DERE
OG0000018	LOC115762746|XP_030560944.1|DNOV	LOC6545112|XP_001972081.1|DERE
OG0000018	LOC115762718|XP_030560904.1|DNOV	LOC6545117|XP_001972086.1|DERE, LOC6545115|XP_001972084.1|DERE
OG0000018	LOC115762873|XP_030561108.1|DNOV	LOC6545114|XP_001972083.1|DERE
OG0000018	LOC115762728|XP_030560922.1|DNOV	LOC6545189|XP_001972077.1|DERE, LOC6545191|XP_001972079.1|DERE
OG0000019	LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV	LOC113564308|XP_026836578.1|DERE
OG0000019	LOC115771639|XP_030573299.1|DNOV	LOC6555070|XP_001981612.1|DERE
OG0000019	LOC115771840|XP_030573582.1|DNOV	LOC6555069|XP_001981611.1|DERE
