Orthogroup	DANA.longest_only	DNOV.longest_only
OG0000000	LOC26513897|XP_014765549.1|DANA	LOC115769480|XP_030570157.1|DNOV
OG0000000	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA, LOC6496234|XP_001960509.1|DANA	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC6494335|XP_001960511.2|DANA	LOC115760506|XP_030557727.1|DNOV
OG0000000	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC6494112|XP_001960945.2|DANA, LOC6502509|XP_001960943.2|DANA, LOC6499064|XP_032305682.1|DANA	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000000	LOC6498897|XP_032305704.1|DANA	LOC115762365|XP_030560399.1|DNOV
OG0000002	LOC6494276|XP_032306810.1|DANA, LOC6502541|XP_001958679.1|DANA	LOC115758620|XP_030555217.1|DNOV
OG0000002	LOC6496130|XP_001960293.1|DANA	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC6502577|XP_001960292.2|DANA	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC116655418|XP_032309202.1|DANA	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV
OG0000003	LOC6495486|XP_001958950.1|DANA, LOC6495485|XP_001958948.1|DANA	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA	LOC115771231|XP_030572696.1|DNOV
OG0000003	LOC6495153|XP_001958951.2|DANA	LOC115762126|XP_030560095.1|DNOV
OG0000003	LOC6495217|XP_001958825.1|DANA	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC6495430|XP_001958829.1|DANA, LOC6495216|XP_001958826.1|DANA	LOC115771912|XP_030573666.1|DNOV
OG0000005	LOC6505175|XP_001964801.1|DANA	LOC115770818|XP_030572100.1|DNOV
OG0000005	LOC6505206|XP_001964809.1|DANA	LOC115770899|XP_030572193.1|DNOV
OG0000006	LOC116656005|XP_032310965.1|DANA	LOC115761996|XP_030559923.1|DNOV, LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV
OG0000006	LOC6506066|XP_032309425.1|DANA, LOC6507218|XP_001956446.1|DANA	LOC115770611|XP_030571807.1|DNOV
OG0000007	LOC6506540|XP_001957688.2|DANA	LOC115771063|XP_030572475.1|DNOV
OG0000007	LOC6493534|XP_001957954.1|DANA	LOC115767673|XP_030567825.1|DNOV
OG0000007	LOC6493532|XP_001957952.1|DANA, LOC6493531|XP_001957951.1|DANA	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV
OG0000007	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV
OG0000007	LOC6504214|XP_001965140.1|DANA	LOC115767684|XP_030567836.1|DNOV
OG0000007	LOC6492986|XP_032310804.1|DANA, LOC6507027|XP_001956797.1|DANA, LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV
OG0000008	LOC6501231|XP_001954812.1|DANA	LOC115759663|XP_030556519.1|DNOV
OG0000008	LOC6506513|XP_001957739.1|DANA	LOC115762862|XP_030561098.1|DNOV
OG0000008	LOC6493433|XP_001957742.1|DANA	LOC115762903|XP_030561140.1|DNOV
OG0000008	LOC6504295|XP_001965067.1|DANA	LOC115759949|XP_030556951.1|DNOV
OG0000008	LOC6506512|XP_001957740.2|DANA	LOC115762865|XP_030561099.1|DNOV
OG0000008	LOC6499974|XP_001953515.1|DANA	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV
OG0000008	LOC6499973|XP_001953518.1|DANA	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV
OG0000008	LOC6500585|XP_001953520.1|DANA	LOC115765613|XP_030565123.1|DNOV
OG0000008	LOC6500584|XP_001953519.1|DANA	LOC115765588|XP_030565098.1|DNOV
OG0000008	LOC6499972|XP_001953521.2|DANA	LOC115765592|XP_030565101.1|DNOV
OG0000009	LOC6500401|XP_001953140.1|DANA	LOC115763759|XP_030562333.1|DNOV
OG0000009	LOC6500399|XP_001953138.1|DANA	LOC115763738|XP_030562299.1|DNOV
OG0000009	LOC6500144|XP_001953137.1|DANA, LOC6500400|XP_001953139.2|DANA	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV
OG0000009	LOC6506633|XP_001957500.1|DANA	LOC115765543|XP_030565028.1|DNOV
OG0000009	LOC6494113|XP_001960938.1|DANA	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV
OG0000009	LOC6494922|XP_001959416.1|DANA	LOC115760928|XP_030558363.1|DNOV
OG0000009	LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA, LOC6494924|XP_001959414.1|DANA	LOC115759272|XP_030556034.1|DNOV
